"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Ferrandina","Benzene","µg/m≥","01/01/2021","01","0.780","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","02","0.790","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","03","0.680","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","04","0.650","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","05","0.660","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","06","0.630","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","07","0.600","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","08","0.580","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","09","0.600","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","10","1.280","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","11","1.280","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","12","0.750","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","13","0.630","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","14","0.630","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","15","0.510","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","16","0.500","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","17","0.520","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","18","0.490","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","19","0.490","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","20","0.690","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","21","0.550","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","22","0.700","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","23","0.780","1"
"Ferrandina","Benzene","µg/m≥","01/01/2021","24","0.720","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","01","0.650","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","02","0.590","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","03","0.590","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","04","0.520","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","05","0.520","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","06","0.620","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","07","0.520","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","08","0.600","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","09","0.610","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","10","0.660","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","11","0.630","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","12","0.530","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","13","0.510","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","14","0.500","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","15","0.490","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","16","0.490","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","17","0.480","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","18","0.530","1"
"Ferrandina","Benzene","µg/m≥","02/01/2021","19","0.380","1"
