"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","01","23.960","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","02","43.290","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","03","23.860","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","04","23.310","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","05","22.070","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","06","22.910","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","07","0.090","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","08","23.830","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","09","43.090","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","10","66.820","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","11","271.220","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","12","268.490","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","13","267.950","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","14","248.260","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","15","248.800","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","16","268.460","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","17","269.870","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","18","313.910","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","19","358.530","-1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","20","0.510","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","21","342.030","-1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","22","358.050","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","23","359.580","1"
"Ferrandina","Direzione_Vento","∞N","01/01/2021","24","358.070","-1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","01","339.250","-1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","02","22.820","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","03","0.390","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","04","22.610","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","05","1.250","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","06","0.790","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","07","0.850","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","08","315.330","-1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","09","336.630","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","10","335.110","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","11","270.250","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","12","249.150","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","13","248.880","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","14","248.310","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","15","248.220","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","16","247.800","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","17","293.380","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","18","315.010","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","19","315.050","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","20","293.050","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","21","315.490","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","22","332.120","1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","23","335.070","-1"
"Ferrandina","Direzione_Vento","∞N","02/01/2021","24","318.210","-1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","01","1.800","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","02","43.850","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","03","23.900","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","04","43.250","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","05","359.180","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","06","0.160","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","07","23.770","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","08","23.440","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","09","0.960","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","10","313.250","-1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","11","269.640","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","12","268.890","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","13","315.080","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","14","359.460","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","15","269.550","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","16","337.750","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","17","22.450","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","18","22.480","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","19","359.540","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","20","291.930","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","21","336.560","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","22","23.640","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","23","44.050","1"
"Ferrandina","Direzione_Vento","∞N","03/01/2021","24","335.450","1"
"Ferrandina","Direzione_Vento","∞N","04/01/2021","01","0.650","1"
"Ferrandina","Direzione_Vento","∞N","04/01/2021","02","22.360","1"
"Ferrandina","Direzione_Vento","∞N","04/01/2021","03","359.380","1"
