"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","01","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","02","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","03","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","04","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","05","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","06","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","07","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","08","7.150","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","09","93.840","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","10","304.590","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","11","328.710","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","12","490.580","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","13","409.530","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","14","423.830","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","15","229.740","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","16","95.900","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","17","6.520","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","18","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","19","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","20","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","21","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","22","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","23","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","01/01/2021","24","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","02/01/2021","01","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","02/01/2021","02","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","02/01/2021","03","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","02/01/2021","04","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","02/01/2021","05","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","02/01/2021","06","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","02/01/2021","07","0.000","1"
"Ferrandina","Radiazione_Globale","W/m≤","02/01/2021","08","3.110","1"
