"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Ferrandina","Toluene","µg/m≥","01/01/2021","01","0.550","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","02","0.660","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","03","0.560","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","04","0.650","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","05","0.480","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","06","0.470","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","07","0.620","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","08","0.610","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","09","0.480","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","10","0.780","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","11","0.660","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","12","0.340","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","13","0.440","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","14","0.970","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","15","0.290","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","16","0.200","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","17","0.530","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","18","0.550","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","19","1.100","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","20","2.090","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","21","0.650","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","22","0.730","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","23","0.800","1"
"Ferrandina","Toluene","µg/m≥","01/01/2021","24","0.760","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","01","0.820","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","02","0.750","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","03","0.700","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","04","0.540","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","05","0.560","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","06","0.650","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","07","0.670","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","08","0.630","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","09","0.550","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","10","0.500","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","11","0.760","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","12","0.640","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","13","0.180","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","14","0.330","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","15","2.570","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","16","2.900","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","17","1.770","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","18","1.420","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","19","0.150","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","20","0.180","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","21","0.100","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","22","0.290","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","23","0.190","1"
"Ferrandina","Toluene","µg/m≥","02/01/2021","24","0.460","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","01","0.420","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","02","0.480","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","03","0.320","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","04","0.230","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","05","0.300","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","06","0.230","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","07","0.410","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","08","0.310","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","09","0.260","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","10","0.230","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","11","0.210","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","12","0.150","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","13","0.690","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","14","0.310","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","15","0.120","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","16","0.140","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","17","0.150","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","18","0.370","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","19","0.290","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","20","0.340","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","21","0.320","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","22","0.350","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","23","1.580","1"
"Ferrandina","Toluene","µg/m≥","03/01/2021","24","1.240","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","01","0.710","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","02","1.580","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","03","1.800","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","04","1.280","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","05","1.320","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","06","1.350","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","07","0.960","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","08","0.780","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","09","0.990","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","10","1.260","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","11","2.080","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","12","2.470","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","13","0.630","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","14","0.310","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","15","0.490","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","16","0.170","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","17","0.280","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","18","2.840","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","19","1.790","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","20","1.990","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","21","3.370","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","22","4.560","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","23","8.520","1"
"Ferrandina","Toluene","µg/m≥","04/01/2021","24","3.770","1"
"Ferrandina","Toluene","µg/m≥","05/01/2021","01","1.430","1"
"Ferrandina","Toluene","µg/m≥","05/01/2021","02","1.070","1"
"Ferrandina","Toluene","µg/m≥","05/01/2021","03","0.740","1"
"Ferrandina","Toluene","µg/m≥","05/01/2021","04","0.820","1"
"Ferrandina","Toluene","µg/m≥","05/01/2021","05","0.820","1"
"Ferrandina","Toluene","µg/m≥","05/01/2021","06","0.820","1"
"Ferrandina","Toluene","µg/m≥","05/01/2021","07","1.100","1"
"Ferrandina","Toluene","µg/m≥","05/01/2021","08","0.780","1"
"Ferrandina","Toluene","µg/m≥","05/01/2021","09","1.300","1"
"Ferrandina","Toluene","µg/m≥","05/01/2021","10","1.870","1"
"Ferrandina","Toluene","µg/m≥","05/01/2021","11","3.420","1"
