"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Ferrandina","Umidità_Relativa","%","01/01/2021","01","98.900","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","02","98.900","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","03","98.900","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","04","98.900","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","05","98.900","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","06","98.900","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","07","98.910","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","08","98.910","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","09","98.900","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","10","97.860","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","11","77.450","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","12","66.600","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","13","65.700","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","14","59.670","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","15","57.840","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","16","65.250","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","17","76.770","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","18","89.480","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","19","96.220","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","20","98.830","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","21","98.900","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","22","98.900","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","23","98.900","1"
"Ferrandina","Umidità_Relativa","%","01/01/2021","24","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","01","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","02","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","03","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","04","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","05","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","06","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","07","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","08","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","09","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","10","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","11","98.640","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","12","89.770","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","13","91.840","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","14","86.830","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","15","87.180","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","16","89.210","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","17","91.320","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","18","72.190","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","19","69.520","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","20","81.840","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","21","97.250","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","22","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","23","98.900","1"
"Ferrandina","Umidità_Relativa","%","02/01/2021","24","98.900","1"
"Ferrandina","Umidità_Relativa","%","03/01/2021","01","98.900","1"
"Ferrandina","Umidità_Relativa","%","03/01/2021","02","98.900","1"
"Ferrandina","Umidità_Relativa","%","03/01/2021","03","98.900","1"
"Ferrandina","Umidità_Relativa","%","03/01/2021","04","98.900","1"
"Ferrandina","Umidità_Relativa","%","03/01/2021","05","98.900","1"
"Ferrandina","Umidità_Relativa","%","03/01/2021","06","98.900","1"
"Ferrandina","Umidità_Relativa","%","03/01/2021","07","98.900","1"
