"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","01","1.120","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","02","1.080","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","03","0.980","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","04","0.670","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","05","0.660","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","06","0.600","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","07","0.440","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","08","0.640","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","09","1.360","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","10","0.780","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","11","0.520","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","12","1.490","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","13","1.890","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","14","1.900","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","15","2.260","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","16","1.590","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","17","0.950","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","18","0.430","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","19","0.120","-1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","20","0.250","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","21","0.100","-1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","22","0.340","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","23","0.270","1"
"Ferrandina","Velocità_Vento","m/s","01/01/2021","24","0.170","-1"
"Ferrandina","Velocità_Vento","m/s","02/01/2021","01","0.200","-1"
"Ferrandina","Velocità_Vento","m/s","02/01/2021","02","0.550","1"
"Ferrandina","Velocità_Vento","m/s","02/01/2021","03","0.460","1"
"Ferrandina","Velocità_Vento","m/s","02/01/2021","04","0.570","1"
"Ferrandina","Velocità_Vento","m/s","02/01/2021","05","0.470","1"
"Ferrandina","Velocità_Vento","m/s","02/01/2021","06","0.410","1"
"Ferrandina","Velocità_Vento","m/s","02/01/2021","07","0.460","1"
"Ferrandina","Velocità_Vento","m/s","02/01/2021","08","0.240","-1"
"Ferrandina","Velocità_Vento","m/s","02/01/2021","09","0.290","1"
