"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","Benzene","µg/m≥","01/01/2021","01","0.480","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","02","0.390","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","03","0.190","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","04","0.410","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","05","0.450","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","06","0.300","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","07","0.310","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","08","0.380","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","09","0.330","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","10","0.350","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","11","0.750","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","12","0.600","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","13","0.280","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","14","0.730","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","15","0.350","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","16","0.520","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","17","1.300","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","18","2.120","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","19","2.580","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","20","2.250","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","21","1.960","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","22","1.420","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","23","1.650","1"
"Grumento3","Benzene","µg/m≥","01/01/2021","24","1.450","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","01","0.970","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","02","0.470","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","03","0.750","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","04","0.350","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","05","0.390","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","06","0.500","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","07","0.490","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","08","0.490","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","09","0.430","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","10","0.870","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","11","1.300","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","12","1.430","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","13","0.650","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","14","0.710","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","15","0.480","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","16","0.670","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","17","0.380","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","18","1.510","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","19","1.850","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","20","1.630","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","21","1.990","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","22","0.960","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","23","0.490","1"
"Grumento3","Benzene","µg/m≥","02/01/2021","24","0.820","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","01","0.720","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","02","0.330","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","03","0.500","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","04","0.510","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","05","0.430","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","06","0.340","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","07","0.320","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","08","0.190","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","09","0.360","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","10","8.550","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","11","1.170","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","12","1.200","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","13","1.380","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","14","1.120","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","15","0.280","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","16","0.420","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","17","0.620","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","18","0.300","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","19","0.390","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","20","1.190","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","21","2.190","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","22","1.350","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","23","0.770","1"
"Grumento3","Benzene","µg/m≥","03/01/2021","24","0.920","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","01","0.400","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","02","0.470","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","03","0.390","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","04","0.400","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","05","0.360","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","06","0.380","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","07","0.510","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","08","0.360","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","09","0.210","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","10","0.430","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","11","0.470","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","12","0.460","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","13","0.620","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","14","0.450","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","15","0.490","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","16","0.250","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","17","0.460","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","18","0.430","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","19","0.180","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","20","0.340","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","21","0.540","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","22","0.560","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","23","0.620","1"
"Grumento3","Benzene","µg/m≥","04/01/2021","24","0.330","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","01","0.390","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","02","0.390","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","03","0.650","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","04","0.460","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","05","0.200","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","06","0.440","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","07","0.180","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","08","0.200","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","09","1.190","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","10","1.350","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","11","1.080","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","12","-9999","-1"
"Grumento3","Benzene","µg/m≥","05/01/2021","13","-9999","-1"
"Grumento3","Benzene","µg/m≥","05/01/2021","14","-9999","-1"
"Grumento3","Benzene","µg/m≥","05/01/2021","15","-9999","-1"
"Grumento3","Benzene","µg/m≥","05/01/2021","16","-9999","-1"
"Grumento3","Benzene","µg/m≥","05/01/2021","17","0.590","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","18","0.430","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","19","0.910","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","20","1.160","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","21","0.850","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","22","0.510","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","23","0.380","1"
"Grumento3","Benzene","µg/m≥","05/01/2021","24","0.400","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","01","0.310","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","02","0.180","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","03","0.320","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","04","0.250","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","05","0.390","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","06","0.270","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","07","0.190","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","08","0.370","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","09","0.270","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","10","0.710","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","11","0.860","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","12","0.590","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","13","0.600","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","14","0.440","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","15","0.280","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","16","0.300","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","17","0.460","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","18","0.330","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","19","0.190","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","20","0.350","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","21","0.450","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","22","0.200","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","23","0.380","1"
"Grumento3","Benzene","µg/m≥","06/01/2021","24","0.180","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","01","0.180","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","02","0.180","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","03","0.250","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","04","0.180","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","05","0.250","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","06","0.270","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","07","0.180","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","08","0.530","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","09","0.540","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","10","0.880","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","11","2.700","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","12","1.160","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","13","0.690","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","14","0.760","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","15","1.270","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","16","1.380","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","17","1.440","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","18","1.340","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","19","1.240","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","20","1.240","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","21","1.160","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","22","1.200","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","23","1.810","1"
"Grumento3","Benzene","µg/m≥","07/01/2021","24","1.060","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","01","0.570","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","02","0.620","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","03","0.250","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","04","0.400","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","05","0.290","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","06","0.200","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","07","0.410","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","08","0.300","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","09","0.270","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","10","0.330","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","11","-9999","-1"
"Grumento3","Benzene","µg/m≥","08/01/2021","12","-9999","-1"
"Grumento3","Benzene","µg/m≥","08/01/2021","13","-9999","-1"
"Grumento3","Benzene","µg/m≥","08/01/2021","14","-9999","-1"
"Grumento3","Benzene","µg/m≥","08/01/2021","15","-9999","-1"
"Grumento3","Benzene","µg/m≥","08/01/2021","16","0.510","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","17","0.480","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","18","0.470","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","19","0.520","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","20","0.220","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","21","0.630","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","22","0.770","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","23","0.980","1"
"Grumento3","Benzene","µg/m≥","08/01/2021","24","0.890","1"
"Grumento3","Benzene","µg/m≥","09/01/2021","01","0.930","1"
