"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","H2S","µg/m≥","01/01/2021","01","0.620","1"
"Grumento3","H2S","µg/m≥","01/01/2021","02","0.710","1"
"Grumento3","H2S","µg/m≥","01/01/2021","03","0.960","1"
"Grumento3","H2S","µg/m≥","01/01/2021","04","0.860","1"
"Grumento3","H2S","µg/m≥","01/01/2021","05","0.720","1"
"Grumento3","H2S","µg/m≥","01/01/2021","06","0.950","1"
"Grumento3","H2S","µg/m≥","01/01/2021","07","0.940","1"
"Grumento3","H2S","µg/m≥","01/01/2021","08","0.800","1"
"Grumento3","H2S","µg/m≥","01/01/2021","09","0.730","1"
"Grumento3","H2S","µg/m≥","01/01/2021","10","0.740","1"
"Grumento3","H2S","µg/m≥","01/01/2021","11","0.580","1"
"Grumento3","H2S","µg/m≥","01/01/2021","12","0.720","1"
"Grumento3","H2S","µg/m≥","01/01/2021","13","0.590","1"
"Grumento3","H2S","µg/m≥","01/01/2021","14","-9999","-1"
"Grumento3","H2S","µg/m≥","01/01/2021","15","0.910","-99"
"Grumento3","H2S","µg/m≥","01/01/2021","16","0.590","1"
"Grumento3","H2S","µg/m≥","01/01/2021","17","0.930","1"
"Grumento3","H2S","µg/m≥","01/01/2021","18","0.920","1"
"Grumento3","H2S","µg/m≥","01/01/2021","19","0.900","1"
"Grumento3","H2S","µg/m≥","01/01/2021","20","0.780","1"
"Grumento3","H2S","µg/m≥","01/01/2021","21","0.760","1"
"Grumento3","H2S","µg/m≥","01/01/2021","22","0.680","1"
"Grumento3","H2S","µg/m≥","01/01/2021","23","0.490","1"
"Grumento3","H2S","µg/m≥","01/01/2021","24","0.570","1"
"Grumento3","H2S","µg/m≥","02/01/2021","01","0.710","1"
"Grumento3","H2S","µg/m≥","02/01/2021","02","0.560","1"
"Grumento3","H2S","µg/m≥","02/01/2021","03","0.650","1"
"Grumento3","H2S","µg/m≥","02/01/2021","04","0.740","1"
"Grumento3","H2S","µg/m≥","02/01/2021","05","0.770","1"
"Grumento3","H2S","µg/m≥","02/01/2021","06","0.830","1"
"Grumento3","H2S","µg/m≥","02/01/2021","07","0.730","1"
"Grumento3","H2S","µg/m≥","02/01/2021","08","0.690","1"
"Grumento3","H2S","µg/m≥","02/01/2021","09","0.600","1"
"Grumento3","H2S","µg/m≥","02/01/2021","10","0.860","1"
"Grumento3","H2S","µg/m≥","02/01/2021","11","0.910","1"
"Grumento3","H2S","µg/m≥","02/01/2021","12","0.810","1"
"Grumento3","H2S","µg/m≥","02/01/2021","13","0.640","1"
"Grumento3","H2S","µg/m≥","02/01/2021","14","0.580","1"
"Grumento3","H2S","µg/m≥","02/01/2021","15","0.910","1"
"Grumento3","H2S","µg/m≥","02/01/2021","16","1.090","1"
"Grumento3","H2S","µg/m≥","02/01/2021","17","0.800","1"
"Grumento3","H2S","µg/m≥","02/01/2021","18","1.040","1"
"Grumento3","H2S","µg/m≥","02/01/2021","19","0.770","1"
"Grumento3","H2S","µg/m≥","02/01/2021","20","0.930","1"
"Grumento3","H2S","µg/m≥","02/01/2021","21","1.120","1"
"Grumento3","H2S","µg/m≥","02/01/2021","22","0.680","1"
"Grumento3","H2S","µg/m≥","02/01/2021","23","1.160","1"
"Grumento3","H2S","µg/m≥","02/01/2021","24","1.130","1"
"Grumento3","H2S","µg/m≥","03/01/2021","01","0.880","1"
"Grumento3","H2S","µg/m≥","03/01/2021","02","1.020","1"
"Grumento3","H2S","µg/m≥","03/01/2021","03","1.060","1"
"Grumento3","H2S","µg/m≥","03/01/2021","04","1.000","1"
"Grumento3","H2S","µg/m≥","03/01/2021","05","1.050","1"
"Grumento3","H2S","µg/m≥","03/01/2021","06","0.970","1"
"Grumento3","H2S","µg/m≥","03/01/2021","07","1.060","1"
"Grumento3","H2S","µg/m≥","03/01/2021","08","1.020","1"
"Grumento3","H2S","µg/m≥","03/01/2021","09","1.200","1"
"Grumento3","H2S","µg/m≥","03/01/2021","10","1.260","1"
"Grumento3","H2S","µg/m≥","03/01/2021","11","0.930","1"
"Grumento3","H2S","µg/m≥","03/01/2021","12","0.830","1"
"Grumento3","H2S","µg/m≥","03/01/2021","13","0.520","1"
"Grumento3","H2S","µg/m≥","03/01/2021","14","0.340","1"
"Grumento3","H2S","µg/m≥","03/01/2021","15","0.430","1"
"Grumento3","H2S","µg/m≥","03/01/2021","16","0.620","1"
"Grumento3","H2S","µg/m≥","03/01/2021","17","0.660","1"
"Grumento3","H2S","µg/m≥","03/01/2021","18","0.610","1"
"Grumento3","H2S","µg/m≥","03/01/2021","19","0.570","1"
"Grumento3","H2S","µg/m≥","03/01/2021","20","0.530","1"
"Grumento3","H2S","µg/m≥","03/01/2021","21","0.580","1"
"Grumento3","H2S","µg/m≥","03/01/2021","22","0.400","1"
"Grumento3","H2S","µg/m≥","03/01/2021","23","0.530","1"
"Grumento3","H2S","µg/m≥","03/01/2021","24","0.600","1"
"Grumento3","H2S","µg/m≥","04/01/2021","01","0.710","1"
"Grumento3","H2S","µg/m≥","04/01/2021","02","0.970","1"
"Grumento3","H2S","µg/m≥","04/01/2021","03","0.850","1"
"Grumento3","H2S","µg/m≥","04/01/2021","04","0.630","1"
"Grumento3","H2S","µg/m≥","04/01/2021","05","0.510","1"
"Grumento3","H2S","µg/m≥","04/01/2021","06","0.690","1"
"Grumento3","H2S","µg/m≥","04/01/2021","07","0.450","1"
"Grumento3","H2S","µg/m≥","04/01/2021","08","0.530","1"
"Grumento3","H2S","µg/m≥","04/01/2021","09","0.460","1"
"Grumento3","H2S","µg/m≥","04/01/2021","10","0.410","1"
"Grumento3","H2S","µg/m≥","04/01/2021","11","0.730","1"
"Grumento3","H2S","µg/m≥","04/01/2021","12","0.750","1"
"Grumento3","H2S","µg/m≥","04/01/2021","13","0.620","1"
"Grumento3","H2S","µg/m≥","04/01/2021","14","0.970","1"
"Grumento3","H2S","µg/m≥","04/01/2021","15","0.640","1"
"Grumento3","H2S","µg/m≥","04/01/2021","16","0.530","1"
"Grumento3","H2S","µg/m≥","04/01/2021","17","0.620","1"
"Grumento3","H2S","µg/m≥","04/01/2021","18","0.730","1"
"Grumento3","H2S","µg/m≥","04/01/2021","19","0.610","1"
"Grumento3","H2S","µg/m≥","04/01/2021","20","0.540","1"
"Grumento3","H2S","µg/m≥","04/01/2021","21","0.590","1"
"Grumento3","H2S","µg/m≥","04/01/2021","22","0.880","1"
"Grumento3","H2S","µg/m≥","04/01/2021","23","0.650","1"
"Grumento3","H2S","µg/m≥","04/01/2021","24","0.740","1"
"Grumento3","H2S","µg/m≥","05/01/2021","01","0.840","1"
"Grumento3","H2S","µg/m≥","05/01/2021","02","0.740","1"
"Grumento3","H2S","µg/m≥","05/01/2021","03","0.810","1"
"Grumento3","H2S","µg/m≥","05/01/2021","04","0.510","1"
"Grumento3","H2S","µg/m≥","05/01/2021","05","0.700","1"
"Grumento3","H2S","µg/m≥","05/01/2021","06","0.630","1"
"Grumento3","H2S","µg/m≥","05/01/2021","07","0.680","1"
"Grumento3","H2S","µg/m≥","05/01/2021","08","0.790","1"
"Grumento3","H2S","µg/m≥","05/01/2021","09","0.740","1"
"Grumento3","H2S","µg/m≥","05/01/2021","10","0.790","1"
"Grumento3","H2S","µg/m≥","05/01/2021","11","1.010","1"
"Grumento3","H2S","µg/m≥","05/01/2021","12","1.300","1"
"Grumento3","H2S","µg/m≥","05/01/2021","13","1.000","1"
"Grumento3","H2S","µg/m≥","05/01/2021","14","1.430","1"
"Grumento3","H2S","µg/m≥","05/01/2021","15","1.220","1"
"Grumento3","H2S","µg/m≥","05/01/2021","16","1.230","1"
"Grumento3","H2S","µg/m≥","05/01/2021","17","1.100","1"
"Grumento3","H2S","µg/m≥","05/01/2021","18","0.830","1"
"Grumento3","H2S","µg/m≥","05/01/2021","19","1.120","1"
"Grumento3","H2S","µg/m≥","05/01/2021","20","1.040","1"
"Grumento3","H2S","µg/m≥","05/01/2021","21","0.860","1"
"Grumento3","H2S","µg/m≥","05/01/2021","22","1.310","1"
"Grumento3","H2S","µg/m≥","05/01/2021","23","1.220","1"
"Grumento3","H2S","µg/m≥","05/01/2021","24","1.220","1"
"Grumento3","H2S","µg/m≥","06/01/2021","01","0.860","1"
"Grumento3","H2S","µg/m≥","06/01/2021","02","0.880","1"
"Grumento3","H2S","µg/m≥","06/01/2021","03","0.730","1"
"Grumento3","H2S","µg/m≥","06/01/2021","04","1.050","1"
"Grumento3","H2S","µg/m≥","06/01/2021","05","1.120","1"
"Grumento3","H2S","µg/m≥","06/01/2021","06","1.150","1"
"Grumento3","H2S","µg/m≥","06/01/2021","07","1.350","1"
"Grumento3","H2S","µg/m≥","06/01/2021","08","1.060","1"
"Grumento3","H2S","µg/m≥","06/01/2021","09","1.290","1"
"Grumento3","H2S","µg/m≥","06/01/2021","10","1.140","1"
"Grumento3","H2S","µg/m≥","06/01/2021","11","0.970","1"
"Grumento3","H2S","µg/m≥","06/01/2021","12","-9999","-1"
"Grumento3","H2S","µg/m≥","06/01/2021","13","-9999","-1"
"Grumento3","H2S","µg/m≥","06/01/2021","14","0.270","-99"
"Grumento3","H2S","µg/m≥","06/01/2021","15","0.350","1"
"Grumento3","H2S","µg/m≥","06/01/2021","16","0.570","1"
"Grumento3","H2S","µg/m≥","06/01/2021","17","0.340","1"
"Grumento3","H2S","µg/m≥","06/01/2021","18","0.590","1"
"Grumento3","H2S","µg/m≥","06/01/2021","19","0.330","1"
"Grumento3","H2S","µg/m≥","06/01/2021","20","0.290","1"
"Grumento3","H2S","µg/m≥","06/01/2021","21","0.250","1"
