"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Grumento3","Metano","ugC/m³","01/01/2021","01","908.050","1"
"Grumento3","Metano","ugC/m³","01/01/2021","02","906.680","1"
"Grumento3","Metano","ugC/m³","01/01/2021","03","904.930","1"
"Grumento3","Metano","ugC/m³","01/01/2021","04","896.420","1"
"Grumento3","Metano","ugC/m³","01/01/2021","05","897.760","1"
"Grumento3","Metano","ugC/m³","01/01/2021","06","896.570","1"
"Grumento3","Metano","ugC/m³","01/01/2021","07","896.730","1"
"Grumento3","Metano","ugC/m³","01/01/2021","08","896.760","1"
"Grumento3","Metano","ugC/m³","01/01/2021","09","896.790","1"
"Grumento3","Metano","ugC/m³","01/01/2021","10","903.390","1"
"Grumento3","Metano","ugC/m³","01/01/2021","11","902.770","1"
"Grumento3","Metano","ugC/m³","01/01/2021","12","908.510","1"
"Grumento3","Metano","ugC/m³","01/01/2021","13","907.730","1"
"Grumento3","Metano","ugC/m³","01/01/2021","14","900.920","1"
"Grumento3","Metano","ugC/m³","01/01/2021","15","894.800","1"
"Grumento3","Metano","ugC/m³","01/01/2021","16","898.490","1"
"Grumento3","Metano","ugC/m³","01/01/2021","17","905.990","1"
"Grumento3","Metano","ugC/m³","01/01/2021","18","917.060","1"
"Grumento3","Metano","ugC/m³","01/01/2021","19","912.040","1"
"Grumento3","Metano","ugC/m³","01/01/2021","20","909.990","1"
"Grumento3","Metano","ugC/m³","01/01/2021","21","906.800","1"
"Grumento3","Metano","ugC/m³","01/01/2021","22","909.750","1"
"Grumento3","Metano","ugC/m³","01/01/2021","23","908.980","1"
"Grumento3","Metano","ugC/m³","01/01/2021","24","902.780","1"
"Grumento3","Metano","ugC/m³","02/01/2021","01","893.730","1"
"Grumento3","Metano","ugC/m³","02/01/2021","02","892.790","1"
"Grumento3","Metano","ugC/m³","02/01/2021","03","893.550","1"
"Grumento3","Metano","ugC/m³","02/01/2021","04","881.160","1"
"Grumento3","Metano","ugC/m³","02/01/2021","05","892.700","1"
"Grumento3","Metano","ugC/m³","02/01/2021","06","892.700","1"
"Grumento3","Metano","ugC/m³","02/01/2021","07","886.900","1"
"Grumento3","Metano","ugC/m³","02/01/2021","08","890.830","1"
"Grumento3","Metano","ugC/m³","02/01/2021","09","899.210","1"
"Grumento3","Metano","ugC/m³","02/01/2021","10","904.870","1"
"Grumento3","Metano","ugC/m³","02/01/2021","11","894.050","1"
"Grumento3","Metano","ugC/m³","02/01/2021","12","880.670","1"
"Grumento3","Metano","ugC/m³","02/01/2021","13","876.140","1"
"Grumento3","Metano","ugC/m³","02/01/2021","14","878.840","1"
"Grumento3","Metano","ugC/m³","02/01/2021","15","878.240","1"
"Grumento3","Metano","ugC/m³","02/01/2021","16","879.960","1"
"Grumento3","Metano","ugC/m³","02/01/2021","17","887.090","1"
"Grumento3","Metano","ugC/m³","02/01/2021","18","891.110","1"
"Grumento3","Metano","ugC/m³","02/01/2021","19","889.250","1"
"Grumento3","Metano","ugC/m³","02/01/2021","20","896.800","1"
"Grumento3","Metano","ugC/m³","02/01/2021","21","887.840","1"
"Grumento3","Metano","ugC/m³","02/01/2021","22","888.910","1"
"Grumento3","Metano","ugC/m³","02/01/2021","23","892.830","1"
"Grumento3","Metano","ugC/m³","02/01/2021","24","890.220","1"
"Grumento3","Metano","ugC/m³","03/01/2021","01","884.070","1"
"Grumento3","Metano","ugC/m³","03/01/2021","02","884.210","1"
"Grumento3","Metano","ugC/m³","03/01/2021","03","886.070","1"
"Grumento3","Metano","ugC/m³","03/01/2021","04","871.880","1"
"Grumento3","Metano","ugC/m³","03/01/2021","05","886.830","1"
"Grumento3","Metano","ugC/m³","03/01/2021","06","885.130","1"
"Grumento3","Metano","ugC/m³","03/01/2021","07","886.030","1"
"Grumento3","Metano","ugC/m³","03/01/2021","08","885.540","1"
"Grumento3","Metano","ugC/m³","03/01/2021","09","910.090","1"
"Grumento3","Metano","ugC/m³","03/01/2021","10","893.650","1"
"Grumento3","Metano","ugC/m³","03/01/2021","11","895.900","1"
"Grumento3","Metano","ugC/m³","03/01/2021","12","902.120","1"
"Grumento3","Metano","ugC/m³","03/01/2021","13","895.570","1"
"Grumento3","Metano","ugC/m³","03/01/2021","14","-9999","-1"
"Grumento3","Metano","ugC/m³","03/01/2021","15","896.120","1"
"Grumento3","Metano","ugC/m³","03/01/2021","16","902.490","1"
"Grumento3","Metano","ugC/m³","03/01/2021","17","896.780","1"
"Grumento3","Metano","ugC/m³","03/01/2021","18","894.580","1"
"Grumento3","Metano","ugC/m³","03/01/2021","19","900.180","1"
"Grumento3","Metano","ugC/m³","03/01/2021","20","911.360","1"
"Grumento3","Metano","ugC/m³","03/01/2021","21","912.090","1"
"Grumento3","Metano","ugC/m³","03/01/2021","22","901.250","1"
"Grumento3","Metano","ugC/m³","03/01/2021","23","915.100","1"
"Grumento3","Metano","ugC/m³","03/01/2021","24","912.350","1"
"Grumento3","Metano","ugC/m³","04/01/2021","01","905.650","1"
"Grumento3","Metano","ugC/m³","04/01/2021","02","894.300","1"
"Grumento3","Metano","ugC/m³","04/01/2021","03","883.940","1"
"Grumento3","Metano","ugC/m³","04/01/2021","04","882.230","1"
"Grumento3","Metano","ugC/m³","04/01/2021","05","894.130","1"
"Grumento3","Metano","ugC/m³","04/01/2021","06","897.510","1"
"Grumento3","Metano","ugC/m³","04/01/2021","07","898.800","1"
"Grumento3","Metano","ugC/m³","04/01/2021","08","917.050","1"
"Grumento3","Metano","ugC/m³","04/01/2021","09","899.900","1"
"Grumento3","Metano","ugC/m³","04/01/2021","10","900.790","1"
"Grumento3","Metano","ugC/m³","04/01/2021","11","-9999","-1"
"Grumento3","Metano","ugC/m³","04/01/2021","12","910.810","1"
"Grumento3","Metano","ugC/m³","04/01/2021","13","917.260","1"
"Grumento3","Metano","ugC/m³","04/01/2021","14","910.750","1"
"Grumento3","Metano","ugC/m³","04/01/2021","15","911.840","1"
"Grumento3","Metano","ugC/m³","04/01/2021","16","915.170","1"
"Grumento3","Metano","ugC/m³","04/01/2021","17","920.680","1"
"Grumento3","Metano","ugC/m³","04/01/2021","18","916.160","1"
"Grumento3","Metano","ugC/m³","04/01/2021","19","915.700","1"
"Grumento3","Metano","ugC/m³","04/01/2021","20","928.340","1"
"Grumento3","Metano","ugC/m³","04/01/2021","21","919.120","1"
"Grumento3","Metano","ugC/m³","04/01/2021","22","919.540","1"
"Grumento3","Metano","ugC/m³","04/01/2021","23","920.430","1"
"Grumento3","Metano","ugC/m³","04/01/2021","24","925.540","1"
"Grumento3","Metano","ugC/m³","05/01/2021","01","925.170","1"
"Grumento3","Metano","ugC/m³","05/01/2021","02","925.000","1"
"Grumento3","Metano","ugC/m³","05/01/2021","03","924.800","1"
"Grumento3","Metano","ugC/m³","05/01/2021","04","907.410","1"
"Grumento3","Metano","ugC/m³","05/01/2021","05","920.090","1"
"Grumento3","Metano","ugC/m³","05/01/2021","06","918.560","1"
"Grumento3","Metano","ugC/m³","05/01/2021","07","919.800","1"
"Grumento3","Metano","ugC/m³","05/01/2021","08","922.920","1"
"Grumento3","Metano","ugC/m³","05/01/2021","09","927.610","1"
"Grumento3","Metano","ugC/m³","05/01/2021","10","933.820","1"
"Grumento3","Metano","ugC/m³","05/01/2021","11","929.190","1"
"Grumento3","Metano","ugC/m³","05/01/2021","12","913.090","1"
"Grumento3","Metano","ugC/m³","05/01/2021","13","888.990","1"
"Grumento3","Metano","ugC/m³","05/01/2021","14","888.920","1"
"Grumento3","Metano","ugC/m³","05/01/2021","15","905.940","1"
"Grumento3","Metano","ugC/m³","05/01/2021","16","910.890","1"
"Grumento3","Metano","ugC/m³","05/01/2021","17","910.650","1"
"Grumento3","Metano","ugC/m³","05/01/2021","18","911.340","1"
"Grumento3","Metano","ugC/m³","05/01/2021","19","915.370","1"
"Grumento3","Metano","ugC/m³","05/01/2021","20","914.350","1"
"Grumento3","Metano","ugC/m³","05/01/2021","21","915.100","1"
"Grumento3","Metano","ugC/m³","05/01/2021","22","915.990","1"
"Grumento3","Metano","ugC/m³","05/01/2021","23","912.120","1"
"Grumento3","Metano","ugC/m³","05/01/2021","24","909.090","1"
