"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Grumento3","NMHC","ugC/m³","01/01/2021","01","44.800","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","02","43.330","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","03","43.620","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","04","46.370","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","05","41.900","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","06","42.600","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","07","43.540","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","08","44.290","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","09","46.840","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","10","49.060","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","11","48.830","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","12","43.860","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","13","52.010","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","14","44.730","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","15","50.780","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","16","58.950","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","17","72.270","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","18","87.100","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","19","81.240","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","20","68.420","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","21","58.870","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","22","67.700","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","23","59.880","1"
"Grumento3","NMHC","ugC/m³","01/01/2021","24","56.400","1"
"Grumento3","NMHC","ugC/m³","02/01/2021","01","50.790","1"
"Grumento3","NMHC","ugC/m³","02/01/2021","02","51.680","1"
"Grumento3","NMHC","ugC/m³","02/01/2021","03","47.540","1"
"Grumento3","NMHC","ugC/m³","02/01/2021","04","48.880","1"
"Grumento3","NMHC","ugC/m³","02/01/2021","05","45.480","1"
"Grumento3","NMHC","ugC/m³","02/01/2021","06","43.780","1"
