"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","O3","µg/m≥","01/01/2021","01","74.09","1"
"Grumento3","O3","µg/m≥","01/01/2021","02","77.29","1"
"Grumento3","O3","µg/m≥","01/01/2021","03","76.89","1"
"Grumento3","O3","µg/m≥","01/01/2021","04","76.85","1"
"Grumento3","O3","µg/m≥","01/01/2021","05","75.45","1"
"Grumento3","O3","µg/m≥","01/01/2021","06","77.96","1"
"Grumento3","O3","µg/m≥","01/01/2021","07","76.50","1"
"Grumento3","O3","µg/m≥","01/01/2021","08","73.56","1"
"Grumento3","O3","µg/m≥","01/01/2021","09","81.69","1"
"Grumento3","O3","µg/m≥","01/01/2021","10","81.61","-99"
"Grumento3","O3","µg/m≥","01/01/2021","11","77.45","1"
"Grumento3","O3","µg/m≥","01/01/2021","12","73.99","1"
"Grumento3","O3","µg/m≥","01/01/2021","13","75.64","1"
"Grumento3","O3","µg/m≥","01/01/2021","14","69.91","1"
"Grumento3","O3","µg/m≥","01/01/2021","15","72.02","1"
"Grumento3","O3","µg/m≥","01/01/2021","16","75.44","1"
"Grumento3","O3","µg/m≥","01/01/2021","17","78.50","1"
"Grumento3","O3","µg/m≥","01/01/2021","18","76.91","1"
"Grumento3","O3","µg/m≥","01/01/2021","19","82.72","1"
"Grumento3","O3","µg/m≥","01/01/2021","20","84.77","1"
"Grumento3","O3","µg/m≥","01/01/2021","21","79.93","1"
"Grumento3","O3","µg/m≥","01/01/2021","22","78.36","1"
"Grumento3","O3","µg/m≥","01/01/2021","23","79.43","1"
"Grumento3","O3","µg/m≥","01/01/2021","24","82.11","1"
"Grumento3","O3","µg/m≥","02/01/2021","01","84.89","1"
"Grumento3","O3","µg/m≥","02/01/2021","02","85.17","1"
"Grumento3","O3","µg/m≥","02/01/2021","03","80.27","1"
"Grumento3","O3","µg/m≥","02/01/2021","04","75.36","1"
"Grumento3","O3","µg/m≥","02/01/2021","05","77.62","1"
"Grumento3","O3","µg/m≥","02/01/2021","06","66.63","1"
"Grumento3","O3","µg/m≥","02/01/2021","07","72.35","1"
"Grumento3","O3","µg/m≥","02/01/2021","08","73.10","1"
"Grumento3","O3","µg/m≥","02/01/2021","09","73.34","-99"
"Grumento3","O3","µg/m≥","02/01/2021","10","68.31","1"
"Grumento3","O3","µg/m≥","02/01/2021","11","69.75","1"
"Grumento3","O3","µg/m≥","02/01/2021","12","74.32","1"
"Grumento3","O3","µg/m≥","02/01/2021","13","73.90","1"
"Grumento3","O3","µg/m≥","02/01/2021","14","80.07","1"
"Grumento3","O3","µg/m≥","02/01/2021","15","81.38","1"
"Grumento3","O3","µg/m≥","02/01/2021","16","93.27","1"
"Grumento3","O3","µg/m≥","02/01/2021","17","85.00","1"
"Grumento3","O3","µg/m≥","02/01/2021","18","83.33","1"
"Grumento3","O3","µg/m≥","02/01/2021","19","84.13","1"
"Grumento3","O3","µg/m≥","02/01/2021","20","87.51","1"
"Grumento3","O3","µg/m≥","02/01/2021","21","86.12","1"
"Grumento3","O3","µg/m≥","02/01/2021","22","86.71","1"
"Grumento3","O3","µg/m≥","02/01/2021","23","86.70","1"
"Grumento3","O3","µg/m≥","02/01/2021","24","79.16","1"
"Grumento3","O3","µg/m≥","03/01/2021","01","84.52","1"
"Grumento3","O3","µg/m≥","03/01/2021","02","89.10","1"
"Grumento3","O3","µg/m≥","03/01/2021","03","84.52","1"
"Grumento3","O3","µg/m≥","03/01/2021","04","85.14","1"
"Grumento3","O3","µg/m≥","03/01/2021","05","84.12","1"
"Grumento3","O3","µg/m≥","03/01/2021","06","85.27","1"
"Grumento3","O3","µg/m≥","03/01/2021","07","87.15","1"
"Grumento3","O3","µg/m≥","03/01/2021","08","89.98","-99"
"Grumento3","O3","µg/m≥","03/01/2021","09","73.87","1"
"Grumento3","O3","µg/m≥","03/01/2021","10","76.98","1"
"Grumento3","O3","µg/m≥","03/01/2021","11","80.54","1"
"Grumento3","O3","µg/m≥","03/01/2021","12","77.86","1"
"Grumento3","O3","µg/m≥","03/01/2021","13","85.32","1"
"Grumento3","O3","µg/m≥","03/01/2021","14","88.36","1"
"Grumento3","O3","µg/m≥","03/01/2021","15","91.25","1"
"Grumento3","O3","µg/m≥","03/01/2021","16","82.33","1"
"Grumento3","O3","µg/m≥","03/01/2021","17","81.62","1"
"Grumento3","O3","µg/m≥","03/01/2021","18","85.81","1"
"Grumento3","O3","µg/m≥","03/01/2021","19","82.90","1"
"Grumento3","O3","µg/m≥","03/01/2021","20","83.05","1"
"Grumento3","O3","µg/m≥","03/01/2021","21","76.51","1"
"Grumento3","O3","µg/m≥","03/01/2021","22","76.39","1"
"Grumento3","O3","µg/m≥","03/01/2021","23","71.19","1"
"Grumento3","O3","µg/m≥","03/01/2021","24","77.03","1"
"Grumento3","O3","µg/m≥","04/01/2021","01","79.43","1"
"Grumento3","O3","µg/m≥","04/01/2021","02","77.73","1"
"Grumento3","O3","µg/m≥","04/01/2021","03","82.43","1"
"Grumento3","O3","µg/m≥","04/01/2021","04","78.62","1"
"Grumento3","O3","µg/m≥","04/01/2021","05","76.23","1"
"Grumento3","O3","µg/m≥","04/01/2021","06","75.33","1"
"Grumento3","O3","µg/m≥","04/01/2021","07","75.49","-99"
"Grumento3","O3","µg/m≥","04/01/2021","08","70.26","1"
"Grumento3","O3","µg/m≥","04/01/2021","09","73.98","1"
"Grumento3","O3","µg/m≥","04/01/2021","10","73.76","1"
"Grumento3","O3","µg/m≥","04/01/2021","11","73.28","1"
"Grumento3","O3","µg/m≥","04/01/2021","12","72.88","1"
"Grumento3","O3","µg/m≥","04/01/2021","13","77.62","1"
"Grumento3","O3","µg/m≥","04/01/2021","14","83.02","1"
"Grumento3","O3","µg/m≥","04/01/2021","15","79.98","1"
"Grumento3","O3","µg/m≥","04/01/2021","16","82.60","1"
"Grumento3","O3","µg/m≥","04/01/2021","17","77.75","1"
"Grumento3","O3","µg/m≥","04/01/2021","18","78.70","1"
"Grumento3","O3","µg/m≥","04/01/2021","19","80.97","1"
"Grumento3","O3","µg/m≥","04/01/2021","20","78.15","1"
"Grumento3","O3","µg/m≥","04/01/2021","21","79.85","1"
"Grumento3","O3","µg/m≥","04/01/2021","22","78.02","1"
"Grumento3","O3","µg/m≥","04/01/2021","23","81.90","1"
"Grumento3","O3","µg/m≥","04/01/2021","24","79.36","1"
"Grumento3","O3","µg/m≥","05/01/2021","01","78.13","1"
"Grumento3","O3","µg/m≥","05/01/2021","02","78.37","1"
"Grumento3","O3","µg/m≥","05/01/2021","03","84.06","1"
"Grumento3","O3","µg/m≥","05/01/2021","04","79.53","1"
"Grumento3","O3","µg/m≥","05/01/2021","05","77.24","1"
"Grumento3","O3","µg/m≥","05/01/2021","06","-9999","-1"
"Grumento3","O3","µg/m≥","05/01/2021","07","78.69","1"
"Grumento3","O3","µg/m≥","05/01/2021","08","78.35","1"
"Grumento3","O3","µg/m≥","05/01/2021","09","71.77","1"
"Grumento3","O3","µg/m≥","05/01/2021","10","71.79","1"
"Grumento3","O3","µg/m≥","05/01/2021","11","71.05","1"
"Grumento3","O3","µg/m≥","05/01/2021","12","72.64","1"
"Grumento3","O3","µg/m≥","05/01/2021","13","75.06","1"
"Grumento3","O3","µg/m≥","05/01/2021","14","77.48","1"
"Grumento3","O3","µg/m≥","05/01/2021","15","75.69","1"
"Grumento3","O3","µg/m≥","05/01/2021","16","80.87","1"
"Grumento3","O3","µg/m≥","05/01/2021","17","83.50","1"
"Grumento3","O3","µg/m≥","05/01/2021","18","84.40","1"
"Grumento3","O3","µg/m≥","05/01/2021","19","86.68","1"
"Grumento3","O3","µg/m≥","05/01/2021","20","88.24","1"
"Grumento3","O3","µg/m≥","05/01/2021","21","84.91","1"
"Grumento3","O3","µg/m≥","05/01/2021","22","82.49","1"
"Grumento3","O3","µg/m≥","05/01/2021","23","87.20","1"
"Grumento3","O3","µg/m≥","05/01/2021","24","83.99","1"
"Grumento3","O3","µg/m≥","06/01/2021","01","81.93","1"
"Grumento3","O3","µg/m≥","06/01/2021","02","81.18","1"
"Grumento3","O3","µg/m≥","06/01/2021","03","86.54","1"
"Grumento3","O3","µg/m≥","06/01/2021","04","81.44","1"
"Grumento3","O3","µg/m≥","06/01/2021","05","82.76","-99"
"Grumento3","O3","µg/m≥","06/01/2021","06","80.52","1"
"Grumento3","O3","µg/m≥","06/01/2021","07","78.39","1"
"Grumento3","O3","µg/m≥","06/01/2021","08","81.25","1"
"Grumento3","O3","µg/m≥","06/01/2021","09","76.78","1"
"Grumento3","O3","µg/m≥","06/01/2021","10","80.78","1"
"Grumento3","O3","µg/m≥","06/01/2021","11","80.04","1"
"Grumento3","O3","µg/m≥","06/01/2021","12","85.44","1"
"Grumento3","O3","µg/m≥","06/01/2021","13","79.15","1"
"Grumento3","O3","µg/m≥","06/01/2021","14","81.01","1"
"Grumento3","O3","µg/m≥","06/01/2021","15","79.58","1"
"Grumento3","O3","µg/m≥","06/01/2021","16","81.29","1"
"Grumento3","O3","µg/m≥","06/01/2021","17","82.95","1"
"Grumento3","O3","µg/m≥","06/01/2021","18","83.40","1"
"Grumento3","O3","µg/m≥","06/01/2021","19","85.06","1"
"Grumento3","O3","µg/m≥","06/01/2021","20","86.63","1"
"Grumento3","O3","µg/m≥","06/01/2021","21","82.74","1"
"Grumento3","O3","µg/m≥","06/01/2021","22","81.32","1"
"Grumento3","O3","µg/m≥","06/01/2021","23","81.91","1"
"Grumento3","O3","µg/m≥","06/01/2021","24","84.01","1"
"Grumento3","O3","µg/m≥","07/01/2021","01","84.46","1"
"Grumento3","O3","µg/m≥","07/01/2021","02","82.87","1"
"Grumento3","O3","µg/m≥","07/01/2021","03","82.71","1"
"Grumento3","O3","µg/m≥","07/01/2021","04","77.35","-99"
"Grumento3","O3","µg/m≥","07/01/2021","05","77.87","1"
"Grumento3","O3","µg/m≥","07/01/2021","06","82.38","1"
"Grumento3","O3","µg/m≥","07/01/2021","07","75.99","1"
"Grumento3","O3","µg/m≥","07/01/2021","08","74.23","1"
"Grumento3","O3","µg/m≥","07/01/2021","09","69.56","1"
"Grumento3","O3","µg/m≥","07/01/2021","10","59.75","1"
"Grumento3","O3","µg/m≥","07/01/2021","11","54.74","1"
"Grumento3","O3","µg/m≥","07/01/2021","12","61.69","1"
"Grumento3","O3","µg/m≥","07/01/2021","13","57.29","1"
