"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Grumento3","PM2-5","µg/m³","01/01/2021","8.78","1"
"Grumento3","PM2-5","µg/m³","02/01/2021","10.97","1"
"Grumento3","PM2-5","µg/m³","03/01/2021","15.73","1"
"Grumento3","PM2-5","µg/m³","04/01/2021","3.00","1"
"Grumento3","PM2-5","µg/m³","05/01/2021","6.77","1"
"Grumento3","PM2-5","µg/m³","06/01/2021","8.78","1"
"Grumento3","PM2-5","µg/m³","07/01/2021","11.45","1"
"Grumento3","PM2-5","µg/m³","08/01/2021","10.42","1"
"Grumento3","PM2-5","µg/m³","09/01/2021","8.22","1"
"Grumento3","PM2-5","µg/m³","10/01/2021","12.45","1"
"Grumento3","PM2-5","µg/m³","11/01/2021","16.07","1"
"Grumento3","PM2-5","µg/m³","12/01/2021","4.65","1"
"Grumento3","PM2-5","µg/m³","13/01/2021","7.03","1"
"Grumento3","PM2-5","µg/m³","14/01/2021","7.67","1"
"Grumento3","PM2-5","µg/m³","15/01/2021","8.02","1"
"Grumento3","PM2-5","µg/m³","16/01/2021","3.76","1"
"Grumento3","PM2-5","µg/m³","17/01/2021","4.58","1"
"Grumento3","PM2-5","µg/m³","18/01/2021","5.68","1"
"Grumento3","PM2-5","µg/m³","19/01/2021","5.27","1"
"Grumento3","PM2-5","µg/m³","20/01/2021","2.63","1"
"Grumento3","PM2-5","µg/m³","21/01/2021","10.36","1"
"Grumento3","PM2-5","µg/m³","22/01/2021","11.21","1"
"Grumento3","PM2-5","µg/m³","23/01/2021","4.50","1"
"Grumento3","PM2-5","µg/m³","24/01/2021","3.58","1"
"Grumento3","PM2-5","µg/m³","25/01/2021","4.12","1"
"Grumento3","PM2-5","µg/m³","26/01/2021","3.83","1"
"Grumento3","PM2-5","µg/m³","27/01/2021","6.14","1"
"Grumento3","PM2-5","µg/m³","28/01/2021","10.57","1"
"Grumento3","PM2-5","µg/m³","29/01/2021","3.02","1"
"Grumento3","PM2-5","µg/m³","30/01/2021","7.41","1"
"Grumento3","PM2-5","µg/m³","31/01/2021","2.88","1"
"Grumento3","PM2-5","µg/m³","01/02/2021","2.33","1"
"Grumento3","PM2-5","µg/m³","02/02/2021","6.16","1"
"Grumento3","PM2-5","µg/m³","03/02/2021","6.24","1"
"Grumento3","PM2-5","µg/m³","04/02/2021","4.36","1"
"Grumento3","PM2-5","µg/m³","05/02/2021","7.66","1"
"Grumento3","PM2-5","µg/m³","06/02/2021","13.67","1"
"Grumento3","PM2-5","µg/m³","07/02/2021","14.81","1"
"Grumento3","PM2-5","µg/m³","08/02/2021","5.29","1"
"Grumento3","PM2-5","µg/m³","09/02/2021","2.82","1"
"Grumento3","PM2-5","µg/m³","10/02/2021","3.32","1"
"Grumento3","PM2-5","µg/m³","11/02/2021","5.88","1"
"Grumento3","PM2-5","µg/m³","12/02/2021","11.98","1"
"Grumento3","PM2-5","µg/m³","13/02/2021","5.50","1"
"Grumento3","PM2-5","µg/m³","14/02/2021","6.48","1"
"Grumento3","PM2-5","µg/m³","15/02/2021","6.10","1"
"Grumento3","PM2-5","µg/m³","16/02/2021","4.08","1"
"Grumento3","PM2-5","µg/m³","17/02/2021","5.66","1"
"Grumento3","PM2-5","µg/m³","18/02/2021","12.97","1"
"Grumento3","PM2-5","µg/m³","19/02/2021","8.91","1"
"Grumento3","PM2-5","µg/m³","20/02/2021","12.56","1"
"Grumento3","PM2-5","µg/m³","21/02/2021","18.47","1"
"Grumento3","PM2-5","µg/m³","22/02/2021","17.00","1"
"Grumento3","PM2-5","µg/m³","23/02/2021","17.27","1"
"Grumento3","PM2-5","µg/m³","24/02/2021","27.06","1"
"Grumento3","PM2-5","µg/m³","25/02/2021","23.07","1"
"Grumento3","PM2-5","µg/m³","26/02/2021","26.17","1"
"Grumento3","PM2-5","µg/m³","27/02/2021","27.51","1"
"Grumento3","PM2-5","µg/m³","28/02/2021","24.87","1"
"Grumento3","PM2-5","µg/m³","01/03/2021","15.38","1"
"Grumento3","PM2-5","µg/m³","02/03/2021","21.42","1"
"Grumento3","PM2-5","µg/m³","03/03/2021","17.07","1"
"Grumento3","PM2-5","µg/m³","04/03/2021","15.15","1"
"Grumento3","PM2-5","µg/m³","05/03/2021","17.89","1"
"Grumento3","PM2-5","µg/m³","06/03/2021","21.49","1"
"Grumento3","PM2-5","µg/m³","07/03/2021","13.34","1"
"Grumento3","PM2-5","µg/m³","08/03/2021","21.13","1"
"Grumento3","PM2-5","µg/m³","09/03/2021","21.27","1"
"Grumento3","PM2-5","µg/m³","10/03/2021","9.00","1"
"Grumento3","PM2-5","µg/m³","11/03/2021","10.55","1"
"Grumento3","PM2-5","µg/m³","12/03/2021","7.92","1"
"Grumento3","PM2-5","µg/m³","13/03/2021","7.24","1"
"Grumento3","PM2-5","µg/m³","14/03/2021","4.11","1"
"Grumento3","PM2-5","µg/m³","15/03/2021","3.48","1"
"Grumento3","PM2-5","µg/m³","16/03/2021","6.52","1"
"Grumento3","PM2-5","µg/m³","17/03/2021","5.91","1"
"Grumento3","PM2-5","µg/m³","18/03/2021","13.16","1"
"Grumento3","PM2-5","µg/m³","19/03/2021","-9999","-1"
"Grumento3","PM2-5","µg/m³","20/03/2021","9.55","1"
"Grumento3","PM2-5","µg/m³","21/03/2021","5.96","1"
"Grumento3","PM2-5","µg/m³","22/03/2021","9.61","1"
"Grumento3","PM2-5","µg/m³","23/03/2021","5.97","1"
"Grumento3","PM2-5","µg/m³","24/03/2021","8.77","1"
"Grumento3","PM2-5","µg/m³","25/03/2021","7.36","1"
"Grumento3","PM2-5","µg/m³","26/03/2021","11.60","1"
"Grumento3","PM2-5","µg/m³","27/03/2021","8.78","1"
"Grumento3","PM2-5","µg/m³","28/03/2021","11.41","1"
"Grumento3","PM2-5","µg/m³","29/03/2021","11.95","1"
"Grumento3","PM2-5","µg/m³","30/03/2021","9.88","1"
"Grumento3","PM2-5","µg/m³","31/03/2021","8.80","1"
