"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Grumento3","Pressione","hPa","01/01/2021","01","921.690","1"
"Grumento3","Pressione","hPa","01/01/2021","02","921.590","1"
"Grumento3","Pressione","hPa","01/01/2021","03","921.790","1"
"Grumento3","Pressione","hPa","01/01/2021","04","921.860","1"
"Grumento3","Pressione","hPa","01/01/2021","05","921.730","1"
"Grumento3","Pressione","hPa","01/01/2021","06","921.850","1"
"Grumento3","Pressione","hPa","01/01/2021","07","922.230","1"
"Grumento3","Pressione","hPa","01/01/2021","08","922.450","1"
"Grumento3","Pressione","hPa","01/01/2021","09","923.030","1"
"Grumento3","Pressione","hPa","01/01/2021","10","924.160","1"
"Grumento3","Pressione","hPa","01/01/2021","11","925.230","1"
"Grumento3","Pressione","hPa","01/01/2021","12","924.860","1"
"Grumento3","Pressione","hPa","01/01/2021","13","924.310","1"
"Grumento3","Pressione","hPa","01/01/2021","14","923.850","1"
"Grumento3","Pressione","hPa","01/01/2021","15","923.710","1"
"Grumento3","Pressione","hPa","01/01/2021","16","923.880","1"
"Grumento3","Pressione","hPa","01/01/2021","17","923.980","1"
"Grumento3","Pressione","hPa","01/01/2021","18","924.010","1"
"Grumento3","Pressione","hPa","01/01/2021","19","924.170","1"
"Grumento3","Pressione","hPa","01/01/2021","20","924.270","1"
"Grumento3","Pressione","hPa","01/01/2021","21","924.300","1"
"Grumento3","Pressione","hPa","01/01/2021","22","924.270","1"
"Grumento3","Pressione","hPa","01/01/2021","23","924.280","1"
"Grumento3","Pressione","hPa","01/01/2021","24","924.090","1"
"Grumento3","Pressione","hPa","02/01/2021","01","923.640","1"
"Grumento3","Pressione","hPa","02/01/2021","02","923.600","1"
"Grumento3","Pressione","hPa","02/01/2021","03","922.780","1"
"Grumento3","Pressione","hPa","02/01/2021","04","922.900","1"
"Grumento3","Pressione","hPa","02/01/2021","05","921.920","1"
"Grumento3","Pressione","hPa","02/01/2021","06","919.450","1"
"Grumento3","Pressione","hPa","02/01/2021","07","919.470","1"
"Grumento3","Pressione","hPa","02/01/2021","08","919.660","1"
"Grumento3","Pressione","hPa","02/01/2021","09","919.970","1"
"Grumento3","Pressione","hPa","02/01/2021","10","921.930","1"
"Grumento3","Pressione","hPa","02/01/2021","11","921.860","1"
"Grumento3","Pressione","hPa","02/01/2021","12","921.120","1"
"Grumento3","Pressione","hPa","02/01/2021","13","920.530","1"
"Grumento3","Pressione","hPa","02/01/2021","14","919.920","1"
"Grumento3","Pressione","hPa","02/01/2021","15","920.330","1"
"Grumento3","Pressione","hPa","02/01/2021","16","921.470","1"
"Grumento3","Pressione","hPa","02/01/2021","17","921.630","1"
"Grumento3","Pressione","hPa","02/01/2021","18","921.750","1"
"Grumento3","Pressione","hPa","02/01/2021","19","922.010","1"
"Grumento3","Pressione","hPa","02/01/2021","20","922.130","1"
"Grumento3","Pressione","hPa","02/01/2021","21","922.230","1"
"Grumento3","Pressione","hPa","02/01/2021","22","922.480","1"
"Grumento3","Pressione","hPa","02/01/2021","23","922.610","1"
"Grumento3","Pressione","hPa","02/01/2021","24","922.210","1"
"Grumento3","Pressione","hPa","03/01/2021","01","922.000","1"
"Grumento3","Pressione","hPa","03/01/2021","02","922.120","1"
"Grumento3","Pressione","hPa","03/01/2021","03","922.170","1"
"Grumento3","Pressione","hPa","03/01/2021","04","921.950","1"
