"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","01","-31.170","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","02","-38.410","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","03","-40.640","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","04","-39.410","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","05","-39.380","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","06","-37.850","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","07","-33.410","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","08","-30.210","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","09","-23.950","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","10","-20.030","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","11","11.890","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","12","53.190","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","13","76.570","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","14","111.260","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","15","250.460","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","16","2.810","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","17","-32.500","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","18","-39.490","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","19","-42.750","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","20","-29.320","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","21","-8.690","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","22","-22.740","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","23","-19.850","1"
"Grumento3","Radiazione_Netta","W/m≤","01/01/2021","24","-40.160","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","01","-36.720","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","02","-32.570","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","03","-23.270","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","04","-4.350","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","05","-20.980","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","06","-11.370","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","07","-9.060","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","08","-14.570","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","09","-13.950","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","10","13.690","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","11","-0.970","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","12","14.450","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","13","81.660","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","14","104.340","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","15","52.120","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","16","-42.990","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","17","-9.860","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","18","-12.050","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","19","-4.700","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","20","-14.800","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","21","-14.660","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","22","-9.830","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","23","-25.490","1"
"Grumento3","Radiazione_Netta","W/m≤","02/01/2021","24","-22.980","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","01","-30.370","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","02","-15.110","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","03","-20.860","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","04","-10.070","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","05","-28.070","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","06","-27.450","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","07","-28.050","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","08","-28.340","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","09","-7.590","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","10","-30.660","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","11","-5.290","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","12","-10.380","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","13","-18.720","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","14","26.900","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","15","29.390","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","16","-8.580","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","17","-36.220","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","18","-36.330","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","19","-34.920","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","20","-28.190","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","21","-33.510","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","22","-24.460","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","23","-17.090","1"
"Grumento3","Radiazione_Netta","W/m≤","03/01/2021","24","-27.160","1"
"Grumento3","Radiazione_Netta","W/m≤","04/01/2021","01","-22.710","1"
"Grumento3","Radiazione_Netta","W/m≤","04/01/2021","02","-28.880","1"
"Grumento3","Radiazione_Netta","W/m≤","04/01/2021","03","-23.590","1"
"Grumento3","Radiazione_Netta","W/m≤","04/01/2021","04","-23.620","1"
"Grumento3","Radiazione_Netta","W/m≤","04/01/2021","05","-20.400","1"
"Grumento3","Radiazione_Netta","W/m≤","04/01/2021","06","-10.260","1"
