"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","SO2","µg/m≥","01/01/2021","01","2.77","1"
"Grumento3","SO2","µg/m≥","01/01/2021","02","2.80","1"
"Grumento3","SO2","µg/m≥","01/01/2021","03","3.61","1"
"Grumento3","SO2","µg/m≥","01/01/2021","04","2.13","1"
"Grumento3","SO2","µg/m≥","01/01/2021","05","1.73","1"
"Grumento3","SO2","µg/m≥","01/01/2021","06","2.33","1"
"Grumento3","SO2","µg/m≥","01/01/2021","07","2.12","1"
"Grumento3","SO2","µg/m≥","01/01/2021","08","1.98","1"
"Grumento3","SO2","µg/m≥","01/01/2021","09","1.38","1"
"Grumento3","SO2","µg/m≥","01/01/2021","10","1.70","1"
"Grumento3","SO2","µg/m≥","01/01/2021","11","1.28","1"
"Grumento3","SO2","µg/m≥","01/01/2021","12","0.67","1"
"Grumento3","SO2","µg/m≥","01/01/2021","13","0.47","1"
"Grumento3","SO2","µg/m≥","01/01/2021","14","0.79","1"
"Grumento3","SO2","µg/m≥","01/01/2021","15","1.62","1"
"Grumento3","SO2","µg/m≥","01/01/2021","16","3.03","1"
"Grumento3","SO2","µg/m≥","01/01/2021","17","2.94","1"
"Grumento3","SO2","µg/m≥","01/01/2021","18","2.11","1"
"Grumento3","SO2","µg/m≥","01/01/2021","19","1.94","1"
"Grumento3","SO2","µg/m≥","01/01/2021","20","1.35","1"
"Grumento3","SO2","µg/m≥","01/01/2021","21","1.67","1"
"Grumento3","SO2","µg/m≥","01/01/2021","22","1.51","1"
"Grumento3","SO2","µg/m≥","01/01/2021","23","1.26","1"
"Grumento3","SO2","µg/m≥","01/01/2021","24","1.44","1"
"Grumento3","SO2","µg/m≥","02/01/2021","01","1.74","1"
"Grumento3","SO2","µg/m≥","02/01/2021","02","2.30","1"
"Grumento3","SO2","µg/m≥","02/01/2021","03","2.11","1"
"Grumento3","SO2","µg/m≥","02/01/2021","04","3.10","1"
"Grumento3","SO2","µg/m≥","02/01/2021","05","3.46","1"
"Grumento3","SO2","µg/m≥","02/01/2021","06","2.80","1"
"Grumento3","SO2","µg/m≥","02/01/2021","07","1.40","1"
"Grumento3","SO2","µg/m≥","02/01/2021","08","2.24","1"
"Grumento3","SO2","µg/m≥","02/01/2021","09","2.11","1"
"Grumento3","SO2","µg/m≥","02/01/2021","10","2.40","1"
"Grumento3","SO2","µg/m≥","02/01/2021","11","1.69","1"
"Grumento3","SO2","µg/m≥","02/01/2021","12","1.62","1"
"Grumento3","SO2","µg/m≥","02/01/2021","13","1.66","1"
"Grumento3","SO2","µg/m≥","02/01/2021","14","-9999","-1"
"Grumento3","SO2","µg/m≥","02/01/2021","15","2.72","-99"
"Grumento3","SO2","µg/m≥","02/01/2021","16","1.49","1"
"Grumento3","SO2","µg/m≥","02/01/2021","17","0.49","1"
"Grumento3","SO2","µg/m≥","02/01/2021","18","0.57","1"
"Grumento3","SO2","µg/m≥","02/01/2021","19","1.00","1"
"Grumento3","SO2","µg/m≥","02/01/2021","20","2.14","1"
"Grumento3","SO2","µg/m≥","02/01/2021","21","1.71","1"
"Grumento3","SO2","µg/m≥","02/01/2021","22","1.94","1"
"Grumento3","SO2","µg/m≥","02/01/2021","23","1.63","1"
"Grumento3","SO2","µg/m≥","02/01/2021","24","1.47","1"
"Grumento3","SO2","µg/m≥","03/01/2021","01","0.48","1"
"Grumento3","SO2","µg/m≥","03/01/2021","02","1.05","1"
"Grumento3","SO2","µg/m≥","03/01/2021","03","0.61","1"
"Grumento3","SO2","µg/m≥","03/01/2021","04","0.52","1"
"Grumento3","SO2","µg/m≥","03/01/2021","05","1.07","1"
"Grumento3","SO2","µg/m≥","03/01/2021","06","3.86","1"
"Grumento3","SO2","µg/m≥","03/01/2021","07","4.55","1"
"Grumento3","SO2","µg/m≥","03/01/2021","08","5.69","1"
"Grumento3","SO2","µg/m≥","03/01/2021","09","5.84","1"
"Grumento3","SO2","µg/m≥","03/01/2021","10","6.86","1"
"Grumento3","SO2","µg/m≥","03/01/2021","11","6.33","1"
"Grumento3","SO2","µg/m≥","03/01/2021","12","6.27","1"
"Grumento3","SO2","µg/m≥","03/01/2021","13","5.65","1"
"Grumento3","SO2","µg/m≥","03/01/2021","14","4.08","1"
"Grumento3","SO2","µg/m≥","03/01/2021","15","4.12","1"
"Grumento3","SO2","µg/m≥","03/01/2021","16","5.96","1"
"Grumento3","SO2","µg/m≥","03/01/2021","17","5.14","1"
"Grumento3","SO2","µg/m≥","03/01/2021","18","5.10","1"
"Grumento3","SO2","µg/m≥","03/01/2021","19","5.54","1"
"Grumento3","SO2","µg/m≥","03/01/2021","20","5.60","1"
"Grumento3","SO2","µg/m≥","03/01/2021","21","6.64","1"
"Grumento3","SO2","µg/m≥","03/01/2021","22","6.12","1"
"Grumento3","SO2","µg/m≥","03/01/2021","23","4.45","1"
"Grumento3","SO2","µg/m≥","03/01/2021","24","4.16","1"
"Grumento3","SO2","µg/m≥","04/01/2021","01","4.15","1"
"Grumento3","SO2","µg/m≥","04/01/2021","02","2.83","1"
"Grumento3","SO2","µg/m≥","04/01/2021","03","4.11","1"
"Grumento3","SO2","µg/m≥","04/01/2021","04","2.98","1"
"Grumento3","SO2","µg/m≥","04/01/2021","05","3.20","1"
"Grumento3","SO2","µg/m≥","04/01/2021","06","5.64","1"
"Grumento3","SO2","µg/m≥","04/01/2021","07","5.76","1"
"Grumento3","SO2","µg/m≥","04/01/2021","08","5.20","1"
"Grumento3","SO2","µg/m≥","04/01/2021","09","4.67","1"
"Grumento3","SO2","µg/m≥","04/01/2021","10","5.42","1"
"Grumento3","SO2","µg/m≥","04/01/2021","11","4.56","1"
"Grumento3","SO2","µg/m≥","04/01/2021","12","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","13","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","14","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","15","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","16","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","17","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","18","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","19","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","20","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","21","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","22","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","23","-9999","-1"
"Grumento3","SO2","µg/m≥","04/01/2021","24","-9999","-1"
"Grumento3","SO2","µg/m≥","05/01/2021","01","-9999","-1"
"Grumento3","SO2","µg/m≥","05/01/2021","02","-9999","-1"
"Grumento3","SO2","µg/m≥","05/01/2021","03","-9999","-1"
"Grumento3","SO2","µg/m≥","05/01/2021","04","-9999","-1"
"Grumento3","SO2","µg/m≥","05/01/2021","05","-9999","-1"
"Grumento3","SO2","µg/m≥","05/01/2021","06","3.26","1"
"Grumento3","SO2","µg/m≥","05/01/2021","07","2.71","1"
"Grumento3","SO2","µg/m≥","05/01/2021","08","2.98","1"
"Grumento3","SO2","µg/m≥","05/01/2021","09","2.81","1"
"Grumento3","SO2","µg/m≥","05/01/2021","10","2.16","1"
"Grumento3","SO2","µg/m≥","05/01/2021","11","3.97","1"
"Grumento3","SO2","µg/m≥","05/01/2021","12","4.88","1"
"Grumento3","SO2","µg/m≥","05/01/2021","13","15.38","1"
"Grumento3","SO2","µg/m≥","05/01/2021","14","16.22","1"
"Grumento3","SO2","µg/m≥","05/01/2021","15","4.51","1"
"Grumento3","SO2","µg/m≥","05/01/2021","16","3.29","1"
"Grumento3","SO2","µg/m≥","05/01/2021","17","2.84","1"
"Grumento3","SO2","µg/m≥","05/01/2021","18","2.28","1"
"Grumento3","SO2","µg/m≥","05/01/2021","19","2.02","1"
"Grumento3","SO2","µg/m≥","05/01/2021","20","1.91","1"
"Grumento3","SO2","µg/m≥","05/01/2021","21","2.09","1"
"Grumento3","SO2","µg/m≥","05/01/2021","22","1.59","1"
"Grumento3","SO2","µg/m≥","05/01/2021","23","1.56","1"
"Grumento3","SO2","µg/m≥","05/01/2021","24","1.83","1"
"Grumento3","SO2","µg/m≥","06/01/2021","01","1.31","1"
"Grumento3","SO2","µg/m≥","06/01/2021","02","1.21","1"
"Grumento3","SO2","µg/m≥","06/01/2021","03","1.08","1"
"Grumento3","SO2","µg/m≥","06/01/2021","04","1.62","1"
"Grumento3","SO2","µg/m≥","06/01/2021","05","1.07","1"
"Grumento3","SO2","µg/m≥","06/01/2021","06","2.23","1"
"Grumento3","SO2","µg/m≥","06/01/2021","07","2.27","1"
"Grumento3","SO2","µg/m≥","06/01/2021","08","2.12","1"
"Grumento3","SO2","µg/m≥","06/01/2021","09","2.44","1"
"Grumento3","SO2","µg/m≥","06/01/2021","10","2.44","1"
"Grumento3","SO2","µg/m≥","06/01/2021","11","3.05","1"
"Grumento3","SO2","µg/m≥","06/01/2021","12","3.05","1"
"Grumento3","SO2","µg/m≥","06/01/2021","13","2.80","1"
"Grumento3","SO2","µg/m≥","06/01/2021","14","3.20","1"
"Grumento3","SO2","µg/m≥","06/01/2021","15","3.01","1"
"Grumento3","SO2","µg/m≥","06/01/2021","16","2.79","1"
"Grumento3","SO2","µg/m≥","06/01/2021","17","3.45","1"
"Grumento3","SO2","µg/m≥","06/01/2021","18","2.63","1"
"Grumento3","SO2","µg/m≥","06/01/2021","19","4.23","1"
"Grumento3","SO2","µg/m≥","06/01/2021","20","4.72","1"
"Grumento3","SO2","µg/m≥","06/01/2021","21","4.58","1"
"Grumento3","SO2","µg/m≥","06/01/2021","22","3.94","1"
"Grumento3","SO2","µg/m≥","06/01/2021","23","3.89","1"
"Grumento3","SO2","µg/m≥","06/01/2021","24","3.79","1"
"Grumento3","SO2","µg/m≥","07/01/2021","01","1.78","1"
"Grumento3","SO2","µg/m≥","07/01/2021","02","1.58","1"
"Grumento3","SO2","µg/m≥","07/01/2021","03","1.14","1"
"Grumento3","SO2","µg/m≥","07/01/2021","04","1.87","1"
"Grumento3","SO2","µg/m≥","07/01/2021","05","2.29","1"
"Grumento3","SO2","µg/m≥","07/01/2021","06","2.64","1"
"Grumento3","SO2","µg/m≥","07/01/2021","07","3.49","1"
"Grumento3","SO2","µg/m≥","07/01/2021","08","2.81","1"
"Grumento3","SO2","µg/m≥","07/01/2021","09","3.33","1"
"Grumento3","SO2","µg/m≥","07/01/2021","10","3.93","1"
"Grumento3","SO2","µg/m≥","07/01/2021","11","3.21","1"
"Grumento3","SO2","µg/m≥","07/01/2021","12","3.75","1"
