"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Grumento3","Temperatura","°C","01/01/2021","01","2.980","1"
"Grumento3","Temperatura","°C","01/01/2021","02","3.100","1"
"Grumento3","Temperatura","°C","01/01/2021","03","3.070","1"
"Grumento3","Temperatura","°C","01/01/2021","04","2.500","1"
"Grumento3","Temperatura","°C","01/01/2021","05","2.760","1"
"Grumento3","Temperatura","°C","01/01/2021","06","2.870","1"
"Grumento3","Temperatura","°C","01/01/2021","07","2.850","1"
"Grumento3","Temperatura","°C","01/01/2021","08","2.230","1"
"Grumento3","Temperatura","°C","01/01/2021","09","3.460","1"
"Grumento3","Temperatura","°C","01/01/2021","10","4.280","1"
"Grumento3","Temperatura","°C","01/01/2021","11","5.380","1"
"Grumento3","Temperatura","°C","01/01/2021","12","6.650","1"
"Grumento3","Temperatura","°C","01/01/2021","13","7.420","1"
"Grumento3","Temperatura","°C","01/01/2021","14","8.570","1"
"Grumento3","Temperatura","°C","01/01/2021","15","9.730","1"
"Grumento3","Temperatura","°C","01/01/2021","16","7.770","1"
"Grumento3","Temperatura","°C","01/01/2021","17","5.970","1"
"Grumento3","Temperatura","°C","01/01/2021","18","5.390","1"
"Grumento3","Temperatura","°C","01/01/2021","19","5.020","1"
"Grumento3","Temperatura","°C","01/01/2021","20","5.040","1"
"Grumento3","Temperatura","°C","01/01/2021","21","5.270","1"
"Grumento3","Temperatura","°C","01/01/2021","22","4.680","1"
"Grumento3","Temperatura","°C","01/01/2021","23","4.930","1"
"Grumento3","Temperatura","°C","01/01/2021","24","5.040","1"
"Grumento3","Temperatura","°C","02/01/2021","01","5.130","1"
"Grumento3","Temperatura","°C","02/01/2021","02","5.470","1"
"Grumento3","Temperatura","°C","02/01/2021","03","4.460","1"
"Grumento3","Temperatura","°C","02/01/2021","04","4.610","1"
"Grumento3","Temperatura","°C","02/01/2021","05","4.120","1"
"Grumento3","Temperatura","°C","02/01/2021","06","2.520","1"
"Grumento3","Temperatura","°C","02/01/2021","07","3.070","1"
"Grumento3","Temperatura","°C","02/01/2021","08","3.110","1"
"Grumento3","Temperatura","°C","02/01/2021","09","3.550","1"
"Grumento3","Temperatura","°C","02/01/2021","10","5.510","1"
"Grumento3","Temperatura","°C","02/01/2021","11","6.150","1"
"Grumento3","Temperatura","°C","02/01/2021","12","7.480","1"
"Grumento3","Temperatura","°C","02/01/2021","13","8.790","1"
"Grumento3","Temperatura","°C","02/01/2021","14","11.260","1"
"Grumento3","Temperatura","°C","02/01/2021","15","10.640","1"
"Grumento3","Temperatura","°C","02/01/2021","16","6.540","1"
"Grumento3","Temperatura","°C","02/01/2021","17","5.010","1"
"Grumento3","Temperatura","°C","02/01/2021","18","5.040","1"
"Grumento3","Temperatura","°C","02/01/2021","19","5.510","1"
"Grumento3","Temperatura","°C","02/01/2021","20","5.980","1"
"Grumento3","Temperatura","°C","02/01/2021","21","6.560","1"
"Grumento3","Temperatura","°C","02/01/2021","22","6.510","1"
"Grumento3","Temperatura","°C","02/01/2021","23","6.470","1"
"Grumento3","Temperatura","°C","02/01/2021","24","6.130","1"
"Grumento3","Temperatura","°C","03/01/2021","01","6.230","1"
"Grumento3","Temperatura","°C","03/01/2021","02","6.230","1"
"Grumento3","Temperatura","°C","03/01/2021","03","5.700","1"
"Grumento3","Temperatura","°C","03/01/2021","04","5.870","1"
"Grumento3","Temperatura","°C","03/01/2021","05","5.840","1"
"Grumento3","Temperatura","°C","03/01/2021","06","4.460","1"
"Grumento3","Temperatura","°C","03/01/2021","07","3.410","1"
"Grumento3","Temperatura","°C","03/01/2021","08","3.380","1"
"Grumento3","Temperatura","°C","03/01/2021","09","3.540","1"
