"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","Toluene","µg/m≥","01/01/2021","01","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","02","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","03","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","04","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","05","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","06","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","07","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","08","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","09","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","10","0.240","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","11","0.160","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","12","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","13","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","14","0.300","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","15","0.080","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","16","0.120","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","17","0.340","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","18","0.620","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","19","1.320","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","20","1.020","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","21","0.320","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","22","0.340","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","23","0.750","1"
"Grumento3","Toluene","µg/m≥","01/01/2021","24","0.550","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","01","0.480","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","02","0.340","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","03","0.110","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","04","0.210","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","05","0.110","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","06","0.190","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","07","0.080","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","08","0.080","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","09","0.200","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","10","0.120","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","11","0.160","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","12","0.540","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","13","0.320","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","14","0.310","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","15","0.250","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","16","0.150","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","17","0.080","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","18","0.400","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","19","0.460","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","20","0.470","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","21","0.810","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","22","0.080","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","23","0.200","1"
"Grumento3","Toluene","µg/m≥","02/01/2021","24","0.180","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","01","0.180","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","02","0.080","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","03","0.220","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","04","0.080","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","05","0.100","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","06","0.210","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","07","0.080","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","08","0.090","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","09","0.130","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","10","2.530","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","11","0.220","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","12","0.080","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","13","0.250","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","14","0.080","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","15","0.150","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","16","0.080","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","17","0.080","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","18","0.080","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","19","0.080","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","20","0.390","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","21","0.820","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","22","0.500","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","23","0.080","1"
"Grumento3","Toluene","µg/m≥","03/01/2021","24","0.220","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","01","0.130","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","02","0.080","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","03","0.100","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","04","0.160","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","05","0.080","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","06","0.080","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","07","0.100","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","08","0.250","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","09","0.140","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","10","0.080","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","11","0.080","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","12","0.090","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","13","0.200","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","14","0.070","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","15","0.070","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","16","0.070","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","17","0.070","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","18","0.140","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","19","0.140","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","20","0.070","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","21","0.070","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","22","0.070","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","23","0.090","1"
"Grumento3","Toluene","µg/m≥","04/01/2021","24","0.160","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","01","0.070","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","02","0.080","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","03","0.120","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","04","0.070","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","05","0.070","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","06","0.070","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","07","0.080","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","08","0.200","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","09","0.400","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","10","0.550","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","11","0.430","1"
"Grumento3","Toluene","µg/m≥","05/01/2021","12","-9999","-1"
"Grumento3","Toluene","µg/m≥","05/01/2021","13","-9999","-1"
"Grumento3","Toluene","µg/m≥","05/01/2021","14","-9999","-1"
"Grumento3","Toluene","µg/m≥","05/01/2021","15","-9999","-1"
