"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"La_Martella","Benzene","µg/m≥","01/01/2021","01","1.070","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","02","1.300","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","03","1.380","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","04","1.340","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","05","1.350","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","06","1.300","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","07","1.200","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","08","1.140","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","09","1.060","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","10","0.950","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","11","0.910","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","12","0.930","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","13","0.980","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","14","0.960","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","15","0.960","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","16","0.850","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","17","0.870","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","18","0.880","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","19","0.990","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","20","1.280","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","21","1.200","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","22","1.310","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","23","1.300","1"
"La_Martella","Benzene","µg/m≥","01/01/2021","24","1.740","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","01","1.260","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","02","1.090","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","03","1.080","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","04","1.080","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","05","1.110","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","06","1.060","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","07","1.120","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","08","1.080","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","09","1.050","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","10","0.550","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","11","0.470","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","12","0.460","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","13","0.470","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","14","0.450","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","15","0.490","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","16","0.460","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","17","0.450","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","18","0.460","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","19","0.730","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","20","0.600","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","21","0.700","1"
"La_Martella","Benzene","µg/m≥","02/01/2021","22","0.820","1"
