"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"La_Martella","Direzione_Vento","∞N","01/01/2021","01","48.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","02","51.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","03","48.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","04","50.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","05","52.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","06","49.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","07","50.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","08","49.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","09","67.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","10","312.000","-1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","11","194.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","12","180.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","13","182.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","14","176.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","15","178.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","16","175.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","17","177.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","18","175.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","19","159.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","20","189.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","21","135.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","22","127.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","23","103.000","1"
"La_Martella","Direzione_Vento","∞N","01/01/2021","24","143.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","01","126.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","02","156.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","03","192.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","04","169.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","05","176.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","06","162.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","07","193.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","08","176.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","09","183.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","10","182.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","11","175.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","12","180.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","13","177.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","14","170.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","15","170.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","16","172.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","17","170.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","18","249.000","1"
"La_Martella","Direzione_Vento","∞N","02/01/2021","19","242.000","1"
