"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"La_Martella","Temperatura","∞C","01/01/2021","01","2.590","1"
"La_Martella","Temperatura","∞C","01/01/2021","02","2.009","1"
"La_Martella","Temperatura","∞C","01/01/2021","03","1.730","1"
"La_Martella","Temperatura","∞C","01/01/2021","04","1.410","1"
"La_Martella","Temperatura","∞C","01/01/2021","05","1.030","1"
"La_Martella","Temperatura","∞C","01/01/2021","06","0.910","1"
"La_Martella","Temperatura","∞C","01/01/2021","07","0.860","1"
"La_Martella","Temperatura","∞C","01/01/2021","08","1.010","1"
"La_Martella","Temperatura","∞C","01/01/2021","09","3.300","1"
"La_Martella","Temperatura","∞C","01/01/2021","10","5.660","1"
"La_Martella","Temperatura","∞C","01/01/2021","11","8.130","1"
"La_Martella","Temperatura","∞C","01/01/2021","12","9.380","1"
"La_Martella","Temperatura","∞C","01/01/2021","13","10.400","1"
"La_Martella","Temperatura","∞C","01/01/2021","14","10.910","1"
"La_Martella","Temperatura","∞C","01/01/2021","15","10.930","1"
"La_Martella","Temperatura","∞C","01/01/2021","16","10.530","1"
"La_Martella","Temperatura","∞C","01/01/2021","17","9.920","1"
"La_Martella","Temperatura","∞C","01/01/2021","18","8.700","1"
"La_Martella","Temperatura","∞C","01/01/2021","19","8.390","1"
"La_Martella","Temperatura","∞C","01/01/2021","20","7.500","1"
"La_Martella","Temperatura","∞C","01/01/2021","21","6.980","1"
"La_Martella","Temperatura","∞C","01/01/2021","22","7.440","1"
"La_Martella","Temperatura","∞C","01/01/2021","23","6.480","1"
"La_Martella","Temperatura","∞C","01/01/2021","24","6.320","1"
"La_Martella","Temperatura","∞C","02/01/2021","01","6.790","1"
"La_Martella","Temperatura","∞C","02/01/2021","02","5.650","1"
"La_Martella","Temperatura","∞C","02/01/2021","03","5.030","1"
"La_Martella","Temperatura","∞C","02/01/2021","04","5.290","1"
"La_Martella","Temperatura","∞C","02/01/2021","05","7.110","1"
"La_Martella","Temperatura","∞C","02/01/2021","06","7.500","1"
"La_Martella","Temperatura","∞C","02/01/2021","07","7.060","1"
"La_Martella","Temperatura","∞C","02/01/2021","08","8.610","1"
"La_Martella","Temperatura","∞C","02/01/2021","09","9.080","1"
