"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"La_Martella","Velocità_Vento","m/s","01/01/2021","01","2.340","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","02","2.400","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","03","2.330","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","04","2.480","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","05","2.340","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","06","2.480","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","07","2.370","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","08","1.530","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","09","0.750","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","10","0.060","-1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","11","2.590","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","12","4.670","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","13","4.390","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","14","5.010","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","15","4.870","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","16","4.300","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","17","2.890","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","18","2.350","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","19","1.400","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","20","0.470","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","21","0.840","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","22","0.900","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","23","1.840","1"
"La_Martella","Velocità_Vento","m/s","01/01/2021","24","0.400","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","01","0.380","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","02","0.700","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","03","1.020","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","04","0.690","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","05","2.350","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","06","1.690","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","07","2.380","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","08","4.300","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","09","5.430","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","10","5.900","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","11","8.340","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","12","7.360","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","13","5.790","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","14","6.960","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","15","6.370","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","16","6.010","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","17","5.610","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","18","3.650","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","19","4.990","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","20","4.740","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","21","2.310","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","22","1.980","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","23","1.250","1"
"La_Martella","Velocità_Vento","m/s","02/01/2021","24","1.000","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","01","0.800","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","02","1.410","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","03","1.800","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","04","1.400","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","05","1.400","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","06","1.720","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","07","1.450","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","08","1.000","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","09","1.260","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","10","1.400","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","11","0.830","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","12","1.470","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","13","3.180","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","14","4.900","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","15","0.790","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","16","0.640","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","17","0.780","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","18","0.980","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","19","1.150","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","20","1.220","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","21","1.010","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","22","0.640","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","23","0.390","1"
"La_Martella","Velocità_Vento","m/s","03/01/2021","24","2.380","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","01","1.250","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","02","1.070","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","03","1.350","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","04","2.480","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","05","2.740","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","06","1.400","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","07","3.080","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","08","1.540","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","09","0.620","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","10","0.900","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","11","0.330","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","12","0.040","-1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","13","0.760","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","14","2.090","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","15","1.650","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","16","1.740","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","17","0.710","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","18","1.620","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","19","0.780","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","20","1.280","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","21","0.480","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","22","0.980","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","23","1.000","1"
"La_Martella","Velocità_Vento","m/s","04/01/2021","24","0.660","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","01","0.420","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","02","0.190","-1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","03","1.270","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","04","2.250","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","05","1.760","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","06","2.080","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","07","0.880","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","08","0.990","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","09","0.520","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","10","0.870","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","11","2.180","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","12","2.900","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","13","3.860","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","14","3.540","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","15","3.820","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","16","2.780","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","17","1.820","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","18","2.330","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","19","3.100","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","20","2.029","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","21","2.730","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","22","2.520","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","23","3.590","1"
"La_Martella","Velocità_Vento","m/s","05/01/2021","24","4.330","1"
"La_Martella","Velocità_Vento","m/s","06/01/2021","01","5.340","1"
