"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","01","0.730","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","02","0.730","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","03","0.730","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","04","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","05","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","06","0.750","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","07","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","08","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","09","0.730","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","10","0.730","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","11","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","12","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","13","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","14","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","15","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","16","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","17","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","18","0.960","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","19","0.750","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","20","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","21","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","22","0.740","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","23","0.750","1"
"Lavello","Etilbenzene","µg/m≥","01/01/2021","24","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","01","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","02","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","03","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","04","0.730","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","05","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","06","0.730","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","07","0.730","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","08","0.730","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","09","0.730","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","10","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","11","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","12","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","13","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","14","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","15","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","16","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","17","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","18","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","19","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","20","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","21","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","22","0.740","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","23","0.730","1"
"Lavello","Etilbenzene","µg/m≥","02/01/2021","24","0.740","1"
"Lavello","Etilbenzene","µg/m≥","03/01/2021","01","0.730","1"
"Lavello","Etilbenzene","µg/m≥","03/01/2021","02","0.730","1"
"Lavello","Etilbenzene","µg/m≥","03/01/2021","03","0.740","1"
"Lavello","Etilbenzene","µg/m≥","03/01/2021","04","0.730","1"
"Lavello","Etilbenzene","µg/m≥","03/01/2021","05","0.730","1"
