"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Lavello","NO","ppb","01/01/2021","01","2.72","1"
"Lavello","NO","ppb","01/01/2021","02","2.76","1"
"Lavello","NO","ppb","01/01/2021","03","2.81","1"
"Lavello","NO","ppb","01/01/2021","04","2.76","1"
"Lavello","NO","ppb","01/01/2021","05","2.82","1"
"Lavello","NO","ppb","01/01/2021","06","2.88","1"
"Lavello","NO","ppb","01/01/2021","07","2.91","1"
"Lavello","NO","ppb","01/01/2021","08","3.00","-99"
"Lavello","NO","ppb","01/01/2021","09","3.28","1"
"Lavello","NO","ppb","01/01/2021","10","3.48","1"
"Lavello","NO","ppb","01/01/2021","11","3.29","1"
"Lavello","NO","ppb","01/01/2021","12","3.54","1"
"Lavello","NO","ppb","01/01/2021","13","3.73","1"
"Lavello","NO","ppb","01/01/2021","14","3.29","1"
"Lavello","NO","ppb","01/01/2021","15","2.95","1"
"Lavello","NO","ppb","01/01/2021","16","3.05","1"
"Lavello","NO","ppb","01/01/2021","17","3.07","1"
"Lavello","NO","ppb","01/01/2021","18","3.57","1"
"Lavello","NO","ppb","01/01/2021","19","3.51","1"
"Lavello","NO","ppb","01/01/2021","20","3.75","1"
"Lavello","NO","ppb","01/01/2021","21","3.55","1"
"Lavello","NO","ppb","01/01/2021","22","2.89","1"
"Lavello","NO","ppb","01/01/2021","23","2.84","1"
"Lavello","NO","ppb","01/01/2021","24","2.77","1"
"Lavello","NO","ppb","02/01/2021","01","2.87","1"
"Lavello","NO","ppb","02/01/2021","02","2.75","1"
"Lavello","NO","ppb","02/01/2021","03","2.77","1"
"Lavello","NO","ppb","02/01/2021","04","2.78","1"
"Lavello","NO","ppb","02/01/2021","05","2.85","1"
"Lavello","NO","ppb","02/01/2021","06","2.97","1"
"Lavello","NO","ppb","02/01/2021","07","3.19","-99"
"Lavello","NO","ppb","02/01/2021","08","3.03","1"
"Lavello","NO","ppb","02/01/2021","09","3.62","1"
"Lavello","NO","ppb","02/01/2021","10","3.91","1"
"Lavello","NO","ppb","02/01/2021","11","3.67","1"
"Lavello","NO","ppb","02/01/2021","12","3.80","1"
"Lavello","NO","ppb","02/01/2021","13","3.75","1"
"Lavello","NO","ppb","02/01/2021","14","3.25","1"
"Lavello","NO","ppb","02/01/2021","15","3.23","1"
"Lavello","NO","ppb","02/01/2021","16","3.01","1"
"Lavello","NO","ppb","02/01/2021","17","3.14","1"
"Lavello","NO","ppb","02/01/2021","18","3.55","1"
"Lavello","NO","ppb","02/01/2021","19","3.98","1"
"Lavello","NO","ppb","02/01/2021","20","3.08","1"
"Lavello","NO","ppb","02/01/2021","21","3.04","1"
"Lavello","NO","ppb","02/01/2021","22","3.26","1"
"Lavello","NO","ppb","02/01/2021","23","2.91","1"
"Lavello","NO","ppb","02/01/2021","24","2.80","1"
"Lavello","NO","ppb","03/01/2021","01","2.99","1"
"Lavello","NO","ppb","03/01/2021","02","2.83","1"
"Lavello","NO","ppb","03/01/2021","03","2.84","1"
"Lavello","NO","ppb","03/01/2021","04","2.80","1"
"Lavello","NO","ppb","03/01/2021","05","2.94","1"
"Lavello","NO","ppb","03/01/2021","06","3.10","-99"
"Lavello","NO","ppb","03/01/2021","07","2.96","1"
"Lavello","NO","ppb","03/01/2021","08","3.20","1"
"Lavello","NO","ppb","03/01/2021","09","3.35","1"
"Lavello","NO","ppb","03/01/2021","10","3.26","1"
"Lavello","NO","ppb","03/01/2021","11","3.43","1"
"Lavello","NO","ppb","03/01/2021","12","3.39","1"
"Lavello","NO","ppb","03/01/2021","13","3.36","1"
"Lavello","NO","ppb","03/01/2021","14","3.40","1"
"Lavello","NO","ppb","03/01/2021","15","3.14","1"
"Lavello","NO","ppb","03/01/2021","16","3.17","1"
"Lavello","NO","ppb","03/01/2021","17","3.02","1"
"Lavello","NO","ppb","03/01/2021","18","3.26","1"
"Lavello","NO","ppb","03/01/2021","19","3.56","1"
"Lavello","NO","ppb","03/01/2021","20","3.83","1"
"Lavello","NO","ppb","03/01/2021","21","3.52","1"
"Lavello","NO","ppb","03/01/2021","22","3.23","1"
"Lavello","NO","ppb","03/01/2021","23","2.93","1"
"Lavello","NO","ppb","03/01/2021","24","2.94","1"
"Lavello","NO","ppb","04/01/2021","01","2.83","1"
"Lavello","NO","ppb","04/01/2021","02","2.78","1"
"Lavello","NO","ppb","04/01/2021","03","2.90","1"
"Lavello","NO","ppb","04/01/2021","04","2.81","1"
"Lavello","NO","ppb","04/01/2021","05","2.93","-99"
"Lavello","NO","ppb","04/01/2021","06","3.34","1"
"Lavello","NO","ppb","04/01/2021","07","3.20","1"
"Lavello","NO","ppb","04/01/2021","08","3.85","1"
"Lavello","NO","ppb","04/01/2021","09","5.42","1"
"Lavello","NO","ppb","04/01/2021","10","4.98","1"
"Lavello","NO","ppb","04/01/2021","11","4.60","1"
"Lavello","NO","ppb","04/01/2021","12","4.16","1"
"Lavello","NO","ppb","04/01/2021","13","4.08","1"
"Lavello","NO","ppb","04/01/2021","14","3.67","1"
"Lavello","NO","ppb","04/01/2021","15","3.49","1"
"Lavello","NO","ppb","04/01/2021","16","3.86","1"
"Lavello","NO","ppb","04/01/2021","17","4.18","1"
"Lavello","NO","ppb","04/01/2021","18","4.31","1"
"Lavello","NO","ppb","04/01/2021","19","4.17","1"
"Lavello","NO","ppb","04/01/2021","20","4.47","1"
"Lavello","NO","ppb","04/01/2021","21","4.27","1"
"Lavello","NO","ppb","04/01/2021","22","4.71","1"
"Lavello","NO","ppb","04/01/2021","23","3.27","1"
