"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Lavello","NOx","ppb","01/01/2021","01","6.30","1"
"Lavello","NOx","ppb","01/01/2021","02","5.31","1"
"Lavello","NOx","ppb","01/01/2021","03","5.18","1"
"Lavello","NOx","ppb","01/01/2021","04","4.65","1"
"Lavello","NOx","ppb","01/01/2021","05","4.78","1"
"Lavello","NOx","ppb","01/01/2021","06","5.45","1"
"Lavello","NOx","ppb","01/01/2021","07","6.03","1"
"Lavello","NOx","ppb","01/01/2021","08","6.60","-99"
"Lavello","NOx","ppb","01/01/2021","09","7.51","1"
"Lavello","NOx","ppb","01/01/2021","10","6.96","1"
"Lavello","NOx","ppb","01/01/2021","11","5.99","1"
"Lavello","NOx","ppb","01/01/2021","12","6.67","1"
"Lavello","NOx","ppb","01/01/2021","13","7.15","1"
"Lavello","NOx","ppb","01/01/2021","14","5.76","1"
"Lavello","NOx","ppb","01/01/2021","15","5.40","1"
"Lavello","NOx","ppb","01/01/2021","16","6.45","1"
"Lavello","NOx","ppb","01/01/2021","17","6.28","1"
"Lavello","NOx","ppb","01/01/2021","18","9.13","1"
"Lavello","NOx","ppb","01/01/2021","19","8.64","1"
"Lavello","NOx","ppb","01/01/2021","20","8.42","1"
"Lavello","NOx","ppb","01/01/2021","21","8.39","1"
"Lavello","NOx","ppb","01/01/2021","22","7.06","1"
"Lavello","NOx","ppb","01/01/2021","23","5.63","1"
"Lavello","NOx","ppb","01/01/2021","24","5.03","1"
"Lavello","NOx","ppb","02/01/2021","01","4.79","1"
"Lavello","NOx","ppb","02/01/2021","02","4.44","1"
"Lavello","NOx","ppb","02/01/2021","03","4.41","1"
"Lavello","NOx","ppb","02/01/2021","04","3.99","1"
"Lavello","NOx","ppb","02/01/2021","05","4.00","1"
"Lavello","NOx","ppb","02/01/2021","06","4.48","1"
"Lavello","NOx","ppb","02/01/2021","07","5.34","-99"
"Lavello","NOx","ppb","02/01/2021","08","5.81","1"
"Lavello","NOx","ppb","02/01/2021","09","7.28","1"
"Lavello","NOx","ppb","02/01/2021","10","7.26","1"
"Lavello","NOx","ppb","02/01/2021","11","6.55","1"
"Lavello","NOx","ppb","02/01/2021","12","6.67","1"
"Lavello","NOx","ppb","02/01/2021","13","6.76","1"
"Lavello","NOx","ppb","02/01/2021","14","6.52","1"
"Lavello","NOx","ppb","02/01/2021","15","5.02","1"
"Lavello","NOx","ppb","02/01/2021","16","4.99","1"
"Lavello","NOx","ppb","02/01/2021","17","8.44","1"
"Lavello","NOx","ppb","02/01/2021","18","9.93","1"
"Lavello","NOx","ppb","02/01/2021","19","11.09","1"
"Lavello","NOx","ppb","02/01/2021","20","9.35","1"
"Lavello","NOx","ppb","02/01/2021","21","10.58","1"
"Lavello","NOx","ppb","02/01/2021","22","9.74","1"
"Lavello","NOx","ppb","02/01/2021","23","6.07","1"
"Lavello","NOx","ppb","02/01/2021","24","5.92","1"
"Lavello","NOx","ppb","03/01/2021","01","5.71","1"
"Lavello","NOx","ppb","03/01/2021","02","5.26","1"
"Lavello","NOx","ppb","03/01/2021","03","5.44","1"
"Lavello","NOx","ppb","03/01/2021","04","6.90","1"
"Lavello","NOx","ppb","03/01/2021","05","5.91","1"
"Lavello","NOx","ppb","03/01/2021","06","6.16","-99"
"Lavello","NOx","ppb","03/01/2021","07","6.25","1"
"Lavello","NOx","ppb","03/01/2021","08","8.20","1"
"Lavello","NOx","ppb","03/01/2021","09","8.21","1"
"Lavello","NOx","ppb","03/01/2021","10","7.21","1"
"Lavello","NOx","ppb","03/01/2021","11","6.93","1"
"Lavello","NOx","ppb","03/01/2021","12","6.18","1"
