"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Lavello","O3","µg/m≥","01/01/2021","01","57.74","1"
"Lavello","O3","µg/m≥","01/01/2021","02","59.33","1"
"Lavello","O3","µg/m≥","01/01/2021","03","62.13","1"
"Lavello","O3","µg/m≥","01/01/2021","04","64.65","1"
"Lavello","O3","µg/m≥","01/01/2021","05","64.04","1"
"Lavello","O3","µg/m≥","01/01/2021","06","62.90","1"
"Lavello","O3","µg/m≥","01/01/2021","07","62.46","1"
"Lavello","O3","µg/m≥","01/01/2021","08","61.07","1"
"Lavello","O3","µg/m≥","01/01/2021","09","54.52","1"
"Lavello","O3","µg/m≥","01/01/2021","10","-9999","-1"
"Lavello","O3","µg/m≥","01/01/2021","11","57.13","1"
"Lavello","O3","µg/m≥","01/01/2021","12","59.33","1"
"Lavello","O3","µg/m≥","01/01/2021","13","62.35","1"
"Lavello","O3","µg/m≥","01/01/2021","14","64.36","1"
"Lavello","O3","µg/m≥","01/01/2021","15","58.35","1"
"Lavello","O3","µg/m≥","01/01/2021","16","57.46","1"
"Lavello","O3","µg/m≥","01/01/2021","17","61.46","1"
"Lavello","O3","µg/m≥","01/01/2021","18","50.65","1"
"Lavello","O3","µg/m≥","01/01/2021","19","50.39","1"
"Lavello","O3","µg/m≥","01/01/2021","20","52.42","1"
"Lavello","O3","µg/m≥","01/01/2021","21","52.59","1"
"Lavello","O3","µg/m≥","01/01/2021","22","57.33","1"
"Lavello","O3","µg/m≥","01/01/2021","23","61.48","1"
"Lavello","O3","µg/m≥","01/01/2021","24","60.09","1"
"Lavello","O3","µg/m≥","02/01/2021","01","62.70","1"
"Lavello","O3","µg/m≥","02/01/2021","02","61.27","1"
"Lavello","O3","µg/m≥","02/01/2021","03","59.90","1"
"Lavello","O3","µg/m≥","02/01/2021","04","65.85","1"
"Lavello","O3","µg/m≥","02/01/2021","05","65.38","1"
"Lavello","O3","µg/m≥","02/01/2021","06","62.57","1"
"Lavello","O3","µg/m≥","02/01/2021","07","58.95","1"
"Lavello","O3","µg/m≥","02/01/2021","08","57.95","1"
"Lavello","O3","µg/m≥","02/01/2021","09","-9999","-1"
"Lavello","O3","µg/m≥","02/01/2021","10","60.54","1"
"Lavello","O3","µg/m≥","02/01/2021","11","62.81","1"
"Lavello","O3","µg/m≥","02/01/2021","12","65.49","1"
"Lavello","O3","µg/m≥","02/01/2021","13","65.52","1"
"Lavello","O3","µg/m≥","02/01/2021","14","74.14","1"
"Lavello","O3","µg/m≥","02/01/2021","15","78.92","1"
"Lavello","O3","µg/m≥","02/01/2021","16","78.43","1"
