"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Lavello","PM10","µg/m³","01/01/2021","3.80","1"
"Lavello","PM10","µg/m³","02/01/2021","7.77","1"
"Lavello","PM10","µg/m³","03/01/2021","8.63","1"
"Lavello","PM10","µg/m³","04/01/2021","8.55","1"
"Lavello","PM10","µg/m³","05/01/2021","8.08","1"
"Lavello","PM10","µg/m³","06/01/2021","7.52","1"
"Lavello","PM10","µg/m³","07/01/2021","11.42","1"
"Lavello","PM10","µg/m³","08/01/2021","4.72","1"
"Lavello","PM10","µg/m³","09/01/2021","12.37","1"
"Lavello","PM10","µg/m³","10/01/2021","2.39","1"
"Lavello","PM10","µg/m³","11/01/2021","14.22","1"
"Lavello","PM10","µg/m³","12/01/2021","17.13","1"
"Lavello","PM10","µg/m³","13/01/2021","11.45","1"
"Lavello","PM10","µg/m³","14/01/2021","10.95","1"
"Lavello","PM10","µg/m³","15/01/2021","9.67","1"
"Lavello","PM10","µg/m³","16/01/2021","6.99","1"
"Lavello","PM10","µg/m³","17/01/2021","8.08","1"
"Lavello","PM10","µg/m³","18/01/2021","9.94","1"
"Lavello","PM10","µg/m³","19/01/2021","11.42","1"
"Lavello","PM10","µg/m³","20/01/2021","8.57","1"
"Lavello","PM10","µg/m³","21/01/2021","13.32","1"
"Lavello","PM10","µg/m³","22/01/2021","19.03","1"
"Lavello","PM10","µg/m³","23/01/2021","5.23","1"
"Lavello","PM10","µg/m³","24/01/2021","5.69","1"
"Lavello","PM10","µg/m³","25/01/2021","6.19","1"
"Lavello","PM10","µg/m³","26/01/2021","5.41","1"
"Lavello","PM10","µg/m³","27/01/2021","8.64","1"
"Lavello","PM10","µg/m³","28/01/2021","8.00","1"
"Lavello","PM10","µg/m³","29/01/2021","3.33","1"
"Lavello","PM10","µg/m³","30/01/2021","10.47","1"
"Lavello","PM10","µg/m³","31/01/2021","3.20","1"
"Lavello","PM10","µg/m³","01/02/2021","5.41","1"
"Lavello","PM10","µg/m³","02/02/2021","-9999","-1"
"Lavello","PM10","µg/m³","03/02/2021","8.55","1"
"Lavello","PM10","µg/m³","04/02/2021","14.36","1"
"Lavello","PM10","µg/m³","05/02/2021","10.47","1"
"Lavello","PM10","µg/m³","06/02/2021","18.84","1"
"Lavello","PM10","µg/m³","07/02/2021","16.16","1"
"Lavello","PM10","µg/m³","08/02/2021","10.89","1"
"Lavello","PM10","µg/m³","09/02/2021","3.39","1"
"Lavello","PM10","µg/m³","10/02/2021","11.42","1"
"Lavello","PM10","µg/m³","11/02/2021","14.27","1"
"Lavello","PM10","µg/m³","12/02/2021","16.66","1"
"Lavello","PM10","µg/m³","13/02/2021","1.90","1"
"Lavello","PM10","µg/m³","14/02/2021","10.06","1"
"Lavello","PM10","µg/m³","15/02/2021","10.05","1"
"Lavello","PM10","µg/m³","16/02/2021","11.42","1"
"Lavello","PM10","µg/m³","17/02/2021","11.90","1"
"Lavello","PM10","µg/m³","18/02/2021","9.42","1"
"Lavello","PM10","µg/m³","19/02/2021","14.99","1"
"Lavello","PM10","µg/m³","20/02/2021","30.04","1"
"Lavello","PM10","µg/m³","21/02/2021","31.96","1"
"Lavello","PM10","µg/m³","22/02/2021","35.19","1"
"Lavello","PM10","µg/m³","23/02/2021","26.14","1"
"Lavello","PM10","µg/m³","24/02/2021","48.13","1"
"Lavello","PM10","µg/m³","25/02/2021","44.69","1"
"Lavello","PM10","µg/m³","26/02/2021","47.96","1"
"Lavello","PM10","µg/m³","27/02/2021","51.37","1"
"Lavello","PM10","µg/m³","28/02/2021","23.21","1"
"Lavello","PM10","µg/m³","01/03/2021","-9999","-1"
"Lavello","PM10","µg/m³","02/03/2021","31.25","1"
"Lavello","PM10","µg/m³","03/03/2021","22.35","1"
"Lavello","PM10","µg/m³","04/03/2021","18.07","1"
"Lavello","PM10","µg/m³","05/03/2021","29.10","1"
"Lavello","PM10","µg/m³","06/03/2021","19.57","1"
"Lavello","PM10","µg/m³","07/03/2021","20.10","1"
"Lavello","PM10","µg/m³","08/03/2021","29.96","1"
"Lavello","PM10","µg/m³","09/03/2021","14.68","1"
"Lavello","PM10","µg/m³","10/03/2021","16.64","1"
"Lavello","PM10","µg/m³","11/03/2021","12.37","1"
"Lavello","PM10","µg/m³","12/03/2021","9.52","1"
"Lavello","PM10","µg/m³","13/03/2021","10.07","1"
"Lavello","PM10","µg/m³","14/03/2021","13.79","1"
"Lavello","PM10","µg/m³","15/03/2021","2.84","1"
"Lavello","PM10","µg/m³","16/03/2021","8.08","1"
"Lavello","PM10","µg/m³","17/03/2021","7.11","1"
"Lavello","PM10","µg/m³","18/03/2021","8.39","1"
"Lavello","PM10","µg/m³","19/03/2021","10.46","1"
"Lavello","PM10","µg/m³","20/03/2021","6.15","1"
"Lavello","PM10","µg/m³","21/03/2021","12.39","1"
"Lavello","PM10","µg/m³","22/03/2021","12.87","1"
"Lavello","PM10","µg/m³","23/03/2021","13.32","1"
"Lavello","PM10","µg/m³","24/03/2021","12.38","1"
"Lavello","PM10","µg/m³","25/03/2021","13.66","1"
"Lavello","PM10","µg/m³","26/03/2021","16.17","1"
"Lavello","PM10","µg/m³","27/03/2021","13.63","1"
"Lavello","PM10","µg/m³","28/03/2021","21.88","1"
"Lavello","PM10","µg/m³","29/03/2021","20.02","1"
"Lavello","PM10","µg/m³","30/03/2021","18.38","1"
"Lavello","PM10","µg/m³","31/03/2021","16.30","1"
"Lavello","PM10","µg/m³","01/04/2021","29.77","1"
"Lavello","PM10","µg/m³","02/04/2021","20.47","1"
"Lavello","PM10","µg/m³","03/04/2021","20.72","1"
"Lavello","PM10","µg/m³","04/04/2021","8.50","1"
"Lavello","PM10","µg/m³","05/04/2021","10.76","1"
"Lavello","PM10","µg/m³","06/04/2021","17.13","1"
"Lavello","PM10","µg/m³","07/04/2021","8.69","1"
"Lavello","PM10","µg/m³","08/04/2021","9.03","1"
"Lavello","PM10","µg/m³","09/04/2021","11.89","1"
"Lavello","PM10","µg/m³","10/04/2021","12.23","1"
"Lavello","PM10","µg/m³","11/04/2021","18.55","1"
"Lavello","PM10","µg/m³","12/04/2021","-9999","-1"
"Lavello","PM10","µg/m³","13/04/2021","18.07","1"
"Lavello","PM10","µg/m³","14/04/2021","9.03","1"
"Lavello","PM10","µg/m³","15/04/2021","8.38","1"
"Lavello","PM10","µg/m³","16/04/2021","11.43","1"
"Lavello","PM10","µg/m³","17/04/2021","12.12","1"
"Lavello","PM10","µg/m³","18/04/2021","12.84","1"
"Lavello","PM10","µg/m³","19/04/2021","10.47","1"
"Lavello","PM10","µg/m³","20/04/2021","7.63","1"
"Lavello","PM10","µg/m³","21/04/2021","9.50","1"
"Lavello","PM10","µg/m³","22/04/2021","11.89","1"
"Lavello","PM10","µg/m³","23/04/2021","12.36","1"
"Lavello","PM10","µg/m³","24/04/2021","7.64","1"
"Lavello","PM10","µg/m³","25/04/2021","7.88","1"
"Lavello","PM10","µg/m³","26/04/2021","13.37","1"
"Lavello","PM10","µg/m³","27/04/2021","30.94","1"
"Lavello","PM10","µg/m³","28/04/2021","36.60","1"
"Lavello","PM10","µg/m³","29/04/2021","11.43","1"
"Lavello","PM10","µg/m³","30/04/2021","24.74","1"
"Lavello","PM10","µg/m³","01/05/2021","-9999","-1"
"Lavello","PM10","µg/m³","02/05/2021","29.67","1"
"Lavello","PM10","µg/m³","03/05/2021","11.89","1"
"Lavello","PM10","µg/m³","04/05/2021","13.36","1"
"Lavello","PM10","µg/m³","05/05/2021","10.94","1"
"Lavello","PM10","µg/m³","06/05/2021","8.55","1"
"Lavello","PM10","µg/m³","07/05/2021","10.94","1"
"Lavello","PM10","µg/m³","08/05/2021","14.35","1"
"Lavello","PM10","µg/m³","09/05/2021","6.66","1"
"Lavello","PM10","µg/m³","10/05/2021","14.27","1"
"Lavello","PM10","µg/m³","11/05/2021","17.55","1"
"Lavello","PM10","µg/m³","12/05/2021","16.30","1"
"Lavello","PM10","µg/m³","13/05/2021","14.75","1"
"Lavello","PM10","µg/m³","14/05/2021","20.45","1"
"Lavello","PM10","µg/m³","15/05/2021","7.42","1"
"Lavello","PM10","µg/m³","16/05/2021","8.55","1"
"Lavello","PM10","µg/m³","17/05/2021","14.67","1"
"Lavello","PM10","µg/m³","18/05/2021","12.85","1"
"Lavello","PM10","µg/m³","19/05/2021","20.45","1"
"Lavello","PM10","µg/m³","20/05/2021","12.84","1"
"Lavello","PM10","µg/m³","21/05/2021","7.61","1"
"Lavello","PM10","µg/m³","22/05/2021","7.11","1"
"Lavello","PM10","µg/m³","23/05/2021","25.19","1"
"Lavello","PM10","µg/m³","24/05/2021","40.44","1"
"Lavello","PM10","µg/m³","25/05/2021","41.02","1"
"Lavello","PM10","µg/m³","26/05/2021","15.22","1"
"Lavello","PM10","µg/m³","27/05/2021","19.42","1"
"Lavello","PM10","µg/m³","28/05/2021","20.03","1"
"Lavello","PM10","µg/m³","29/05/2021","14.68","1"
"Lavello","PM10","µg/m³","30/05/2021","10.89","1"
"Lavello","PM10","µg/m³","31/05/2021","11.42","1"
"Lavello","PM10","µg/m³","01/06/2021","-9999","-1"
"Lavello","PM10","µg/m³","02/06/2021","-9999","-1"
"Lavello","PM10","µg/m³","03/06/2021","13.82","1"
"Lavello","PM10","µg/m³","04/06/2021","-9999","-1"
"Lavello","PM10","µg/m³","05/06/2021","15.19","1"
"Lavello","PM10","µg/m³","06/06/2021","15.70","1"
"Lavello","PM10","µg/m³","07/06/2021","19.03","1"
"Lavello","PM10","µg/m³","08/06/2021","17.60","1"
"Lavello","PM10","µg/m³","09/06/2021","22.35","1"
"Lavello","PM10","µg/m³","10/06/2021","21.88","1"
"Lavello","PM10","µg/m³","11/06/2021","19.03","1"
"Lavello","PM10","µg/m³","12/06/2021","13.07","1"
"Lavello","PM10","µg/m³","13/06/2021","12.37","1"
"Lavello","PM10","µg/m³","14/06/2021","18.55","1"
"Lavello","PM10","µg/m³","15/06/2021","15.43","1"
"Lavello","PM10","µg/m³","16/06/2021","20.45","1"
"Lavello","PM10","µg/m³","17/06/2021","16.64","1"
"Lavello","PM10","µg/m³","18/06/2021","29.40","1"
"Lavello","PM10","µg/m³","19/06/2021","23.78","1"
"Lavello","PM10","µg/m³","20/06/2021","54.23","1"
"Lavello","PM10","µg/m³","21/06/2021","76.58","1"
