"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Lavello","Pressione","mBar","01/01/2021","01","961.550","1"
"Lavello","Pressione","mBar","01/01/2021","02","961.560","1"
"Lavello","Pressione","mBar","01/01/2021","03","961.730","1"
"Lavello","Pressione","mBar","01/01/2021","04","961.580","1"
"Lavello","Pressione","mBar","01/01/2021","05","961.430","1"
"Lavello","Pressione","mBar","01/01/2021","06","961.570","1"
"Lavello","Pressione","mBar","01/01/2021","07","961.740","1"
"Lavello","Pressione","mBar","01/01/2021","08","962.040","1"
"Lavello","Pressione","mBar","01/01/2021","09","962.240","1"
"Lavello","Pressione","mBar","01/01/2021","10","962.430","1"
"Lavello","Pressione","mBar","01/01/2021","11","962.330","1"
"Lavello","Pressione","mBar","01/01/2021","12","961.940","1"
"Lavello","Pressione","mBar","01/01/2021","13","961.080","1"
"Lavello","Pressione","mBar","01/01/2021","14","960.610","1"
"Lavello","Pressione","mBar","01/01/2021","15","960.690","1"
"Lavello","Pressione","mBar","01/01/2021","16","960.750","1"
"Lavello","Pressione","mBar","01/01/2021","17","961.050","1"
"Lavello","Pressione","mBar","01/01/2021","18","961.160","1"
"Lavello","Pressione","mBar","01/01/2021","19","961.210","1"
"Lavello","Pressione","mBar","01/01/2021","20","961.330","1"
"Lavello","Pressione","mBar","01/01/2021","21","961.440","1"
"Lavello","Pressione","mBar","01/01/2021","22","961.410","1"
"Lavello","Pressione","mBar","01/01/2021","23","961.340","1"
"Lavello","Pressione","mBar","01/01/2021","24","960.960","1"
"Lavello","Pressione","mBar","02/01/2021","01","960.610","1"
"Lavello","Pressione","mBar","02/01/2021","02","960.460","1"
"Lavello","Pressione","mBar","02/01/2021","03","960.410","1"
"Lavello","Pressione","mBar","02/01/2021","04","959.700","1"
"Lavello","Pressione","mBar","02/01/2021","05","959.210","1"
"Lavello","Pressione","mBar","02/01/2021","06","958.750","1"
"Lavello","Pressione","mBar","02/01/2021","07","958.660","1"
"Lavello","Pressione","mBar","02/01/2021","08","958.910","1"
"Lavello","Pressione","mBar","02/01/2021","09","958.470","1"
"Lavello","Pressione","mBar","02/01/2021","10","958.260","1"
"Lavello","Pressione","mBar","02/01/2021","11","958.120","1"
"Lavello","Pressione","mBar","02/01/2021","12","957.340","1"
"Lavello","Pressione","mBar","02/01/2021","13","957.400","1"
"Lavello","Pressione","mBar","02/01/2021","14","958.080","1"
"Lavello","Pressione","mBar","02/01/2021","15","957.650","1"
"Lavello","Pressione","mBar","02/01/2021","16","957.870","1"
"Lavello","Pressione","mBar","02/01/2021","17","957.950","1"
"Lavello","Pressione","mBar","02/01/2021","18","958.240","1"
"Lavello","Pressione","mBar","02/01/2021","19","958.230","1"
"Lavello","Pressione","mBar","02/01/2021","20","958.420","1"
"Lavello","Pressione","mBar","02/01/2021","21","958.510","1"
