"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","01","-66.020","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","02","-65.880","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","03","-65.280","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","04","-65.090","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","05","-64.350","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","06","-63.320","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","07","-63.420","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","08","-57.340","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","09","-39.550","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","10","161.610","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","11","154.020","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","12","-1.090","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","13","9.840","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","14","2.090","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","15","0.950","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","16","8.189","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","17","-51.040","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","18","-62.000","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","19","-63.430","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","20","-65.420","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","21","-65.680","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","22","-65.520","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","23","-64.700","1"
"Lavello","Radiazione_Netta","W/m≤","01/01/2021","24","-60.950","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","01","-61.200","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","02","-62.480","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","03","-63.850","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","04","-63.090","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","05","-49.670","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","06","-35.710","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","07","-27.700","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","08","-12.130","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","09","-27.720","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","10","150.140","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","11","172.620","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","12","-13.370","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","13","32.670","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","14","-19.430","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","15","-36.300","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","16","-33.170","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","17","-37.570","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","18","-71.940","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","19","-61.000","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","20","-60.700","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","21","-62.650","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","22","-63.710","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","23","-63.820","1"
"Lavello","Radiazione_Netta","W/m≤","02/01/2021","24","-61.070","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","01","-61.620","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","02","-58.500","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","03","-57.810","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","04","-47.880","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","05","-47.040","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","06","-55.710","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","07","-53.670","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","08","-44.910","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","09","12.410","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","10","30.060","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","11","113.130","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","12","3.760","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","13","20.630","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","14","-11.830","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","15","-15.510","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","16","-40.830","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","17","-60.870","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","18","-80.130","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","19","-82.240","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","20","-86.000","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","21","-60.010","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","22","-46.110","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","23","-44.930","1"
"Lavello","Radiazione_Netta","W/m≤","03/01/2021","24","-52.490","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","01","-46.060","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","02","-35.140","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","03","-40.670","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","04","-43.000","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","05","-28.170","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","06","-27.250","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","07","-28.070","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","08","-23.550","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","09","9.530","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","10","82.810","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","11","114.210","1"
"Lavello","Radiazione_Netta","W/m≤","04/01/2021","12","-52.430","1"
