"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Lavello","SO2","µg/m≥","01/01/2021","01","9.11","1"
"Lavello","SO2","µg/m≥","01/01/2021","02","8.78","1"
"Lavello","SO2","µg/m≥","01/01/2021","03","8.48","1"
"Lavello","SO2","µg/m≥","01/01/2021","04","8.17","1"
"Lavello","SO2","µg/m≥","01/01/2021","05","8.25","1"
"Lavello","SO2","µg/m≥","01/01/2021","06","8.40","1"
"Lavello","SO2","µg/m≥","01/01/2021","07","8.57","1"
"Lavello","SO2","µg/m≥","01/01/2021","08","8.13","1"
"Lavello","SO2","µg/m≥","01/01/2021","09","8.22","1"
"Lavello","SO2","µg/m≥","01/01/2021","10","8.22","1"
"Lavello","SO2","µg/m≥","01/01/2021","11","8.66","-99"
"Lavello","SO2","µg/m≥","01/01/2021","12","8.01","1"
"Lavello","SO2","µg/m≥","01/01/2021","13","8.25","1"
"Lavello","SO2","µg/m≥","01/01/2021","14","8.92","1"
"Lavello","SO2","µg/m≥","01/01/2021","15","9.10","1"
"Lavello","SO2","µg/m≥","01/01/2021","16","10.07","1"
"Lavello","SO2","µg/m≥","01/01/2021","17","10.09","1"
"Lavello","SO2","µg/m≥","01/01/2021","18","9.85","1"
"Lavello","SO2","µg/m≥","01/01/2021","19","9.84","1"
"Lavello","SO2","µg/m≥","01/01/2021","20","10.51","1"
"Lavello","SO2","µg/m≥","01/01/2021","21","10.03","1"
"Lavello","SO2","µg/m≥","01/01/2021","22","9.87","1"
"Lavello","SO2","µg/m≥","01/01/2021","23","9.90","1"
"Lavello","SO2","µg/m≥","01/01/2021","24","9.70","1"
"Lavello","SO2","µg/m≥","02/01/2021","01","7.73","1"
"Lavello","SO2","µg/m≥","02/01/2021","02","7.54","1"
"Lavello","SO2","µg/m≥","02/01/2021","03","7.44","1"
"Lavello","SO2","µg/m≥","02/01/2021","04","7.61","1"
"Lavello","SO2","µg/m≥","02/01/2021","05","7.98","1"
"Lavello","SO2","µg/m≥","02/01/2021","06","7.80","1"
"Lavello","SO2","µg/m≥","02/01/2021","07","7.45","1"
"Lavello","SO2","µg/m≥","02/01/2021","08","7.73","1"
"Lavello","SO2","µg/m≥","02/01/2021","09","7.84","1"
"Lavello","SO2","µg/m≥","02/01/2021","10","8.82","-99"
"Lavello","SO2","µg/m≥","02/01/2021","11","8.34","1"
"Lavello","SO2","µg/m≥","02/01/2021","12","8.48","1"
"Lavello","SO2","µg/m≥","02/01/2021","13","9.07","1"
"Lavello","SO2","µg/m≥","02/01/2021","14","8.24","1"
"Lavello","SO2","µg/m≥","02/01/2021","15","8.21","1"
"Lavello","SO2","µg/m≥","02/01/2021","16","8.18","1"
"Lavello","SO2","µg/m≥","02/01/2021","17","8.46","1"
"Lavello","SO2","µg/m≥","02/01/2021","18","8.19","1"
"Lavello","SO2","µg/m≥","02/01/2021","19","8.23","1"
"Lavello","SO2","µg/m≥","02/01/2021","20","8.29","1"
"Lavello","SO2","µg/m≥","02/01/2021","21","8.23","1"
"Lavello","SO2","µg/m≥","02/01/2021","22","8.71","1"
"Lavello","SO2","µg/m≥","02/01/2021","23","8.32","1"
"Lavello","SO2","µg/m≥","02/01/2021","24","8.94","1"
"Lavello","SO2","µg/m≥","03/01/2021","01","8.74","1"
"Lavello","SO2","µg/m≥","03/01/2021","02","9.03","1"
"Lavello","SO2","µg/m≥","03/01/2021","03","8.42","1"
"Lavello","SO2","µg/m≥","03/01/2021","04","8.77","1"
"Lavello","SO2","µg/m≥","03/01/2021","05","8.41","1"
"Lavello","SO2","µg/m≥","03/01/2021","06","8.25","1"
"Lavello","SO2","µg/m≥","03/01/2021","07","8.27","1"
"Lavello","SO2","µg/m≥","03/01/2021","08","8.33","1"
"Lavello","SO2","µg/m≥","03/01/2021","09","8.56","-99"
"Lavello","SO2","µg/m≥","03/01/2021","10","8.30","1"
"Lavello","SO2","µg/m≥","03/01/2021","11","8.27","1"
"Lavello","SO2","µg/m≥","03/01/2021","12","8.34","1"
"Lavello","SO2","µg/m≥","03/01/2021","13","10.29","1"
"Lavello","SO2","µg/m≥","03/01/2021","14","8.15","1"
"Lavello","SO2","µg/m≥","03/01/2021","15","8.30","1"
"Lavello","SO2","µg/m≥","03/01/2021","16","8.33","1"
"Lavello","SO2","µg/m≥","03/01/2021","17","8.19","1"
"Lavello","SO2","µg/m≥","03/01/2021","18","8.36","1"
"Lavello","SO2","µg/m≥","03/01/2021","19","8.80","1"
"Lavello","SO2","µg/m≥","03/01/2021","20","8.33","1"
"Lavello","SO2","µg/m≥","03/01/2021","21","8.67","1"
"Lavello","SO2","µg/m≥","03/01/2021","22","8.68","1"
"Lavello","SO2","µg/m≥","03/01/2021","23","8.84","1"
"Lavello","SO2","µg/m≥","03/01/2021","24","8.64","1"
"Lavello","SO2","µg/m≥","04/01/2021","01","8.48","1"
"Lavello","SO2","µg/m≥","04/01/2021","02","8.23","1"
"Lavello","SO2","µg/m≥","04/01/2021","03","8.53","1"
"Lavello","SO2","µg/m≥","04/01/2021","04","8.25","1"
"Lavello","SO2","µg/m≥","04/01/2021","05","8.34","1"
"Lavello","SO2","µg/m≥","04/01/2021","06","8.37","1"
"Lavello","SO2","µg/m≥","04/01/2021","07","8.20","1"
"Lavello","SO2","µg/m≥","04/01/2021","08","8.81","-99"
"Lavello","SO2","µg/m≥","04/01/2021","09","8.95","1"
"Lavello","SO2","µg/m≥","04/01/2021","10","8.89","1"
"Lavello","SO2","µg/m≥","04/01/2021","11","9.06","1"
"Lavello","SO2","µg/m≥","04/01/2021","12","9.31","1"
"Lavello","SO2","µg/m≥","04/01/2021","13","9.36","1"
"Lavello","SO2","µg/m≥","04/01/2021","14","8.74","1"
"Lavello","SO2","µg/m≥","04/01/2021","15","9.02","1"
"Lavello","SO2","µg/m≥","04/01/2021","16","8.96","1"
"Lavello","SO2","µg/m≥","04/01/2021","17","8.97","1"
"Lavello","SO2","µg/m≥","04/01/2021","18","14.50","1"
"Lavello","SO2","µg/m≥","04/01/2021","19","8.90","1"
"Lavello","SO2","µg/m≥","04/01/2021","20","7.58","1"
"Lavello","SO2","µg/m≥","04/01/2021","21","7.97","1"
"Lavello","SO2","µg/m≥","04/01/2021","22","7.57","1"
"Lavello","SO2","µg/m≥","04/01/2021","23","8.18","1"
"Lavello","SO2","µg/m≥","04/01/2021","24","7.61","1"
"Lavello","SO2","µg/m≥","05/01/2021","01","7.62","1"
"Lavello","SO2","µg/m≥","05/01/2021","02","7.45","1"
"Lavello","SO2","µg/m≥","05/01/2021","03","8.17","1"
"Lavello","SO2","µg/m≥","05/01/2021","04","8.22","1"
"Lavello","SO2","µg/m≥","05/01/2021","05","8.00","1"
"Lavello","SO2","µg/m≥","05/01/2021","06","7.97","1"
"Lavello","SO2","µg/m≥","05/01/2021","07","8.70","1"
"Lavello","SO2","µg/m≥","05/01/2021","08","8.21","-99"
"Lavello","SO2","µg/m≥","05/01/2021","09","8.06","1"
"Lavello","SO2","µg/m≥","05/01/2021","10","8.24","1"
"Lavello","SO2","µg/m≥","05/01/2021","11","8.25","1"
"Lavello","SO2","µg/m≥","05/01/2021","12","7.86","1"
"Lavello","SO2","µg/m≥","05/01/2021","13","8.15","1"
"Lavello","SO2","µg/m≥","05/01/2021","14","7.95","1"
"Lavello","SO2","µg/m≥","05/01/2021","15","8.15","1"
"Lavello","SO2","µg/m≥","05/01/2021","16","8.27","1"
"Lavello","SO2","µg/m≥","05/01/2021","17","8.40","1"
"Lavello","SO2","µg/m≥","05/01/2021","18","8.26","1"
"Lavello","SO2","µg/m≥","05/01/2021","19","8.42","1"
"Lavello","SO2","µg/m≥","05/01/2021","20","8.74","1"
"Lavello","SO2","µg/m≥","05/01/2021","21","9.05","1"
"Lavello","SO2","µg/m≥","05/01/2021","22","8.74","1"
"Lavello","SO2","µg/m≥","05/01/2021","23","8.47","1"
"Lavello","SO2","µg/m≥","05/01/2021","24","8.35","1"
"Lavello","SO2","µg/m≥","06/01/2021","01","8.20","1"
"Lavello","SO2","µg/m≥","06/01/2021","02","8.38","1"
"Lavello","SO2","µg/m≥","06/01/2021","03","8.50","1"
"Lavello","SO2","µg/m≥","06/01/2021","04","8.35","1"
"Lavello","SO2","µg/m≥","06/01/2021","05","7.72","1"
"Lavello","SO2","µg/m≥","06/01/2021","06","7.51","1"
"Lavello","SO2","µg/m≥","06/01/2021","07","8.62","-99"
"Lavello","SO2","µg/m≥","06/01/2021","08","7.82","1"
"Lavello","SO2","µg/m≥","06/01/2021","09","7.53","1"
"Lavello","SO2","µg/m≥","06/01/2021","10","7.72","1"
"Lavello","SO2","µg/m≥","06/01/2021","11","7.72","1"
"Lavello","SO2","µg/m≥","06/01/2021","12","7.84","1"
"Lavello","SO2","µg/m≥","06/01/2021","13","8.26","1"
"Lavello","SO2","µg/m≥","06/01/2021","14","8.03","1"
"Lavello","SO2","µg/m≥","06/01/2021","15","8.37","1"
"Lavello","SO2","µg/m≥","06/01/2021","16","8.43","1"
"Lavello","SO2","µg/m≥","06/01/2021","17","8.31","1"
"Lavello","SO2","µg/m≥","06/01/2021","18","8.53","1"
"Lavello","SO2","µg/m≥","06/01/2021","19","8.73","1"
"Lavello","SO2","µg/m≥","06/01/2021","20","9.33","1"
"Lavello","SO2","µg/m≥","06/01/2021","21","9.08","1"
"Lavello","SO2","µg/m≥","06/01/2021","22","9.05","1"
"Lavello","SO2","µg/m≥","06/01/2021","23","8.99","1"
"Lavello","SO2","µg/m≥","06/01/2021","24","8.58","1"
"Lavello","SO2","µg/m≥","07/01/2021","01","9.10","1"
"Lavello","SO2","µg/m≥","07/01/2021","02","9.09","1"
"Lavello","SO2","µg/m≥","07/01/2021","03","9.04","1"
"Lavello","SO2","µg/m≥","07/01/2021","04","8.97","1"
"Lavello","SO2","µg/m≥","07/01/2021","05","9.02","1"
"Lavello","SO2","µg/m≥","07/01/2021","06","9.59","-99"
"Lavello","SO2","µg/m≥","07/01/2021","07","8.81","1"
"Lavello","SO2","µg/m≥","07/01/2021","08","9.04","1"
"Lavello","SO2","µg/m≥","07/01/2021","09","10.00","1"
"Lavello","SO2","µg/m≥","07/01/2021","10","9.54","1"
"Lavello","SO2","µg/m≥","07/01/2021","11","10.10","1"
"Lavello","SO2","µg/m≥","07/01/2021","12","10.73","1"
"Lavello","SO2","µg/m≥","07/01/2021","13","10.20","1"
"Lavello","SO2","µg/m≥","07/01/2021","14","10.02","1"
"Lavello","SO2","µg/m≥","07/01/2021","15","10.45","-99"
"Lavello","SO2","µg/m≥","07/01/2021","16","9.62","1"
