"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Lavello","Velocità_Vento","m/s","01/01/2021","01","0.770","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","02","0.670","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","03","0.830","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","04","1.020","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","05","0.980","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","06","0.910","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","07","0.910","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","08","1.000","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","09","0.940","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","10","0.980","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","11","1.290","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","12","1.350","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","13","1.470","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","14","1.630","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","15","1.250","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","16","1.190","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","17","1.260","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","18","0.970","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","19","1.090","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","20","1.390","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","21","1.300","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","22","1.230","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","23","1.300","1"
"Lavello","Velocità_Vento","m/s","01/01/2021","24","1.170","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","01","1.100","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","02","1.340","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","03","1.360","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","04","2.380","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","05","1.970","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","06","2.390","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","07","2.560","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","08","2.200","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","09","2.150","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","10","2.950","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","11","3.240","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","12","3.030","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","13","2.710","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","14","2.330","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","15","3.720","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","16","2.840","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","17","0.740","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","18","1.070","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","19","1.250","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","20","1.460","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","21","1.670","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","22","0.960","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","23","1.230","1"
"Lavello","Velocità_Vento","m/s","02/01/2021","24","1.070","1"
"Lavello","Velocità_Vento","m/s","03/01/2021","01","0.990","1"
"Lavello","Velocità_Vento","m/s","03/01/2021","02","0.780","1"
"Lavello","Velocità_Vento","m/s","03/01/2021","03","1.250","1"
