"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Melfi","NO2","µg/m≥","01/01/2021","01","8.63","1"
"Melfi","NO2","µg/m≥","01/01/2021","02","8.40","1"
"Melfi","NO2","µg/m≥","01/01/2021","03","8.56","1"
"Melfi","NO2","µg/m≥","01/01/2021","04","8.03","1"
"Melfi","NO2","µg/m≥","01/01/2021","05","10.84","1"
"Melfi","NO2","µg/m≥","01/01/2021","06","8.06","1"
"Melfi","NO2","µg/m≥","01/01/2021","07","6.36","1"
"Melfi","NO2","µg/m≥","01/01/2021","08","7.42","1"
"Melfi","NO2","µg/m≥","01/01/2021","09","10.02","1"
"Melfi","NO2","µg/m≥","01/01/2021","10","7.90","1"
"Melfi","NO2","µg/m≥","01/01/2021","11","8.25","1"
"Melfi","NO2","µg/m≥","01/01/2021","12","6.30","1"
"Melfi","NO2","µg/m≥","01/01/2021","13","6.59","1"
"Melfi","NO2","µg/m≥","01/01/2021","14","5.62","1"
"Melfi","NO2","µg/m≥","01/01/2021","15","6.77","1"
"Melfi","NO2","µg/m≥","01/01/2021","16","6.54","1"
"Melfi","NO2","µg/m≥","01/01/2021","17","7.92","1"
"Melfi","NO2","µg/m≥","01/01/2021","18","6.03","1"
"Melfi","NO2","µg/m≥","01/01/2021","19","7.80","1"
"Melfi","NO2","µg/m≥","01/01/2021","20","5.98","1"
"Melfi","NO2","µg/m≥","01/01/2021","21","5.57","1"
"Melfi","NO2","µg/m≥","01/01/2021","22","6.03","1"
"Melfi","NO2","µg/m≥","01/01/2021","23","5.49","1"
"Melfi","NO2","µg/m≥","01/01/2021","24","5.38","1"
"Melfi","NO2","µg/m≥","02/01/2021","01","4.69","1"
"Melfi","NO2","µg/m≥","02/01/2021","02","5.48","1"
"Melfi","NO2","µg/m≥","02/01/2021","03","4.47","1"
"Melfi","NO2","µg/m≥","02/01/2021","04","4.85","1"
"Melfi","NO2","µg/m≥","02/01/2021","05","4.02","1"
"Melfi","NO2","µg/m≥","02/01/2021","06","7.54","1"
"Melfi","NO2","µg/m≥","02/01/2021","07","4.70","1"
"Melfi","NO2","µg/m≥","02/01/2021","08","4.51","1"
"Melfi","NO2","µg/m≥","02/01/2021","09","5.84","1"
"Melfi","NO2","µg/m≥","02/01/2021","10","4.47","1"
"Melfi","NO2","µg/m≥","02/01/2021","11","5.20","1"
"Melfi","NO2","µg/m≥","02/01/2021","12","10.51","1"
"Melfi","NO2","µg/m≥","02/01/2021","13","9.05","1"
"Melfi","NO2","µg/m≥","02/01/2021","14","6.83","1"
"Melfi","NO2","µg/m≥","02/01/2021","15","4.50","1"
"Melfi","NO2","µg/m≥","02/01/2021","16","5.44","1"
