"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Melfi","NOx","ppb","01/01/2021","01","6.11","1"
"Melfi","NOx","ppb","01/01/2021","02","6.02","1"
"Melfi","NOx","ppb","01/01/2021","03","6.26","1"
"Melfi","NOx","ppb","01/01/2021","04","5.97","1"
"Melfi","NOx","ppb","01/01/2021","05","7.46","1"
"Melfi","NOx","ppb","01/01/2021","06","6.08","1"
"Melfi","NOx","ppb","01/01/2021","07","5.12","1"
"Melfi","NOx","ppb","01/01/2021","08","5.57","1"
"Melfi","NOx","ppb","01/01/2021","09","7.51","1"
"Melfi","NOx","ppb","01/01/2021","10","6.18","1"
"Melfi","NOx","ppb","01/01/2021","11","7.40","1"
"Melfi","NOx","ppb","01/01/2021","12","5.52","1"
"Melfi","NOx","ppb","01/01/2021","13","5.56","1"
"Melfi","NOx","ppb","01/01/2021","14","4.95","1"
"Melfi","NOx","ppb","01/01/2021","15","5.39","1"
"Melfi","NOx","ppb","01/01/2021","16","5.33","1"
"Melfi","NOx","ppb","01/01/2021","17","6.28","1"
"Melfi","NOx","ppb","01/01/2021","18","5.22","-99"
"Melfi","NOx","ppb","01/01/2021","19","6.21","1"
"Melfi","NOx","ppb","01/01/2021","20","5.37","1"
"Melfi","NOx","ppb","01/01/2021","21","4.96","1"
"Melfi","NOx","ppb","01/01/2021","22","5.35","1"
"Melfi","NOx","ppb","01/01/2021","23","4.70","1"
"Melfi","NOx","ppb","01/01/2021","24","4.91","1"
"Melfi","NOx","ppb","02/01/2021","01","3.96","1"
"Melfi","NOx","ppb","02/01/2021","02","4.56","1"
"Melfi","NOx","ppb","02/01/2021","03","4.05","1"
"Melfi","NOx","ppb","02/01/2021","04","4.38","1"
"Melfi","NOx","ppb","02/01/2021","05","3.60","1"
"Melfi","NOx","ppb","02/01/2021","06","5.72","1"
"Melfi","NOx","ppb","02/01/2021","07","4.22","1"
"Melfi","NOx","ppb","02/01/2021","08","4.07","1"
"Melfi","NOx","ppb","02/01/2021","09","5.02","1"
"Melfi","NOx","ppb","02/01/2021","10","4.38","1"
"Melfi","NOx","ppb","02/01/2021","11","5.07","1"
"Melfi","NOx","ppb","02/01/2021","12","8.33","1"
"Melfi","NOx","ppb","02/01/2021","13","6.91","1"
"Melfi","NOx","ppb","02/01/2021","14","5.56","1"
"Melfi","NOx","ppb","02/01/2021","15","3.93","1"
"Melfi","NOx","ppb","02/01/2021","16","4.65","1"
"Melfi","NOx","ppb","02/01/2021","17","6.02","-99"
"Melfi","NOx","ppb","02/01/2021","18","5.63","1"
"Melfi","NOx","ppb","02/01/2021","19","6.37","1"
"Melfi","NOx","ppb","02/01/2021","20","6.57","1"
"Melfi","NOx","ppb","02/01/2021","21","6.14","1"
"Melfi","NOx","ppb","02/01/2021","22","5.10","1"
"Melfi","NOx","ppb","02/01/2021","23","4.55","1"
"Melfi","NOx","ppb","02/01/2021","24","6.09","1"
"Melfi","NOx","ppb","03/01/2021","01","4.94","1"
"Melfi","NOx","ppb","03/01/2021","02","5.52","1"
"Melfi","NOx","ppb","03/01/2021","03","6.52","1"
"Melfi","NOx","ppb","03/01/2021","04","5.78","1"
"Melfi","NOx","ppb","03/01/2021","05","5.92","1"
"Melfi","NOx","ppb","03/01/2021","06","6.83","1"
"Melfi","NOx","ppb","03/01/2021","07","5.65","1"
"Melfi","NOx","ppb","03/01/2021","08","8.04","1"
"Melfi","NOx","ppb","03/01/2021","09","7.97","1"
"Melfi","NOx","ppb","03/01/2021","10","5.10","1"
"Melfi","NOx","ppb","03/01/2021","11","5.87","1"
"Melfi","NOx","ppb","03/01/2021","12","5.97","1"
"Melfi","NOx","ppb","03/01/2021","13","6.42","1"
"Melfi","NOx","ppb","03/01/2021","14","5.44","1"
"Melfi","NOx","ppb","03/01/2021","15","5.11","1"
"Melfi","NOx","ppb","03/01/2021","16","6.22","-99"
"Melfi","NOx","ppb","03/01/2021","17","6.22","1"
"Melfi","NOx","ppb","03/01/2021","18","6.46","1"
"Melfi","NOx","ppb","03/01/2021","19","5.59","1"
"Melfi","NOx","ppb","03/01/2021","20","5.64","1"
"Melfi","NOx","ppb","03/01/2021","21","5.28","1"
"Melfi","NOx","ppb","03/01/2021","22","4.63","1"
"Melfi","NOx","ppb","03/01/2021","23","5.13","1"
"Melfi","NOx","ppb","03/01/2021","24","5.28","1"
"Melfi","NOx","ppb","04/01/2021","01","5.13","1"
"Melfi","NOx","ppb","04/01/2021","02","5.94","1"
"Melfi","NOx","ppb","04/01/2021","03","6.72","1"
"Melfi","NOx","ppb","04/01/2021","04","4.68","1"
