"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Melfi","O3","µg/m≥","01/01/2021","01","75.90","1"
"Melfi","O3","µg/m≥","01/01/2021","02","76.23","1"
"Melfi","O3","µg/m≥","01/01/2021","03","73.19","1"
"Melfi","O3","µg/m≥","01/01/2021","04","78.94","1"
"Melfi","O3","µg/m≥","01/01/2021","05","75.39","1"
"Melfi","O3","µg/m≥","01/01/2021","06","77.54","1"
"Melfi","O3","µg/m≥","01/01/2021","07","82.27","1"
"Melfi","O3","µg/m≥","01/01/2021","08","80.17","1"
"Melfi","O3","µg/m≥","01/01/2021","09","71.64","1"
"Melfi","O3","µg/m≥","01/01/2021","10","77.06","1"
"Melfi","O3","µg/m≥","01/01/2021","11","75.54","1"
"Melfi","O3","µg/m≥","01/01/2021","12","80.18","1"
"Melfi","O3","µg/m≥","01/01/2021","13","80.38","1"
"Melfi","O3","µg/m≥","01/01/2021","14","80.53","1"
"Melfi","O3","µg/m≥","01/01/2021","15","80.02","1"
"Melfi","O3","µg/m≥","01/01/2021","16","69.33","1"
"Melfi","O3","µg/m≥","01/01/2021","17","79.63","1"
"Melfi","O3","µg/m≥","01/01/2021","18","82.28","1"
"Melfi","O3","µg/m≥","01/01/2021","19","77.21","1"
"Melfi","O3","µg/m≥","01/01/2021","20","-9999","-1"
"Melfi","O3","µg/m≥","01/01/2021","21","81.29","1"
"Melfi","O3","µg/m≥","01/01/2021","22","81.11","1"
"Melfi","O3","µg/m≥","01/01/2021","23","82.64","1"
"Melfi","O3","µg/m≥","01/01/2021","24","85.37","1"
"Melfi","O3","µg/m≥","02/01/2021","01","85.06","1"
"Melfi","O3","µg/m≥","02/01/2021","02","81.94","1"
"Melfi","O3","µg/m≥","02/01/2021","03","83.71","1"
"Melfi","O3","µg/m≥","02/01/2021","04","84.06","1"
"Melfi","O3","µg/m≥","02/01/2021","05","85.91","1"
"Melfi","O3","µg/m≥","02/01/2021","06","80.15","1"
"Melfi","O3","µg/m≥","02/01/2021","07","88.67","1"
"Melfi","O3","µg/m≥","02/01/2021","08","84.31","1"
"Melfi","O3","µg/m≥","02/01/2021","09","81.80","1"
"Melfi","O3","µg/m≥","02/01/2021","10","82.73","1"
"Melfi","O3","µg/m≥","02/01/2021","11","82.40","1"
"Melfi","O3","µg/m≥","02/01/2021","12","74.08","1"
"Melfi","O3","µg/m≥","02/01/2021","13","83.88","1"
"Melfi","O3","µg/m≥","02/01/2021","14","90.11","1"
"Melfi","O3","µg/m≥","02/01/2021","15","94.11","1"
"Melfi","O3","µg/m≥","02/01/2021","16","89.64","1"
"Melfi","O3","µg/m≥","02/01/2021","17","88.19","1"
"Melfi","O3","µg/m≥","02/01/2021","18","85.45","1"
"Melfi","O3","µg/m≥","02/01/2021","19","-9999","-1"
"Melfi","O3","µg/m≥","02/01/2021","20","85.96","1"
"Melfi","O3","µg/m≥","02/01/2021","21","87.28","1"
"Melfi","O3","µg/m≥","02/01/2021","22","91.73","1"
"Melfi","O3","µg/m≥","02/01/2021","23","89.10","1"
"Melfi","O3","µg/m≥","02/01/2021","24","83.93","1"
