"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Melfi","PM10","µg/m³","01/01/2021","4.46","1"
"Melfi","PM10","µg/m³","02/01/2021","8.97","1"
"Melfi","PM10","µg/m³","03/01/2021","5.86","1"
"Melfi","PM10","µg/m³","04/01/2021","4.88","1"
"Melfi","PM10","µg/m³","05/01/2021","6.83","1"
"Melfi","PM10","µg/m³","06/01/2021","6.39","1"
"Melfi","PM10","µg/m³","07/01/2021","13.18","1"
"Melfi","PM10","µg/m³","08/01/2021","5.87","1"
"Melfi","PM10","µg/m³","09/01/2021","11.74","1"
"Melfi","PM10","µg/m³","10/01/2021","1.19","1"
"Melfi","PM10","µg/m³","11/01/2021","7.85","1"
"Melfi","PM10","µg/m³","12/01/2021","8.78","1"
"Melfi","PM10","µg/m³","13/01/2021","10.30","1"
"Melfi","PM10","µg/m³","14/01/2021","7.08","1"
"Melfi","PM10","µg/m³","15/01/2021","9.13","1"
"Melfi","PM10","µg/m³","16/01/2021","7.38","1"
"Melfi","PM10","µg/m³","17/01/2021","7.91","1"
"Melfi","PM10","µg/m³","18/01/2021","7.33","1"
"Melfi","PM10","µg/m³","19/01/2021","6.41","1"
"Melfi","PM10","µg/m³","20/01/2021","8.33","1"
"Melfi","PM10","µg/m³","21/01/2021","12.24","1"
"Melfi","PM10","µg/m³","22/01/2021","19.80","1"
"Melfi","PM10","µg/m³","23/01/2021","7.77","1"
"Melfi","PM10","µg/m³","24/01/2021","4.38","1"
"Melfi","PM10","µg/m³","25/01/2021","5.79","1"
"Melfi","PM10","µg/m³","26/01/2021","6.83","1"
"Melfi","PM10","µg/m³","27/01/2021","6.24","1"
"Melfi","PM10","µg/m³","28/01/2021","6.33","1"
"Melfi","PM10","µg/m³","29/01/2021","2.00","1"
"Melfi","PM10","µg/m³","30/01/2021","10.07","1"
"Melfi","PM10","µg/m³","31/01/2021","2.89","1"
"Melfi","PM10","µg/m³","01/02/2021","7.33","1"
"Melfi","PM10","µg/m³","02/02/2021","8.66","1"
"Melfi","PM10","µg/m³","03/02/2021","7.82","1"
"Melfi","PM10","µg/m³","04/02/2021","9.22","1"
"Melfi","PM10","µg/m³","05/02/2021","12.25","1"
"Melfi","PM10","µg/m³","06/02/2021","36.77","1"
"Melfi","PM10","µg/m³","07/02/2021","39.68","1"
"Melfi","PM10","µg/m³","08/02/2021","8.53","1"
"Melfi","PM10","µg/m³","09/02/2021","3.47","1"
"Melfi","PM10","µg/m³","10/02/2021","5.01","1"
"Melfi","PM10","µg/m³","11/02/2021","9.83","1"
"Melfi","PM10","µg/m³","12/02/2021","12.20","1"
"Melfi","PM10","µg/m³","13/02/2021","3.30","1"
"Melfi","PM10","µg/m³","14/02/2021","16.22","1"
"Melfi","PM10","µg/m³","15/02/2021","10.19","1"
"Melfi","PM10","µg/m³","16/02/2021","7.86","1"
"Melfi","PM10","µg/m³","17/02/2021","6.69","1"
"Melfi","PM10","µg/m³","18/02/2021","5.19","1"
"Melfi","PM10","µg/m³","19/02/2021","8.53","1"
"Melfi","PM10","µg/m³","20/02/2021","13.19","1"
"Melfi","PM10","µg/m³","21/02/2021","16.60","1"
"Melfi","PM10","µg/m³","22/02/2021","15.18","1"
"Melfi","PM10","µg/m³","23/02/2021","14.58","1"
"Melfi","PM10","µg/m³","24/02/2021","25.98","1"
"Melfi","PM10","µg/m³","25/02/2021","30.42","1"
"Melfi","PM10","µg/m³","26/02/2021","28.90","1"
"Melfi","PM10","µg/m³","27/02/2021","43.16","1"
"Melfi","PM10","µg/m³","28/02/2021","28.96","1"
"Melfi","PM10","µg/m³","01/03/2021","13.22","1"
"Melfi","PM10","µg/m³","02/03/2021","19.10","1"
"Melfi","PM10","µg/m³","03/03/2021","15.31","1"
"Melfi","PM10","µg/m³","04/03/2021","14.90","1"
"Melfi","PM10","µg/m³","05/03/2021","22.03","1"
"Melfi","PM10","µg/m³","06/03/2021","16.19","1"
"Melfi","PM10","µg/m³","07/03/2021","9.97","1"
"Melfi","PM10","µg/m³","08/03/2021","17.17","1"
"Melfi","PM10","µg/m³","09/03/2021","12.29","1"
"Melfi","PM10","µg/m³","10/03/2021","15.52","1"
"Melfi","PM10","µg/m³","11/03/2021","12.16","1"
"Melfi","PM10","µg/m³","12/03/2021","9.39","1"
"Melfi","PM10","µg/m³","13/03/2021","7.08","1"
"Melfi","PM10","µg/m³","14/03/2021","12.04","1"
"Melfi","PM10","µg/m³","15/03/2021","23.67","1"
"Melfi","PM10","µg/m³","16/03/2021","8.80","1"
"Melfi","PM10","µg/m³","17/03/2021","5.48","1"
"Melfi","PM10","µg/m³","18/03/2021","7.86","1"
"Melfi","PM10","µg/m³","19/03/2021","6.86","1"
"Melfi","PM10","µg/m³","20/03/2021","3.36","1"
"Melfi","PM10","µg/m³","21/03/2021","10.27","1"
"Melfi","PM10","µg/m³","22/03/2021","15.72","1"
"Melfi","PM10","µg/m³","23/03/2021","11.54","1"
"Melfi","PM10","µg/m³","24/03/2021","13.69","1"
"Melfi","PM10","µg/m³","25/03/2021","10.02","1"
"Melfi","PM10","µg/m³","26/03/2021","12.57","1"
"Melfi","PM10","µg/m³","27/03/2021","11.85","1"
"Melfi","PM10","µg/m³","28/03/2021","13.87","1"
"Melfi","PM10","µg/m³","29/03/2021","16.70","1"
"Melfi","PM10","µg/m³","30/03/2021","15.40","1"
"Melfi","PM10","µg/m³","31/03/2021","15.17","1"
"Melfi","PM10","µg/m³","01/04/2021","18.64","1"
"Melfi","PM10","µg/m³","02/04/2021","14.17","1"
"Melfi","PM10","µg/m³","03/04/2021","14.87","1"
"Melfi","PM10","µg/m³","04/04/2021","7.82","1"
"Melfi","PM10","µg/m³","05/04/2021","9.28","1"
"Melfi","PM10","µg/m³","06/04/2021","11.37","1"
"Melfi","PM10","µg/m³","07/04/2021","7.64","1"
"Melfi","PM10","µg/m³","08/04/2021","7.41","1"
"Melfi","PM10","µg/m³","09/04/2021","9.74","1"
"Melfi","PM10","µg/m³","10/04/2021","10.95","1"
"Melfi","PM10","µg/m³","11/04/2021","16.13","1"
"Melfi","PM10","µg/m³","12/04/2021","19.13","1"
"Melfi","PM10","µg/m³","13/04/2021","-9999","-1"
