"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","01","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","02","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","03","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","04","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","05","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","06","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","07","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","08","6.620","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","09","30.380","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","10","225.860","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","11","401.770","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","12","426.090","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","13","493.970","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","14","292.190","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","15","122.640","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","16","68.910","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","17","8.580","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","18","0.220","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","19","0.230","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","20","0.270","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","21","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","22","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","23","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","01/01/2021","24","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","02/01/2021","01","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","02/01/2021","02","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","02/01/2021","03","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","02/01/2021","04","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","02/01/2021","05","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","02/01/2021","06","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","02/01/2021","07","0.190","1"
"Melfi","Radiazione_Globale","W/m≤","02/01/2021","08","5.730","1"
"Melfi","Radiazione_Globale","W/m≤","02/01/2021","09","42.110","1"
"Melfi","Radiazione_Globale","W/m≤","02/01/2021","10","198.760","1"
"Melfi","Radiazione_Globale","W/m≤","02/01/2021","11","53.930","1"
