"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Melfi","Temperatura","∞C","01/01/2021","01","5.370","1"
"Melfi","Temperatura","∞C","01/01/2021","02","5.820","1"
"Melfi","Temperatura","∞C","01/01/2021","03","5.440","1"
"Melfi","Temperatura","∞C","01/01/2021","04","6.310","1"
"Melfi","Temperatura","∞C","01/01/2021","05","5.960","1"
"Melfi","Temperatura","∞C","01/01/2021","06","6.230","1"
"Melfi","Temperatura","∞C","01/01/2021","07","6.650","1"
"Melfi","Temperatura","∞C","01/01/2021","08","6.460","1"
"Melfi","Temperatura","∞C","01/01/2021","09","5.750","1"
"Melfi","Temperatura","∞C","01/01/2021","10","8.230","1"
"Melfi","Temperatura","∞C","01/01/2021","11","9.690","1"
"Melfi","Temperatura","∞C","01/01/2021","12","10.430","1"
"Melfi","Temperatura","∞C","01/01/2021","13","11.170","1"
"Melfi","Temperatura","∞C","01/01/2021","14","11.040","1"
"Melfi","Temperatura","∞C","01/01/2021","15","10.490","1"
"Melfi","Temperatura","∞C","01/01/2021","16","9.670","1"
"Melfi","Temperatura","∞C","01/01/2021","17","9.360","1"
"Melfi","Temperatura","∞C","01/01/2021","18","8.710","1"
"Melfi","Temperatura","∞C","01/01/2021","19","7.750","1"
"Melfi","Temperatura","∞C","01/01/2021","20","8.090","1"
"Melfi","Temperatura","∞C","01/01/2021","21","7.680","1"
"Melfi","Temperatura","∞C","01/01/2021","22","7.490","1"
"Melfi","Temperatura","∞C","01/01/2021","23","7.470","1"
"Melfi","Temperatura","∞C","01/01/2021","24","7.560","1"
"Melfi","Temperatura","∞C","02/01/2021","01","7.550","1"
"Melfi","Temperatura","∞C","02/01/2021","02","7.860","1"
"Melfi","Temperatura","∞C","02/01/2021","03","8.280","1"
"Melfi","Temperatura","∞C","02/01/2021","04","8.039","1"
"Melfi","Temperatura","∞C","02/01/2021","05","7.950","1"
"Melfi","Temperatura","∞C","02/01/2021","06","7.890","1"
"Melfi","Temperatura","∞C","02/01/2021","07","7.770","1"
"Melfi","Temperatura","∞C","02/01/2021","08","7.670","1"
"Melfi","Temperatura","∞C","02/01/2021","09","7.660","1"
"Melfi","Temperatura","∞C","02/01/2021","10","9.680","1"
"Melfi","Temperatura","∞C","02/01/2021","11","9.870","1"
"Melfi","Temperatura","∞C","02/01/2021","12","10.450","1"
"Melfi","Temperatura","∞C","02/01/2021","13","9.230","1"
"Melfi","Temperatura","∞C","02/01/2021","14","7.600","1"
"Melfi","Temperatura","∞C","02/01/2021","15","9.200","1"
"Melfi","Temperatura","∞C","02/01/2021","16","9.060","1"
"Melfi","Temperatura","∞C","02/01/2021","17","9.000","1"
"Melfi","Temperatura","∞C","02/01/2021","18","8.860","1"
"Melfi","Temperatura","∞C","02/01/2021","19","8.920","1"
"Melfi","Temperatura","∞C","02/01/2021","20","8.520","1"
"Melfi","Temperatura","∞C","02/01/2021","21","8.500","1"
"Melfi","Temperatura","∞C","02/01/2021","22","8.650","1"
"Melfi","Temperatura","∞C","02/01/2021","23","8.390","1"
