"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Melfi","Umidità_Relativa","%","01/01/2021","01","74.220","1"
"Melfi","Umidità_Relativa","%","01/01/2021","02","68.910","1"
"Melfi","Umidità_Relativa","%","01/01/2021","03","68.600","1"
"Melfi","Umidità_Relativa","%","01/01/2021","04","65.220","1"
"Melfi","Umidità_Relativa","%","01/01/2021","05","64.180","1"
"Melfi","Umidità_Relativa","%","01/01/2021","06","58.690","1"
"Melfi","Umidità_Relativa","%","01/01/2021","07","58.700","1"
"Melfi","Umidità_Relativa","%","01/01/2021","08","63.010","1"
"Melfi","Umidità_Relativa","%","01/01/2021","09","69.100","1"
"Melfi","Umidità_Relativa","%","01/01/2021","10","61.780","1"
"Melfi","Umidità_Relativa","%","01/01/2021","11","55.590","1"
"Melfi","Umidità_Relativa","%","01/01/2021","12","52.400","1"
"Melfi","Umidità_Relativa","%","01/01/2021","13","51.720","1"
"Melfi","Umidità_Relativa","%","01/01/2021","14","52.500","1"
"Melfi","Umidità_Relativa","%","01/01/2021","15","57.120","1"
"Melfi","Umidità_Relativa","%","01/01/2021","16","65.700","1"
"Melfi","Umidità_Relativa","%","01/01/2021","17","59.910","1"
"Melfi","Umidità_Relativa","%","01/01/2021","18","64.379","1"
"Melfi","Umidità_Relativa","%","01/01/2021","19","69.460","1"
"Melfi","Umidità_Relativa","%","01/01/2021","20","66.930","1"
"Melfi","Umidità_Relativa","%","01/01/2021","21","63.920","1"
"Melfi","Umidità_Relativa","%","01/01/2021","22","62.610","1"
"Melfi","Umidità_Relativa","%","01/01/2021","23","61.950","1"
"Melfi","Umidità_Relativa","%","01/01/2021","24","64.170","1"
"Melfi","Umidità_Relativa","%","02/01/2021","01","67.690","1"
"Melfi","Umidità_Relativa","%","02/01/2021","02","68.400","1"
"Melfi","Umidità_Relativa","%","02/01/2021","03","63.920","1"
"Melfi","Umidità_Relativa","%","02/01/2021","04","62.150","1"
"Melfi","Umidità_Relativa","%","02/01/2021","05","62.660","1"
"Melfi","Umidità_Relativa","%","02/01/2021","06","64.560","1"
"Melfi","Umidità_Relativa","%","02/01/2021","07","69.340","1"
"Melfi","Umidità_Relativa","%","02/01/2021","08","76.610","1"
"Melfi","Umidità_Relativa","%","02/01/2021","09","82.290","1"
"Melfi","Umidità_Relativa","%","02/01/2021","10","70.820","1"
"Melfi","Umidità_Relativa","%","02/01/2021","11","69.680","1"
"Melfi","Umidità_Relativa","%","02/01/2021","12","67.700","1"
"Melfi","Umidità_Relativa","%","02/01/2021","13","75.580","1"
"Melfi","Umidità_Relativa","%","02/01/2021","14","79.490","1"
"Melfi","Umidità_Relativa","%","02/01/2021","15","64.540","1"
"Melfi","Umidità_Relativa","%","02/01/2021","16","69.130","1"
"Melfi","Umidità_Relativa","%","02/01/2021","17","68.620","1"
"Melfi","Umidità_Relativa","%","02/01/2021","18","68.230","1"
"Melfi","Umidità_Relativa","%","02/01/2021","19","62.130","1"
"Melfi","Umidità_Relativa","%","02/01/2021","20","61.350","1"
"Melfi","Umidità_Relativa","%","02/01/2021","21","59.510","1"
"Melfi","Umidità_Relativa","%","02/01/2021","22","57.480","1"
"Melfi","Umidità_Relativa","%","02/01/2021","23","58.690","1"
"Melfi","Umidità_Relativa","%","02/01/2021","24","61.110","1"
"Melfi","Umidità_Relativa","%","03/01/2021","01","72.410","1"
"Melfi","Umidità_Relativa","%","03/01/2021","02","72.860","1"
