"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Pisticci","Direzione_Vento","∞N","01/01/2021","01","223.550","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","02","314.510","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","03","296.360","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","04","316.040","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","05","320.640","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","06","246.280","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","07","155.740","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","08","247.800","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","09","113.360","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","10","135.680","1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","11","133.850","1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","12","112.850","1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","13","157.270","1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","14","157.110","1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","15","156.860","1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","16","135.030","1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","17","134.800","1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","18","293.370","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","19","247.420","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","20","320.720","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","21","244.690","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","22","50.070","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","23","-9999","-1"
"Pisticci","Direzione_Vento","∞N","01/01/2021","24","21.030","-1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","01","269.610","-1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","02","312.950","-1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","03","333.560","-1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","04","359.500","-1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","05","314.280","-1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","06","338.340","-1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","07","-9999","-1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","08","-9999","-1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","09","21.770","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","10","157.590","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","11","158.100","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","12","157.930","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","13","156.840","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","14","135.000","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","15","134.930","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","16","113.680","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","17","156.530","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","18","270.030","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","19","269.300","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","20","269.330","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","21","266.280","-1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","22","269.100","1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","23","269.050","-1"
"Pisticci","Direzione_Vento","∞N","02/01/2021","24","243.520","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","01","272.450","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","02","314.320","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","03","229.410","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","04","41.480","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","05","247.980","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","06","334.150","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","07","270.030","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","08","271.150","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","09","113.390","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","10","134.650","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","11","134.530","1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","12","133.180","1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","13","269.460","1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","14","269.970","1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","15","245.260","1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","16","316.540","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","17","-9999","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","18","248.960","1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","19","246.710","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","20","200.400","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","21","294.170","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","22","88.800","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","23","44.610","-1"
"Pisticci","Direzione_Vento","∞N","03/01/2021","24","-9999","-1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","01","292.800","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","02","269.840","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","03","357.360","-1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","04","296.660","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","05","268.100","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","06","267.960","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","07","113.260","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","08","334.820","-1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","09","272.740","-1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","10","-9999","-1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","11","269.020","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","12","336.260","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","13","314.380","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","14","337.250","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","15","247.590","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","16","248.190","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","17","268.810","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","18","89.260","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","19","226.480","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","20","155.120","1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","21","248.110","-1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","22","247.770","-1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","23","0.280","-1"
"Pisticci","Direzione_Vento","∞N","04/01/2021","24","247.690","1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","01","246.300","-1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","02","269.660","-1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","03","334.600","-1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","04","337.710","-1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","05","335.490","1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","06","-9999","-1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","07","292.020","-1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","08","339.610","-1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","09","246.590","-1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","10","136.140","1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","11","112.900","1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","12","90.430","1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","13","112.500","1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","14","156.800","1"
"Pisticci","Direzione_Vento","∞N","05/01/2021","15","248.120","1"
