"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Pisticci","NO2","µg/m≥","01/01/2021","01","9.66","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","02","7.72","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","03","5.72","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","04","4.57","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","05","4.85","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","06","7.35","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","07","11.49","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","08","3.81","-99"
"Pisticci","NO2","µg/m≥","01/01/2021","09","7.43","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","10","5.51","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","11","7.28","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","12","7.57","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","13","6.27","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","14","3.88","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","15","3.86","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","16","3.88","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","17","5.85","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","18","6.75","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","19","15.05","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","20","14.10","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","21","19.40","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","22","16.24","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","23","23.05","-1"
"Pisticci","NO2","µg/m≥","01/01/2021","24","11.19","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","01","7.40","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","02","5.97","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","03","6.09","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","04","4.13","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","05","6.66","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","06","5.59","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","07","9.23","-99"
"Pisticci","NO2","µg/m≥","02/01/2021","08","16.54","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","09","12.42","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","10","7.01","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","11","5.17","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","12","7.54","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","13","5.36","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","14","5.02","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","15","4.68","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","16","4.13","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","17","5.04","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","18","3.54","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","19","11.17","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","20","5.63","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","21","10.70","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","22","18.03","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","23","24.45","-1"
"Pisticci","NO2","µg/m≥","02/01/2021","24","15.10","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","01","9.55","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","02","5.37","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","03","5.30","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","04","5.00","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","05","5.49","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","06","7.66","-99"
"Pisticci","NO2","µg/m≥","03/01/2021","07","15.70","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","08","16.29","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","09","12.06","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","10","7.64","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","11","6.91","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","12","6.52","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","13","4.27","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","14","4.87","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","15","5.21","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","16","5.76","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","17","11.92","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","18","13.85","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","19","17.44","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","20","19.21","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","21","19.19","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","22","18.87","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","23","10.54","-1"
"Pisticci","NO2","µg/m≥","03/01/2021","24","8.45","-1"
"Pisticci","NO2","µg/m≥","04/01/2021","01","9.01","-1"
"Pisticci","NO2","µg/m≥","04/01/2021","02","8.73","-1"
"Pisticci","NO2","µg/m≥","04/01/2021","03","6.61","-1"
"Pisticci","NO2","µg/m≥","04/01/2021","04","7.80","-1"
"Pisticci","NO2","µg/m≥","04/01/2021","05","6.50","-99"
"Pisticci","NO2","µg/m≥","04/01/2021","06","18.87","1"
"Pisticci","NO2","µg/m≥","04/01/2021","07","33.88","1"
"Pisticci","NO2","µg/m≥","04/01/2021","08","30.63","1"
"Pisticci","NO2","µg/m≥","04/01/2021","09","34.42","1"
"Pisticci","NO2","µg/m≥","04/01/2021","10","20.57","1"
"Pisticci","NO2","µg/m≥","04/01/2021","11","14.94","1"
"Pisticci","NO2","µg/m≥","04/01/2021","12","8.28","1"
"Pisticci","NO2","µg/m≥","04/01/2021","13","7.29","1"
"Pisticci","NO2","µg/m≥","04/01/2021","14","6.99","1"
"Pisticci","NO2","µg/m≥","04/01/2021","15","6.46","1"
"Pisticci","NO2","µg/m≥","04/01/2021","16","6.25","1"
"Pisticci","NO2","µg/m≥","04/01/2021","17","12.47","1"
"Pisticci","NO2","µg/m≥","04/01/2021","18","23.71","1"
"Pisticci","NO2","µg/m≥","04/01/2021","19","29.91","1"
"Pisticci","NO2","µg/m≥","04/01/2021","20","29.55","1"
"Pisticci","NO2","µg/m≥","04/01/2021","21","20.22","1"
"Pisticci","NO2","µg/m≥","04/01/2021","22","27.08","1"
"Pisticci","NO2","µg/m≥","04/01/2021","23","25.22","1"
"Pisticci","NO2","µg/m≥","04/01/2021","24","11.53","1"
"Pisticci","NO2","µg/m≥","05/01/2021","01","9.12","1"
"Pisticci","NO2","µg/m≥","05/01/2021","02","6.70","1"
"Pisticci","NO2","µg/m≥","05/01/2021","03","4.40","1"
"Pisticci","NO2","µg/m≥","05/01/2021","04","6.20","-99"
"Pisticci","NO2","µg/m≥","05/01/2021","05","5.49","1"
"Pisticci","NO2","µg/m≥","05/01/2021","06","14.71","1"
"Pisticci","NO2","µg/m≥","05/01/2021","07","26.30","1"
"Pisticci","NO2","µg/m≥","05/01/2021","08","27.58","1"
"Pisticci","NO2","µg/m≥","05/01/2021","09","26.18","1"
"Pisticci","NO2","µg/m≥","05/01/2021","10","23.01","1"
"Pisticci","NO2","µg/m≥","05/01/2021","11","13.44","1"
"Pisticci","NO2","µg/m≥","05/01/2021","12","15.09","1"
"Pisticci","NO2","µg/m≥","05/01/2021","13","7.44","1"
"Pisticci","NO2","µg/m≥","05/01/2021","14","7.77","1"
"Pisticci","NO2","µg/m≥","05/01/2021","15","4.74","1"
"Pisticci","NO2","µg/m≥","05/01/2021","16","16.66","1"
"Pisticci","NO2","µg/m≥","05/01/2021","17","28.64","1"
"Pisticci","NO2","µg/m≥","05/01/2021","18","13.31","1"
"Pisticci","NO2","µg/m≥","05/01/2021","19","20.63","1"
"Pisticci","NO2","µg/m≥","05/01/2021","20","27.17","1"
"Pisticci","NO2","µg/m≥","05/01/2021","21","15.90","1"
"Pisticci","NO2","µg/m≥","05/01/2021","22","12.03","1"
"Pisticci","NO2","µg/m≥","05/01/2021","23","13.47","1"
"Pisticci","NO2","µg/m≥","05/01/2021","24","8.40","1"
"Pisticci","NO2","µg/m≥","06/01/2021","01","6.61","1"
"Pisticci","NO2","µg/m≥","06/01/2021","02","6.54","1"
"Pisticci","NO2","µg/m≥","06/01/2021","03","4.98","-99"
"Pisticci","NO2","µg/m≥","06/01/2021","04","5.34","1"
"Pisticci","NO2","µg/m≥","06/01/2021","05","7.37","1"
