"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Pisticci","NOx","ppb","01/01/2021","01","6.19","1"
"Pisticci","NOx","ppb","01/01/2021","02","5.34","1"
"Pisticci","NOx","ppb","01/01/2021","03","3.90","1"
"Pisticci","NOx","ppb","01/01/2021","04","3.35","1"
"Pisticci","NOx","ppb","01/01/2021","05","3.56","1"
"Pisticci","NOx","ppb","01/01/2021","06","7.92","1"
"Pisticci","NOx","ppb","01/01/2021","07","10.11","1"
"Pisticci","NOx","ppb","01/01/2021","08","-9999","-1"
"Pisticci","NOx","ppb","01/01/2021","09","7.27","1"
"Pisticci","NOx","ppb","01/01/2021","10","4.81","1"
"Pisticci","NOx","ppb","01/01/2021","11","6.72","1"
"Pisticci","NOx","ppb","01/01/2021","12","6.12","1"
"Pisticci","NOx","ppb","01/01/2021","13","5.21","1"
"Pisticci","NOx","ppb","01/01/2021","14","3.45","1"
"Pisticci","NOx","ppb","01/01/2021","15","3.16","1"
"Pisticci","NOx","ppb","01/01/2021","16","3.19","1"
"Pisticci","NOx","ppb","01/01/2021","17","4.23","1"
"Pisticci","NOx","ppb","01/01/2021","18","4.64","1"
"Pisticci","NOx","ppb","01/01/2021","19","9.93","1"
"Pisticci","NOx","ppb","01/01/2021","20","9.14","1"
"Pisticci","NOx","ppb","01/01/2021","21","12.58","1"
"Pisticci","NOx","ppb","01/01/2021","22","11.42","1"
"Pisticci","NOx","ppb","01/01/2021","23","18.08","1"
"Pisticci","NOx","ppb","01/01/2021","24","7.07","1"
"Pisticci","NOx","ppb","02/01/2021","01","4.96","1"
"Pisticci","NOx","ppb","02/01/2021","02","4.08","1"
"Pisticci","NOx","ppb","02/01/2021","03","4.13","1"
"Pisticci","NOx","ppb","02/01/2021","04","3.00","1"
"Pisticci","NOx","ppb","02/01/2021","05","4.37","1"
"Pisticci","NOx","ppb","02/01/2021","06","3.80","1"
"Pisticci","NOx","ppb","02/01/2021","07","-9999","-1"
"Pisticci","NOx","ppb","02/01/2021","08","12.44","1"
"Pisticci","NOx","ppb","02/01/2021","09","8.67","1"
