"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Pisticci","Temperatura","∞C","01/01/2021","01","3.070","1"
"Pisticci","Temperatura","∞C","01/01/2021","02","2.460","1"
"Pisticci","Temperatura","∞C","01/01/2021","03","2.040","1"
"Pisticci","Temperatura","∞C","01/01/2021","04","1.810","1"
"Pisticci","Temperatura","∞C","01/01/2021","05","1.370","1"
"Pisticci","Temperatura","∞C","01/01/2021","06","1.340","1"
"Pisticci","Temperatura","∞C","01/01/2021","07","1.160","1"
"Pisticci","Temperatura","∞C","01/01/2021","08","1.290","1"
"Pisticci","Temperatura","∞C","01/01/2021","09","4.200","1"
"Pisticci","Temperatura","∞C","01/01/2021","10","7.830","1"
"Pisticci","Temperatura","∞C","01/01/2021","11","10.650","1"
"Pisticci","Temperatura","∞C","01/01/2021","12","13.370","1"
"Pisticci","Temperatura","∞C","01/01/2021","13","15.350","1"
"Pisticci","Temperatura","∞C","01/01/2021","14","15.890","1"
"Pisticci","Temperatura","∞C","01/01/2021","15","15.920","1"
"Pisticci","Temperatura","∞C","01/01/2021","16","15.320","1"
"Pisticci","Temperatura","∞C","01/01/2021","17","13.660","1"
"Pisticci","Temperatura","∞C","01/01/2021","18","9.510","1"
"Pisticci","Temperatura","∞C","01/01/2021","19","7.830","1"
"Pisticci","Temperatura","∞C","01/01/2021","20","6.700","1"
"Pisticci","Temperatura","∞C","01/01/2021","21","5.900","1"
"Pisticci","Temperatura","∞C","01/01/2021","22","5.390","1"
"Pisticci","Temperatura","∞C","01/01/2021","23","4.910","1"
"Pisticci","Temperatura","∞C","01/01/2021","24","4.260","1"
"Pisticci","Temperatura","∞C","02/01/2021","01","3.810","1"
"Pisticci","Temperatura","∞C","02/01/2021","02","3.170","1"
"Pisticci","Temperatura","∞C","02/01/2021","03","2.960","1"
"Pisticci","Temperatura","∞C","02/01/2021","04","2.770","1"
"Pisticci","Temperatura","∞C","02/01/2021","05","3.190","1"
"Pisticci","Temperatura","∞C","02/01/2021","06","4.430","1"
"Pisticci","Temperatura","∞C","02/01/2021","07","5.000","1"
"Pisticci","Temperatura","∞C","02/01/2021","08","5.360","1"
"Pisticci","Temperatura","∞C","02/01/2021","09","7.500","1"
"Pisticci","Temperatura","∞C","02/01/2021","10","12.490","1"
"Pisticci","Temperatura","∞C","02/01/2021","11","15.010","1"
"Pisticci","Temperatura","∞C","02/01/2021","12","15.160","1"
"Pisticci","Temperatura","∞C","02/01/2021","13","15.390","1"
"Pisticci","Temperatura","∞C","02/01/2021","14","15.970","1"
"Pisticci","Temperatura","∞C","02/01/2021","15","15.790","1"
"Pisticci","Temperatura","∞C","02/01/2021","16","15.480","1"
"Pisticci","Temperatura","∞C","02/01/2021","17","14.680","1"
"Pisticci","Temperatura","∞C","02/01/2021","18","14.500","1"
"Pisticci","Temperatura","∞C","02/01/2021","19","14.000","1"
"Pisticci","Temperatura","∞C","02/01/2021","20","12.680","1"
"Pisticci","Temperatura","∞C","02/01/2021","21","10.910","1"
"Pisticci","Temperatura","∞C","02/01/2021","22","9.160","1"
"Pisticci","Temperatura","∞C","02/01/2021","23","8.560","1"
"Pisticci","Temperatura","∞C","02/01/2021","24","8.050","1"
"Pisticci","Temperatura","∞C","03/01/2021","01","7.430","1"
"Pisticci","Temperatura","∞C","03/01/2021","02","6.530","1"
"Pisticci","Temperatura","∞C","03/01/2021","03","6.200","1"
"Pisticci","Temperatura","∞C","03/01/2021","04","5.880","1"
"Pisticci","Temperatura","∞C","03/01/2021","05","5.390","1"
"Pisticci","Temperatura","∞C","03/01/2021","06","5.010","1"
"Pisticci","Temperatura","∞C","03/01/2021","07","4.470","1"
"Pisticci","Temperatura","∞C","03/01/2021","08","5.340","1"
"Pisticci","Temperatura","∞C","03/01/2021","09","7.910","1"
"Pisticci","Temperatura","∞C","03/01/2021","10","11.750","1"
"Pisticci","Temperatura","∞C","03/01/2021","11","14.540","1"
"Pisticci","Temperatura","∞C","03/01/2021","12","16.400","1"
"Pisticci","Temperatura","∞C","03/01/2021","13","15.570","1"
"Pisticci","Temperatura","∞C","03/01/2021","14","12.260","1"
"Pisticci","Temperatura","∞C","03/01/2021","15","11.980","1"
"Pisticci","Temperatura","∞C","03/01/2021","16","12.160","1"
"Pisticci","Temperatura","∞C","03/01/2021","17","10.610","1"
"Pisticci","Temperatura","∞C","03/01/2021","18","8.900","1"
