"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Pisticci","Toluene","µg/m≥","01/01/2021","01","2.190","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","02","1.560","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","03","1.220","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","04","1.120","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","05","1.290","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","06","1.370","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","07","1.130","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","08","0.870","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","09","0.730","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","10","0.990","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","11","1.120","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","12","2.070","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","13","2.540","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","14","1.410","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","15","0.900","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","16","0.530","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","17","0.550","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","18","0.560","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","19","0.630","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","20","1.040","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","21","1.830","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","22","1.630","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","23","1.210","1"
"Pisticci","Toluene","µg/m≥","01/01/2021","24","1.050","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","01","1.570","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","02","2.230","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","03","1.790","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","04","1.360","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","05","1.040","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","06","0.820","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","07","0.650","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","08","0.700","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","09","1.560","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","10","3.180","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","11","4.290","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","12","1.080","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","13","1.050","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","14","0.620","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","15","0.510","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","16","0.420","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","17","0.390","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","18","0.470","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","19","0.520","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","20","2.360","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","21","2.480","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","22","1.830","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","23","2.220","1"
"Pisticci","Toluene","µg/m≥","02/01/2021","24","1.790","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","01","1.910","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","02","2.460","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","03","2.850","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","04","1.780","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","05","1.550","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","06","1.540","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","07","1.880","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","08","1.920","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","09","1.300","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","10","1.390","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","11","3.050","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","12","2.870","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","13","1.810","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","14","1.120","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","15","0.630","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","16","0.640","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","17","0.550","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","18","0.650","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","19","1.700","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","20","2.160","1"
"Pisticci","Toluene","µg/m≥","03/01/2021","21","1.720","1"
