"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Pisticci","Umidità_Relativa","%","01/01/2021","01","100.000","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","02","99.990","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","03","99.990","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","04","100.000","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","05","99.990","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","06","100.000","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","07","100.000","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","08","99.990","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","09","99.990","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","10","99.990","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","11","98.290","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","12","83.650","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","13","71.840","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","14","68.280","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","15","65.700","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","16","68.250","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","17","72.920","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","18","84.250","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","19","91.540","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","20","94.350","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","21","95.860","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","22","96.960","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","23","97.870","1"
"Pisticci","Umidità_Relativa","%","01/01/2021","24","98.530","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","01","99.190","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","02","99.700","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","03","99.990","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","04","100.000","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","05","99.990","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","06","100.000","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","07","99.990","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","08","99.990","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","09","99.990","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","10","99.990","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","11","99.990","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","12","98.200","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","13","95.880","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","14","91.910","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","15","89.790","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","16","90.210","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","17","89.830","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","18","88.550","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","19","77.340","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","20","79.680","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","21","86.100","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","22","89.920","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","23","93.030","1"
"Pisticci","Umidità_Relativa","%","02/01/2021","24","94.930","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","01","96.220","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","02","97.450","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","03","98.440","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","04","99.190","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","05","99.780","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","06","99.990","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","07","100.000","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","08","100.000","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","09","100.000","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","10","100.000","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","11","99.010","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","12","86.440","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","13","69.780","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","14","78.820","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","15","84.070","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","16","87.140","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","17","88.280","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","18","91.650","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","19","94.110","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","20","95.520","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","21","96.720","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","22","97.940","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","23","98.850","1"
"Pisticci","Umidità_Relativa","%","03/01/2021","24","99.420","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","01","99.930","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","02","100.000","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","03","100.000","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","04","100.000","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","05","100.000","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","06","100.000","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","07","100.000","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","08","100.000","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","09","100.000","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","10","99.990","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","11","99.990","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","12","98.560","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","13","92.530","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","14","79.650","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","15","69.360","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","16","64.550","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","17","69.310","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","18","74.420","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","19","81.060","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","20","85.160","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","21","89.230","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","22","91.550","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","23","93.410","1"
"Pisticci","Umidità_Relativa","%","04/01/2021","24","94.880","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","01","96.050","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","02","96.990","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","03","97.950","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","04","98.470","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","05","99.240","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","06","99.620","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","07","99.980","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","08","99.990","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","09","99.990","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","10","99.450","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","11","94.150","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","12","80.640","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","13","70.710","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","14","64.930","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","15","61.470","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","16","62.950","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","17","72.720","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","18","69.850","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","19","72.070","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","20","81.560","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","21","84.410","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","22","85.700","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","23","88.630","1"
"Pisticci","Umidità_Relativa","%","05/01/2021","24","90.010","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","01","87.420","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","02","87.660","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","03","87.740","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","04","86.270","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","05","87.540","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","06","89.070","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","07","89.300","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","08","90.830","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","09","92.690","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","10","94.410","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","11","95.610","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","12","93.180","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","13","82.000","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","14","76.990","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","15","73.710","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","16","74.010","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","17","63.260","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","18","67.130","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","19","75.520","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","20","81.310","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","21","85.690","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","22","88.630","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","23","91.020","1"
"Pisticci","Umidità_Relativa","%","06/01/2021","24","92.520","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","01","93.170","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","02","93.750","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","03","94.340","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","04","94.180","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","05","93.170","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","06","94.100","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","07","94.560","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","08","95.160","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","09","95.960","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","10","96.440","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","11","96.080","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","12","93.750","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","13","88.400","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","14","86.520","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","15","85.320","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","16","85.820","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","17","88.480","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","18","90.850","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","19","92.970","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","20","94.290","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","21","94.790","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","22","93.570","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","23","92.260","1"
"Pisticci","Umidità_Relativa","%","07/01/2021","24","92.730","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","01","93.670","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","02","94.050","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","03","94.750","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","04","95.640","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","05","96.540","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","06","97.650","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","07","98.520","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","08","99.250","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","09","99.930","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","10","98.950","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","11","95.970","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","12","92.580","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","13","90.560","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","14","88.910","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","15","88.210","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","16","88.550","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","17","90.920","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","18","94.820","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","19","98.750","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","20","99.990","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","21","100.000","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","22","99.990","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","23","99.990","1"
"Pisticci","Umidità_Relativa","%","08/01/2021","24","99.990","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","01","99.990","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","02","99.990","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","03","99.990","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","04","99.990","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","05","99.990","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","06","99.990","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","07","99.990","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","08","99.990","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","09","99.990","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","10","99.990","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","11","99.640","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","12","97.200","1"
"Pisticci","Umidità_Relativa","%","09/01/2021","13","94.370","1"
