"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","01","0.370","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","02","0.370","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","03","0.330","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","04","0.320","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","05","0.310","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","06","0.290","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","07","0.340","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","08","0.380","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","09","0.170","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","10","0.300","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","11","0.160","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","12","0.140","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","13","0.130","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","14","0.200","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","15","0.100","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","16","0.080","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","17","0.090","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","18","0.170","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","19","0.230","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","20","0.430","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","21","0.400","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","22","0.410","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","23","0.410","1"
"Pisticci","m-Xilene","µg/m≥","01/01/2021","24","0.430","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","01","0.420","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","02","0.480","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","03","0.430","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","04","0.470","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","05","0.440","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","06","0.370","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","07","0.310","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","08","0.310","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","09","0.280","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","10","0.280","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","11","0.240","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","12","0.100","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","13","0.200","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","14","0.160","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","15","0.060","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","16","0.020","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","17","0.020","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","18","0.110","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","19","0.100","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","20","0.200","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","21","0.100","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","22","0.230","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","23","0.240","1"
"Pisticci","m-Xilene","µg/m≥","02/01/2021","24","0.320","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","01","0.410","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","02","0.450","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","03","0.460","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","04","0.400","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","05","0.350","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","06","0.320","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","07","0.190","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","08","0.350","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","09","0.320","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","10","0.320","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","11","0.320","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","12","0.240","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","13","0.220","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","14","0.210","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","15","0.020","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","16","0.120","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","17","0.250","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","18","0.330","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","19","0.420","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","20","0.360","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","21","0.330","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","22","0.340","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","23","0.390","1"
"Pisticci","m-Xilene","µg/m≥","03/01/2021","24","0.300","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","01","0.240","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","02","0.200","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","03","0.100","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","04","0.220","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","05","0.190","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","06","0.200","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","07","0.120","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","08","0.200","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","09","0.300","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","10","0.370","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","11","0.330","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","12","0.290","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","13","0.280","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","14","0.260","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","15","0.210","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","16","0.110","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","17","0.130","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","18","0.240","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","19","0.290","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","20","0.370","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","21","0.400","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","22","0.430","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","23","0.370","1"
"Pisticci","m-Xilene","µg/m≥","04/01/2021","24","0.390","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","01","0.350","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","02","0.480","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","03","0.340","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","04","0.310","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","05","0.260","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","06","0.210","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","07","0.110","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","08","0.240","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","09","0.160","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","10","0.310","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","11","0.280","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","12","0.120","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","13","0.130","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","14","0.200","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","15","0.100","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","16","0.200","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","17","0.150","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","18","0.440","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","19","0.330","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","20","0.290","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","21","0.330","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","22","0.360","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","23","0.330","1"
"Pisticci","m-Xilene","µg/m≥","05/01/2021","24","0.290","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","01","0.300","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","02","0.270","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","03","0.270","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","04","0.150","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","05","0.120","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","06","0.210","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","07","0.230","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","08","0.200","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","09","0.130","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","10","0.300","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","11","0.370","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","12","0.190","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","13","0.280","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","14","0.280","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","15","0.260","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","16","0.290","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","17","0.330","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","18","0.200","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","19","0.100","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","20","0.200","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","21","0.240","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","22","0.410","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","23","0.370","1"
"Pisticci","m-Xilene","µg/m≥","06/01/2021","24","0.380","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","01","0.380","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","02","0.390","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","03","0.360","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","04","0.390","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","05","0.280","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","06","0.140","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","07","0.250","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","08","0.260","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","09","0.360","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","10","0.370","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","11","0.360","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","12","0.330","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","13","0.360","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","14","0.370","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","15","0.350","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","16","0.310","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","17","0.370","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","18","0.550","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","19","0.710","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","20","0.740","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","21","0.600","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","22","0.450","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","23","0.350","1"
"Pisticci","m-Xilene","µg/m≥","07/01/2021","24","0.330","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","01","0.300","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","02","0.280","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","03","0.250","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","04","0.230","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","05","0.230","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","06","0.150","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","07","0.290","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","08","0.290","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","09","0.300","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","10","-9999","-1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","11","-9999","-1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","12","-9999","-1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","13","-9999","-1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","14","-9999","-1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","15","0.520","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","16","0.280","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","17","0.210","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","18","0.220","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","19","0.210","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","20","0.130","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","21","0.120","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","22","0.120","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","23","0.120","1"
"Pisticci","m-Xilene","µg/m≥","08/01/2021","24","0.220","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","01","0.200","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","02","0.200","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","03","0.210","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","04","0.210","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","05","0.210","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","06","0.210","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","07","0.210","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","08","0.220","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","09","0.170","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","10","0.300","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","11","0.320","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","12","0.320","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","13","0.310","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","14","0.310","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","15","0.430","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","16","0.330","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","17","0.350","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","18","0.420","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","19","0.450","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","20","0.410","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","21","0.330","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","22","0.300","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","23","0.250","1"
"Pisticci","m-Xilene","µg/m≥","09/01/2021","24","0.260","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","01","0.310","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","02","0.270","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","03","0.290","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","04","0.170","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","05","0.250","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","06","0.320","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","07","0.260","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","08","0.250","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","09","0.160","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","10","0.280","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","11","0.270","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","12","0.310","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","13","0.320","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","14","0.140","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","15","0.330","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","16","0.320","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","17","0.350","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","18","0.190","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","19","0.280","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","20","0.300","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","21","0.340","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","22","0.240","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","23","0.170","1"
"Pisticci","m-Xilene","µg/m≥","10/01/2021","24","0.150","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","01","0.070","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","02","0.080","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","03","0.110","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","04","0.120","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","05","0.110","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","06","0.060","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","07","0.060","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","08","0.020","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","09","0.130","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","10","0.090","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","11","0.080","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","12","0.100","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","13","0.170","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","14","0.090","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","15","0.100","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","16","0.210","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","17","0.190","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","18","0.110","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","19","0.220","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","20","0.200","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","21","0.200","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","22","0.200","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","23","0.200","1"
"Pisticci","m-Xilene","µg/m≥","11/01/2021","24","0.020","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","01","0.220","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","02","0.100","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","03","0.180","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","04","0.110","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","05","0.180","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","06","0.190","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","07","0.100","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","08","0.100","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","09","0.120","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","10","0.220","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","11","0.220","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","12","0.200","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","13","0.120","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","14","0.100","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","15","0.100","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","16","0.150","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","17","0.140","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","18","0.100","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","19","0.190","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","20","0.190","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","21","0.100","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","22","0.190","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","23","0.210","1"
"Pisticci","m-Xilene","µg/m≥","12/01/2021","24","0.220","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","01","0.250","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","02","0.190","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","03","0.230","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","04","0.300","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","05","0.140","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","06","0.310","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","07","0.350","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","08","0.460","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","09","0.500","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","10","0.430","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","11","0.390","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","12","0.350","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","13","0.310","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","14","0.160","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","15","0.210","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","16","0.120","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","17","0.120","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","18","0.130","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","19","0.220","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","20","0.200","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","21","0.180","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","22","0.180","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","23","0.130","1"
"Pisticci","m-Xilene","µg/m≥","13/01/2021","24","0.290","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","01","0.290","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","02","0.030","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","03","0.210","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","04","0.140","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","05","0.150","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","06","0.310","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","07","0.380","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","08","0.360","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","09","0.360","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","10","0.320","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","11","0.330","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","12","0.360","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","13","0.210","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","14","0.140","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","15","0.200","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","16","0.090","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","17","0.120","1"
"Pisticci","m-Xilene","µg/m≥","14/01/2021","18","0.280","1"
