"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","01","4.07","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","02","4.08","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","03","3.66","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","04","3.12","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","05","3.61","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","06","3.83","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","07","2.89","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","08","3.65","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","09","3.42","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","10","3.92","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","11","4.18","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","12","3.42","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","13","2.93","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","14","2.53","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","15","2.93","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","16","2.75","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","17","4.10","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","18","4.43","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","19","4.29","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","20","4.10","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","21","2.68","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","22","1.87","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","23","3.93","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","01/01/2021","24","4.03","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","01","3.19","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","02","4.32","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","03","4.83","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","04","4.78","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","05","3.56","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","06","4.03","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","07","4.85","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","08","4.24","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","09","4.28","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","10","3.25","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","11","4.44","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","12","4.71","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","13","4.68","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","14","4.99","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","15","4.30","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","16","4.12","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","17","4.01","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","18","3.08","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","19","3.98","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","20","3.94","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","21","3.91","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","22","4.25","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","23","3.66","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","02/01/2021","24","2.43","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","01","3.39","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","02","4.31","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","03","4.32","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","04","4.44","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","05","4.47","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","06","3.82","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","07","4.11","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","08","4.37","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","09","4.17","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","10","4.38","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","11","4.02","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","12","3.45","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","13","4.40","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","14","3.47","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","15","3.76","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","16","4.14","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","17","3.99","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","18","4.30","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","19","4.16","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","20","3.76","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","21","3.96","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","22","3.63","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","23","3.41","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","03/01/2021","24","4.16","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","01","4.72","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","02","5.04","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","03","4.54","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","04","4.46","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","05","3.95","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","06","4.59","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","07","4.70","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","08","4.79","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","09","5.20","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","10","5.44","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","11","5.71","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","12","-9999","-1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","13","3.66","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","14","5.31","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","15","4.44","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","16","4.06","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","17","4.31","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","18","3.93","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","19","4.01","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","20","4.06","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","21","4.72","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","22","4.17","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","23","4.09","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","04/01/2021","24","3.19","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","01","4.60","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","02","4.06","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","03","3.37","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","04","3.48","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","05","4.05","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","06","4.12","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","07","3.72","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","08","3.71","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","09","3.39","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","10","4.41","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","11","4.50","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","12","4.60","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","13","4.32","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","14","4.37","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","15","4.52","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","16","3.96","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","17","4.03","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","18","4.35","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","19","3.31","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","20","4.23","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","21","4.02","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","22","4.09","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","23","4.31","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","05/01/2021","24","3.83","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","01","4.56","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","02","3.63","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","03","2.98","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","04","3.18","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","05","4.14","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","06","3.18","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","07","3.38","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","08","2.86","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","09","3.73","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","10","3.78","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","11","3.89","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","12","3.47","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","13","3.72","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","14","2.45","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","15","3.41","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","16","3.12","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","17","3.32","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","18","3.39","1"
"Potenza-C_da_Rossellino","SO2","µg/m≥","06/01/2021","19","3.34","1"
