"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","01","0.730","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","02","0.250","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","03","0.520","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","04","0.370","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","05","0.330","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","06","0.350","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","07","0.410","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","08","0.360","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","09","0.210","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","10","0.040","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","11","0.720","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","12","1.190","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","13","1.430","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","14","0.990","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","15","1.080","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","16","0.420","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","17","0.720","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","18","0.550","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","19","0.210","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","20","0.150","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","21","0.380","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","22","0.310","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","23","0.720","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","01/01/2021","24","0.650","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","01","1.350","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","02","1.850","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","03","1.260","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","04","0.890","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","05","0.080","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","06","1.490","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","07","0.710","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","08","1.170","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","09","2.280","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","10","1.070","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","11","0.940","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","12","1.260","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","13","0.950","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","14","2.490","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","15","1.350","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","16","0.940","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","17","1.040","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","18","0.970","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","19","0.920","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","20","1.020","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","21","1.070","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","22","0.690","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","23","0.520","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","02/01/2021","24","0.810","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","01","0.670","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","02","0.810","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","03","0.620","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","04","0.510","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","05","0.820","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","06","0.410","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","07","0.740","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","08","0.710","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","09","0.520","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","10","0.410","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","11","0.820","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","12","0.750","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","13","2.080","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","14","0.430","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","15","1.900","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","16","0.180","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","17","0.630","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","18","0.560","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","19","0.650","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","20","0.310","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","21","0.320","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","22","0.740","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","23","0.660","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","03/01/2021","24","1.460","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","01","0.750","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","02","0.450","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","03","0.680","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","04","0.350","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","05","0.370","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","06","0.600","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","07","0.820","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","08","0.410","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","09","0.200","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","10","0.680","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","11","1.130","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","12","2.029","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","13","2.640","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","14","2.690","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","15","2.520","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","16","2.200","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","17","1.490","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","18","0.600","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","19","1.170","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","20","0.370","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","21","0.270","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","22","0.300","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","23","0.710","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","04/01/2021","24","0.580","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","01","0.530","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","02","0.350","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","03","0.160","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","04","0.340","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","05","0.260","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","06","0.240","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","07","0.200","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","08","0.150","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","09","0.180","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","10","0.760","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","11","0.900","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","12","1.620","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","13","1.270","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","14","1.860","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","15","1.280","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","16","1.190","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","17","1.200","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","18","1.070","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","19","1.100","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","20","0.600","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","21","1.000","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","22","1.290","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","23","1.060","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","05/01/2021","24","1.190","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","01","2.410","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","02","2.300","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","03","1.590","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","04","1.120","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","05","1.460","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","06","0.820","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","07","1.050","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","08","0.680","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","09","0.640","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","10","0.900","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","11","0.630","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","12","0.670","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","13","2.280","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","14","0.510","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","15","0.210","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","16","0.500","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","17","0.320","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","18","0.550","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","19","0.570","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","20","0.380","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","21","0.990","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","22","0.890","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","23","0.460","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","06/01/2021","24","0.690","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","01","0.810","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","02","0.590","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","03","1.000","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","04","0.920","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","05","0.260","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","06","0.280","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","07","0.510","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","08","0.180","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","09","0.180","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","10","0.060","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","11","0.130","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","12","0.160","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","13","0.170","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","14","0.180","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","15","0.180","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","16","1.090","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","17","0.690","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","18","0.500","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","19","0.250","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","20","0.450","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","21","0.210","-1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","22","0.250","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","23","0.330","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","07/01/2021","24","0.750","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","01","0.580","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","02","0.430","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","03","0.400","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","04","0.470","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","05","1.770","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","06","2.400","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","07","1.910","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","08","1.810","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","09","2.060","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","10","2.400","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","11","2.800","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","12","2.430","1"
"Potenza-C_da_Rossellino","Velocità_Vento","m/s","08/01/2021","13","2.400","1"
