"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","01","1.180","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","02","0.870","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","03","0.750","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","04","0.680","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","05","0.610","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","06","0.610","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","07","0.900","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","08","0.930","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","09","1.000","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","10","1.120","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","11","0.690","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","12","0.790","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","13","0.530","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","14","0.540","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","15","0.500","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","16","1.360","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","17","1.170","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","18","0.760","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","19","0.880","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","20","0.860","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","21","1.020","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","22","1.260","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","23","0.800","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","01/01/2021","24","0.530","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","01","0.540","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","02","0.460","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","03","0.900","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","04","0.820","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","05","1.270","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","06","0.930","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","07","0.470","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","08","0.490","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","09","0.560","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","10","0.480","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","11","0.530","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","12","0.440","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","13","0.460","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","14","0.450","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","15","0.930","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","16","0.910","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","17","0.650","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","18","0.460","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","19","0.470","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","20","0.700","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","21","0.810","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","22","0.700","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","23","0.990","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","02/01/2021","24","0.880","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","01","1.290","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","02","1.470","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","03","0.890","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","04","0.630","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","05","0.670","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","06","0.630","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","07","0.540","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","08","0.460","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","09","0.640","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","10","1.020","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","11","1.660","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","12","0.830","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","13","0.490","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","14","0.480","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","15","0.830","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","16","0.950","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","17","0.920","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","18","1.420","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","19","1.450","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","20","1.330","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","21","1.840","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","22","1.970","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","23","1.740","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","03/01/2021","24","1.290","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","01","1.280","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","02","1.310","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","03","1.280","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","04","1.460","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","05","0.950","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","06","0.640","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","07","1.270","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","08","0.640","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","09","0.610","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","10","0.980","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","11","2.140","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","12","-9999","-1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","13","-9999","-1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","14","-9999","-1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","15","0.860","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","16","0.770","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","17","0.860","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","18","1.210","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","19","1.590","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","20","1.450","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","21","1.510","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","22","2.200","1"
"Potenza-S_L_Branca","Benzene","µg/m≥","04/01/2021","23","1.440","1"
