"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","01","204.110","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","02","203.130","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","03","201.690","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","04","202.930","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","05","204.720","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","06","223.210","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","07","203.110","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","08","181.810","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","09","179.840","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","10","158.240","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","11","157.070","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","12","224.660","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","13","177.920","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","14","158.460","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","15","-9999","-1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","16","201.840","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","17","202.020","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","18","179.840","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","19","136.030","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","20","136.670","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","21","112.310","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","22","114.940","1"
"Potenza-S_L_Branca","Direzione_Vento","∞N","01/01/2021","23","113.390","1"
