"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","01","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","02","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","03","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","04","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","05","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","06","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","07","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","08","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","09","-9999","-1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","10","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","11","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","12","0.130","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","13","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","14","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","15","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","16","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","17","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","18","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","19","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","20","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","21","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","22","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","23","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","01/01/2021","24","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","01","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","02","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","03","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","04","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","05","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","06","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","07","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","08","-9999","-1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","09","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","10","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","11","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","12","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","13","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","14","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","15","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","16","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","17","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","18","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","19","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","20","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","21","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","22","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","23","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","02/01/2021","24","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","01","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","02","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","03","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","04","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","05","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","06","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","07","-9999","-1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","08","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","09","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","10","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","11","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","12","0.130","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","13","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","14","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","15","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","16","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","17","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","18","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","19","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","20","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","21","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","22","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","23","0.130","1"
"Potenza-S_L_Branca","NMHC","ppm","03/01/2021","24","0.130","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","01","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","02","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","03","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","04","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","05","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","06","-9999","-1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","07","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","08","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","09","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","10","0.190","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","11","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","12","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","13","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","14","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","15","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","16","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","17","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","18","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","19","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","20","-9999","-1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","21","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","22","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","23","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","04/01/2021","24","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","01","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","02","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","03","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","04","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","05","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","06","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","07","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","08","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","09","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","10","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","11","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","12","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","13","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","14","0.130","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","15","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","16","0.130","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","17","0.120","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","18","0.120","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","19","-9999","-1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","20","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","21","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","22","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","23","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","05/01/2021","24","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","01","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","02","0.140","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","03","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","04","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","05","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","06","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","07","0.150","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","08","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","09","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","10","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","11","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","12","0.200","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","13","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","14","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","15","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","16","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","17","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","18","-9999","-1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","19","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","20","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","21","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","22","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","23","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","06/01/2021","24","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","01","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","02","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","03","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","04","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","05","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","06","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","07","0.160","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","08","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","09","0.190","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","10","0.430","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","11","0.490","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","12","0.400","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","13","0.580","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","14","0.410","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","15","0.190","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","16","0.210","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","17","-9999","-1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","18","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","19","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","20","0.200","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","21","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","22","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","23","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","07/01/2021","24","0.190","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","01","0.190","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","02","0.190","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","03","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","04","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","05","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","06","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","07","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","08","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","09","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","10","0.230","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","11","0.190","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","12","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","13","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","14","0.330","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","15","0.540","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","16","-9999","-1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","17","0.170","-1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","18","0.190","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","19","0.210","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","20","0.210","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","21","0.200","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","22","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","23","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","08/01/2021","24","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","09/01/2021","01","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","09/01/2021","02","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","09/01/2021","03","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","09/01/2021","04","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","09/01/2021","05","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","09/01/2021","06","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","09/01/2021","07","0.180","1"
"Potenza-S_L_Branca","NMHC","ppm","09/01/2021","08","0.170","1"
"Potenza-S_L_Branca","NMHC","ppm","09/01/2021","09","0.180","1"
