"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","01","64.56","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","02","65.53","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","03","65.46","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","04","64.26","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","05","62.66","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","06","64.60","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","07","63.99","-99"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","08","62.68","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","09","64.15","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","10","65.51","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","11","67.81","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","12","74.71","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","13","73.50","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","14","73.31","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","15","72.47","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","16","72.79","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","17","71.01","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","18","65.11","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","19","65.35","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","20","70.47","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","21","70.90","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","22","75.64","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","23","75.35","1"
"Potenza-S_L_Branca","O3","µg/m≥","01/01/2021","24","71.27","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","01","75.88","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","02","74.80","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","03","76.11","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","04","73.23","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","05","71.86","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","06","73.14","-99"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","07","68.99","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","08","71.76","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","09","71.83","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","10","70.12","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","11","73.56","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","12","74.16","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","13","74.67","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","14","70.88","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","15","79.88","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","16","82.32","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","17","84.48","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","18","82.62","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","19","74.56","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","20","71.12","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","21","77.49","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","22","67.20","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","23","66.70","1"
"Potenza-S_L_Branca","O3","µg/m≥","02/01/2021","24","71.15","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","01","71.20","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","02","68.95","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","03","73.26","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","04","66.63","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","05","63.50","-99"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","06","68.99","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","07","65.73","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","08","56.97","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","09","59.30","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","10","61.38","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","11","76.68","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","12","80.48","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","13","81.94","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","14","77.65","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","15","76.88","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","16","72.86","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","17","73.66","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","18","66.09","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","19","65.53","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","20","58.59","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","21","63.35","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","22","65.52","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","23","78.26","1"
"Potenza-S_L_Branca","O3","µg/m≥","03/01/2021","24","78.35","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","01","77.44","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","02","78.38","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","03","74.95","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","04","67.71","-99"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","05","56.26","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","06","42.25","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","07","61.24","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","08","58.03","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","09","38.33","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","10","34.26","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","11","59.40","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","12","70.30","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","13","70.83","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","14","70.38","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","15","72.65","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","16","69.87","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","17","66.45","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","18","62.81","-99"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","19","61.70","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","20","61.32","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","21","42.68","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","22","59.67","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","23","64.82","1"
"Potenza-S_L_Branca","O3","µg/m≥","04/01/2021","24","62.84","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","01","60.40","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","02","60.70","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","03","58.26","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","04","52.32","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","05","59.14","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","06","58.15","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","07","56.52","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","08","48.47","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","09","32.46","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","10","46.92","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","11","71.81","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","12","70.16","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","13","73.66","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","14","78.90","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","15","78.92","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","16","80.62","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","17","83.15","-99"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","18","82.55","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","19","81.23","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","20","76.32","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","21","75.28","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","22","78.65","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","23","78.30","1"
"Potenza-S_L_Branca","O3","µg/m≥","05/01/2021","24","77.91","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","01","77.87","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","02","76.42","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","03","72.71","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","04","69.34","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","05","74.50","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","06","76.35","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","07","76.32","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","08","72.79","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","09","68.46","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","10","67.07","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","11","67.36","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","12","68.56","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","13","71.50","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","14","68.90","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","15","69.11","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","16","60.74","-99"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","17","63.95","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","18","56.76","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","19","69.39","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","20","72.66","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","21","71.81","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","22","72.82","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","23","73.06","1"
"Potenza-S_L_Branca","O3","µg/m≥","06/01/2021","24","71.01","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","01","72.96","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","02","69.50","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","03","68.12","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","04","70.88","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","05","68.94","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","06","63.93","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","07","58.96","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","08","49.29","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","09","35.45","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","10","45.88","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","11","42.85","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","12","36.40","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","13","50.27","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","14","45.84","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","15","45.31","-99"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","16","46.10","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","17","46.23","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","18","47.01","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","19","45.48","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","20","47.10","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","21","46.15","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","22","49.18","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","23","44.10","1"
"Potenza-S_L_Branca","O3","µg/m≥","07/01/2021","24","46.63","1"
"Potenza-S_L_Branca","O3","µg/m≥","08/01/2021","01","42.34","1"
"Potenza-S_L_Branca","O3","µg/m≥","08/01/2021","02","39.21","1"
"Potenza-S_L_Branca","O3","µg/m≥","08/01/2021","03","39.89","1"
"Potenza-S_L_Branca","O3","µg/m≥","08/01/2021","04","47.72","1"
"Potenza-S_L_Branca","O3","µg/m≥","08/01/2021","05","55.70","1"
