"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","01","927.910","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","02","927.960","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","03","928.090","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","04","928.150","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","05","928.000","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","06","927.980","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","07","928.250","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","08","928.700","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","09","928.910","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","10","928.950","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","11","928.790","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","12","928.160","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","13","927.740","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","14","927.350","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","15","927.400","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","16","927.400","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","17","927.600","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","18","927.790","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","19","927.990","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","20","928.140","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","21","928.320","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","22","928.110","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","23","928.060","1"
"Potenza-S_L_Branca","Pressione","mBar","01/01/2021","24","927.840","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","01","927.420","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","02","927.290","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","03","927.390","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","04","926.750","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","05","926.130","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","06","926.000","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","07","926.000","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","08","926.080","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","09","925.870","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","10","925.710","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","11","925.700","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","12","925.080","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","13","924.560","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","14","924.100","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","15","925.010","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","16","925.240","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","17","924.890","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","18","925.200","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","19","925.550","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","20","925.610","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","21","925.620","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","22","925.710","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","23","925.880","1"
"Potenza-S_L_Branca","Pressione","mBar","02/01/2021","24","925.690","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","01","925.610","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","02","925.850","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","03","925.990","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","04","925.740","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","05","925.610","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","06","925.940","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","07","926.300","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","08","926.290","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","09","926.630","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","10","926.800","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","11","926.500","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","12","926.110","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","13","926.820","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","14","926.710","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","15","926.820","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","16","926.940","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","17","927.500","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","18","927.390","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","19","927.480","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","20","927.490","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","21","927.420","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","22","927.220","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","23","926.710","1"
"Potenza-S_L_Branca","Pressione","mBar","03/01/2021","24","926.480","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","01","926.200","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","02","925.660","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","03","925.800","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","04","925.510","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","05","925.090","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","06","925.250","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","07","925.120","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","08","925.250","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","09","925.540","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","10","925.410","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","11","925.080","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","12","924.370","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","13","923.630","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","14","923.210","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","15","923.300","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","16","923.820","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","17","924.260","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","18","924.700","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","19","925.000","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","20","925.490","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","21","925.830","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","22","926.010","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","23","926.000","1"
"Potenza-S_L_Branca","Pressione","mBar","04/01/2021","24","926.020","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","01","926.200","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","02","926.490","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","03","926.730","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","04","926.500","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","05","926.330","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","06","926.300","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","07","926.490","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","08","926.610","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","09","926.810","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","10","926.820","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","11","926.640","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","12","926.270","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","13","925.660","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","14","924.770","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","15","924.760","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","16","924.820","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","17","924.530","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","18","925.280","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","19","925.710","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","20","925.670","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","21","925.690","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","22","925.380","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","23","925.250","1"
"Potenza-S_L_Branca","Pressione","mBar","05/01/2021","24","925.290","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","01","925.120","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","02","925.660","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","03","926.140","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","04","926.490","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","05","926.650","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","06","926.730","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","07","927.130","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","08","927.360","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","09","927.760","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","10","928.360","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","11","928.610","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","12","928.250","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","13","927.670","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","14","927.660","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","15","927.860","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","16","927.840","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","17","927.770","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","18","927.570","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","19","927.690","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","20","927.820","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","21","927.710","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","22","927.810","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","23","927.930","1"
"Potenza-S_L_Branca","Pressione","mBar","06/01/2021","24","927.980","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","01","928.110","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","02","928.270","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","03","928.620","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","04","928.550","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","05","928.510","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","06","928.640","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","07","928.510","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","08","928.480","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","09","928.900","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","10","928.930","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","11","928.530","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","12","928.130","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","13","927.330","1"
"Potenza-S_L_Branca","Pressione","mBar","07/01/2021","14","926.390","1"
