"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","01","1.49","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","02","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","03","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","04","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","05","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","06","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","07","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","08","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","09","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","10","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","11","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","12","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","13","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","14","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","15","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","16","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","17","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","18","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","19","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","20","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","21","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","22","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","23","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","01/01/2021","24","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","01","1.46","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","02","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","03","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","04","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","05","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","06","0.02","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","07","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","08","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","09","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","10","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","11","0.10","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","12","0.03","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","13","0.06","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","14","0.11","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","15","0.15","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","16","0.07","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","17","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","18","0.03","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","19","0.03","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","20","0.04","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","21","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","22","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","23","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","02/01/2021","24","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","01","1.86","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","02","0.02","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","03","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","04","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","05","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","06","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","07","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","08","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","09","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","10","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","11","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","12","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","13","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","14","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","15","0.03","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","16","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","17","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","18","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","19","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","20","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","21","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","22","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","23","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","03/01/2021","24","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","01","1.57","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","02","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","03","0.04","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","04","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","05","0.03","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","06","0.00","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","07","0.02","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","08","0.03","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","09","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","10","0.15","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","11","0.01","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","12","0.06","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","13","0.68","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","14","1.29","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","15","1.63","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","16","0.92","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","17","1.11","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","18","0.84","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","19","1.51","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","20","1.26","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","21","0.65","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","22","1.26","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","23","1.23","1"
"Potenza-S_L_Branca","SO2","µg/m≥","04/01/2021","24","0.32","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","01","2.66","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","02","0.86","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","03","0.64","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","04","0.55","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","05","0.60","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","06","0.47","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","07","0.63","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","08","0.48","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","09","0.39","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","10","0.52","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","11","0.77","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","12","0.50","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","13","1.10","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","14","1.04","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","15","1.40","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","16","1.30","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","17","0.52","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","18","0.41","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","19","1.02","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","20","1.04","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","21","0.25","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","22","1.23","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","23","0.45","1"
"Potenza-S_L_Branca","SO2","µg/m≥","05/01/2021","24","0.81","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","01","3.13","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","02","0.93","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","03","0.78","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","04","0.24","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","05","0.27","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","06","0.21","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","07","0.46","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","08","0.59","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","09","0.15","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","10","0.04","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","11","0.18","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","12","0.36","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","13","0.75","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","14","0.68","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","15","0.54","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","16","0.39","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","17","0.36","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","18","0.63","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","19","0.95","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","20","0.68","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","21","0.70","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","22","0.27","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","23","0.38","1"
"Potenza-S_L_Branca","SO2","µg/m≥","06/01/2021","24","0.47","1"
"Potenza-S_L_Branca","SO2","µg/m≥","07/01/2021","01","2.03","1"
"Potenza-S_L_Branca","SO2","µg/m≥","07/01/2021","02","0.18","1"
"Potenza-S_L_Branca","SO2","µg/m≥","07/01/2021","03","0.10","1"
"Potenza-S_L_Branca","SO2","µg/m≥","07/01/2021","04","0.16","1"
