"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","01","2.720","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","02","2.780","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","03","2.360","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","04","1.740","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","05","1.660","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","06","1.760","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","07","1.500","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","08","1.470","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","09","2.260","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","10","4.620","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","11","6.840","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","12","8.550","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","13","8.160","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","14","8.100","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","15","8.260","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","16","8.160","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","17","7.170","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","18","5.790","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","19","4.750","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","20","4.570","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","21","4.620","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","22","5.250","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","23","5.310","1"
"Potenza-S_L_Branca","Temperatura","∞C","01/01/2021","24","5.310","1"
"Potenza-S_L_Branca","Temperatura","∞C","02/01/2021","01","5.530","1"
"Potenza-S_L_Branca","Temperatura","∞C","02/01/2021","02","5.190","1"
"Potenza-S_L_Branca","Temperatura","∞C","02/01/2021","03","5.130","1"
"Potenza-S_L_Branca","Temperatura","∞C","02/01/2021","04","4.080","1"
"Potenza-S_L_Branca","Temperatura","∞C","02/01/2021","05","4.630","1"
"Potenza-S_L_Branca","Temperatura","∞C","02/01/2021","06","4.510","1"
"Potenza-S_L_Branca","Temperatura","∞C","02/01/2021","07","3.750","1"
"Potenza-S_L_Branca","Temperatura","∞C","02/01/2021","08","4.660","1"
"Potenza-S_L_Branca","Temperatura","∞C","02/01/2021","09","5.490","1"
