"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","01","0.430","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","02","0.310","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","03","0.250","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","04","0.240","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","05","0.200","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","06","0.230","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","07","0.220","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","08","0.200","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","09","0.180","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","10","0.240","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","11","0.170","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","12","0.220","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","13","0.070","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","14","0.130","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","15","0.130","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","16","0.380","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","17","0.350","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","18","0.210","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","19","0.240","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","20","0.240","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","21","0.120","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","22","0.080","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","23","0.100","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","01/01/2021","24","0.110","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","01","0.070","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","02","0.100","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","03","0.100","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","04","0.110","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","05","0.120","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","06","0.120","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","07","0.100","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","08","0.120","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","09","0.140","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","10","0.110","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","11","0.130","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","12","0.100","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","13","0.070","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","14","0.110","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","15","0.220","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","16","0.250","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","17","0.180","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","18","0.100","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","19","0.020","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","20","0.190","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","21","0.240","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","22","0.180","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","23","0.310","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","02/01/2021","24","0.260","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","01","0.390","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","02","0.480","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","03","0.320","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","04","0.180","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","05","0.250","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","06","0.280","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","07","0.170","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","08","0.150","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","09","0.230","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","10","0.300","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","11","0.570","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","12","0.260","1"
"Potenza-S_L_Branca","Toluene","µg/m≥","03/01/2021","13","0.110","1"
