"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","01","3.030","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","02","2.230","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","03","2.990","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","04","1.740","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","05","2.550","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","06","2.240","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","07","1.650","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","08","0.780","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","09","0.800","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","10","0.800","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","11","1.110","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","12","3.840","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","13","5.430","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","14","3.910","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","15","-9999","-1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","16","2.510","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","17","2.400","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","18","0.630","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","19","2.040","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","20","2.500","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","21","2.230","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","22","4.170","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","23","2.540","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","01/01/2021","24","2.800","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","01","3.870","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","02","4.750","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","03","3.170","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","04","2.590","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","05","2.600","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","06","3.970","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","07","2.740","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","08","3.380","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","09","3.890","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","10","3.090","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","11","4.090","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","12","3.530","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","13","3.680","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","14","3.330","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","15","5.290","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","16","6.270","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","17","6.230","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","18","5.270","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","19","3.700","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","20","4.150","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","21","4.600","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","22","3.060","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","23","1.700","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","02/01/2021","24","-9999","-1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","01","1.780","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","02","1.020","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","03","0.800","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","04","0.980","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","05","2.150","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","06","1.770","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","07","1.180","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","08","1.030","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","09","1.300","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","10","0.950","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","11","3.850","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","12","4.990","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","13","6.330","1"
"Potenza-S_L_Branca","Velocità_Vento","m/s","03/01/2021","14","1.440","1"
