"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","01","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","02","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","03","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","04","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","05","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","06","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","07","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","08","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","09","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","10","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","11","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","12","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","13","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","14","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","15","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","16","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","17","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","18","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","19","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","20","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","21","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","22","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","23","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","01/01/2021","24","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","01","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","02","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","03","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","04","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","05","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","06","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","07","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","08","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","09","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","10","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","11","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","12","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","13","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","14","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","15","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","16","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","17","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","18","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","19","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","20","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","21","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","22","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","23","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","02/01/2021","24","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","01","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","02","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","03","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","04","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","05","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","06","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","07","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","08","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","09","0.020","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","10","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","11","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","12","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","13","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","14","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","15","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","16","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","17","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","18","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","19","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","20","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","21","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","22","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","23","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","03/01/2021","24","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","01","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","02","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","03","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","04","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","05","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","06","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","07","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","08","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","09","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","10","0.020","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","11","0.030","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","12","-9999","-1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","13","-9999","-1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","14","-9999","-1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","15","0.030","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","16","0.020","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","17","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","18","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","19","0.100","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","20","0.020","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","21","0.080","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","22","0.190","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","23","0.030","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","04/01/2021","24","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","01","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","02","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","03","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","04","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","05","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","06","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","07","0.020","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","08","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","09","0.010","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","10","0.280","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","11","0.440","1"
"Potenza-S_L_Branca","p-Xilene","µg/m≥","05/01/2021","12","0.010","1"
