"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","01","0.510","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","02","0.480","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","03","0.480","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","04","0.280","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","05","0.250","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","06","0.250","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","07","0.250","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","08","0.260","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","09","0.350","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","10","0.550","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","11","0.470","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","12","0.210","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","13","0.210","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","14","0.080","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","15","0.190","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","16","0.080","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","17","0.200","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","18","0.360","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","19","0.970","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","20","1.610","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","21","2.270","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","22","3.070","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","23","3.670","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","01/01/2021","24","3.440","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","01","2.450","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","02","1.470","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","03","0.540","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","04","0.240","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","05","0.690","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","06","1.090","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","07","1.240","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","08","0.390","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","09","0.360","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","10","0.630","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","11","0.220","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","12","0.220","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","13","0.220","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","14","0.420","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","15","0.240","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","16","0.220","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","17","0.250","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","18","1.190","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","19","2.250","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","20","3.690","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","21","4.100","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","22","3.480","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","23","2.760","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","02/01/2021","24","2.560","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","01","2.029","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","02","1.040","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","03","0.670","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","04","0.590","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","05","0.510","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","06","0.280","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","07","0.240","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","08","0.520","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","09","0.570","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","10","0.860","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","11","1.140","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","12","0.320","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","13","0.210","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","14","0.220","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","15","0.220","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","16","0.320","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","17","0.450","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","18","0.670","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","19","1.620","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","20","3.500","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","21","3.580","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","22","3.440","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","23","1.580","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","03/01/2021","24","0.320","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","01","0.240","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","02","0.180","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","03","0.090","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","04","0.220","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","05","1.540","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","06","0.950","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","07","0.290","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","08","0.470","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","09","1.780","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","10","-9999","-1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","11","-9999","-1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","12","-9999","-1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","13","-9999","-1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","14","0.460","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","15","0.350","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","16","0.470","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","17","0.610","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","18","0.890","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","19","1.760","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","20","1.330","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","21","1.450","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","22","1.250","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","23","1.250","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","04/01/2021","24","1.000","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","01","0.770","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","02","0.630","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","03","0.770","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","04","0.830","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","05","0.620","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","06","0.220","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","07","0.610","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","08","0.800","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","09","1.400","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","10","3.610","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","11","1.460","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","12","0.550","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","13","0.380","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","14","0.540","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","15","0.330","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","16","0.190","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","17","0.200","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","18","0.410","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","19","0.030","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","20","0.300","1"
"Potenza-Viale_Unicef","Benzene","µg/m≥","05/01/2021","21","0.600","1"
