"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","01","0.25","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","02","0.26","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","03","0.23","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","04","0.20","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","05","0.22","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","06","0.24","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","07","0.24","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","08","0.30","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","09","0.33","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","10","0.33","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","11","0.16","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","12","0.13","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","13","0.13","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","14","0.13","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","15","0.13","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","16","0.13","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","17","0.17","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","18","0.31","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","19","0.52","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","20","-9999","-1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","21","0.92","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","22","1.00","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","23","0.89","1"
"Potenza-Viale_Unicef","CO","mg/m³","01/01/2021","24","0.75","1"
"Potenza-Viale_Unicef","CO","mg/m³","02/01/2021","01","0.57","1"
"Potenza-Viale_Unicef","CO","mg/m³","02/01/2021","02","0.32","1"
"Potenza-Viale_Unicef","CO","mg/m³","02/01/2021","03","0.18","1"
"Potenza-Viale_Unicef","CO","mg/m³","02/01/2021","04","0.22","1"
"Potenza-Viale_Unicef","CO","mg/m³","02/01/2021","05","0.30","1"
"Potenza-Viale_Unicef","CO","mg/m³","02/01/2021","06","0.28","1"
"Potenza-Viale_Unicef","CO","mg/m³","02/01/2021","07","0.23","1"
