"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","01","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","02","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","03","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","04","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","05","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","06","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","07","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","08","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","09","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","10","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","11","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","12","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","13","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","14","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","15","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","16","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","17","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","18","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","19","0.200","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","20","0.410","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","21","0.620","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","22","0.650","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","23","0.590","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","01/01/2021","24","0.460","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","01","0.460","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","02","0.340","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","03","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","04","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","05","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","06","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","07","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","08","0.400","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","09","0.150","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","10","0.380","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","11","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","12","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","13","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","14","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","15","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","16","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","17","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","18","0.370","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","19","0.610","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","20","0.650","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","21","0.800","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","22","0.920","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","23","0.650","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","02/01/2021","24","0.530","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","01","0.330","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","02","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","03","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","04","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","05","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","06","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","07","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","08","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","09","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","10","0.240","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","11","0.530","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","12","0.180","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","13","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","14","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","15","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","16","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","17","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","18","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","19","0.440","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","20","0.990","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","21","1.140","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","22","0.910","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","23","0.450","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","03/01/2021","24","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","01","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","02","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","03","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","04","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","05","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","06","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","07","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","08","0.110","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","09","0.580","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","10","0.640","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","11","-9999","-1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","12","-9999","-1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","13","0.950","-99"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","14","0.560","1"
"Potenza-Viale_Unicef","Etilbenzene","µg/m≥","04/01/2021","15","0.320","1"
