"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Potenza_viale_dell_Unicef","PM10","µg/m³","01/01/2021","15.47","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","02/01/2021","18.91","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","03/01/2021","16.95","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","04/01/2021","15.61","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","05/01/2021","16.23","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","06/01/2021","14.63","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","07/01/2021","16.14","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","08/01/2021","20.59","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","09/01/2021","9.94","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","10/01/2021","10.10","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","11/01/2021","12.81","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","12/01/2021","15.27","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","13/01/2021","23.91","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","14/01/2021","16.03","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","15/01/2021","15.77","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","16/01/2021","14.77","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","17/01/2021","14.10","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","18/01/2021","16.63","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","19/01/2021","18.89","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","20/01/2021","17.13","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","21/01/2021","40.46","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","22/01/2021","26.27","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","23/01/2021","14.34","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","24/01/2021","9.61","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","25/01/2021","14.82","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","26/01/2021","13.02","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","27/01/2021","24.96","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","28/01/2021","25.64","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","29/01/2021","10.54","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","30/01/2021","20.88","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","31/01/2021","8.13","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","01/02/2021","13.90","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","02/02/2021","27.82","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","03/02/2021","18.35","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","04/02/2021","29.50","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","05/02/2021","35.32","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","06/02/2021","52.89","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","07/02/2021","36.85","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","08/02/2021","13.88","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","09/02/2021","8.52","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","10/02/2021","10.14","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","11/02/2021","15.34","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","12/02/2021","20.82","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","13/02/2021","7.77","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","14/02/2021","15.26","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","15/02/2021","16.80","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","16/02/2021","28.54","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","17/02/2021","19.60","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","18/02/2021","28.65","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","19/02/2021","27.67","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","20/02/2021","27.81","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","21/02/2021","29.40","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","22/02/2021","32.85","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","23/02/2021","40.03","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","24/02/2021","45.09","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","25/02/2021","54.33","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","26/02/2021","49.18","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","27/02/2021","53.45","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","28/02/2021","32.26","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","01/03/2021","28.09","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","02/03/2021","39.03","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","03/03/2021","35.14","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","04/03/2021","31.00","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","05/03/2021","28.85","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","06/03/2021","23.35","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","07/03/2021","24.32","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","08/03/2021","29.09","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","09/03/2021","29.64","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","10/03/2021","17.89","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","11/03/2021","18.55","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","12/03/2021","17.26","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","13/03/2021","18.75","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","14/03/2021","9.89","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","15/03/2021","13.82","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","16/03/2021","16.23","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","17/03/2021","18.14","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","18/03/2021","17.22","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","19/03/2021","18.89","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","20/03/2021","10.42","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","21/03/2021","15.33","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","22/03/2021","17.77","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","23/03/2021","17.23","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","24/03/2021","26.45","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","25/03/2021","29.92","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","26/03/2021","26.49","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","27/03/2021","25.08","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","28/03/2021","25.32","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","29/03/2021","29.45","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","30/03/2021","29.60","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","31/03/2021","30.15","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","01/04/2021","26.91","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","02/04/2021","24.00","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","03/04/2021","23.84","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","04/04/2021","11.57","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","05/04/2021","12.86","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","06/04/2021","21.05","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","07/04/2021","16.69","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","08/04/2021","4.01","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","09/04/2021","19.47","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","10/04/2021","23.60","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","11/04/2021","23.10","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","12/04/2021","27.57","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","13/04/2021","14.23","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","14/04/2021","6.80","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","15/04/2021","13.06","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","16/04/2021","10.86","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","17/04/2021","15.18","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","18/04/2021","13.14","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","19/04/2021","12.22","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","20/04/2021","12.02","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","21/04/2021","16.47","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","22/04/2021","17.03","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","23/04/2021","8.52","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","24/04/2021","14.90","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","25/04/2021","14.46","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","26/04/2021","18.13","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","27/04/2021","34.65","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","28/04/2021","30.37","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","29/04/2021","22.92","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","30/04/2021","37.28","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","01/05/2021","30.57","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","02/05/2021","20.39","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","03/05/2021","19.07","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","04/05/2021","25.94","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","05/05/2021","21.06","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","06/05/2021","15.13","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","07/05/2021","14.02","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","08/05/2021","18.47","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","09/05/2021","14.86","1"
"Potenza_viale_dell_Unicef","PM10","µg/m³","10/05/2021","18.75","1"
