"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","01","0.47","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","02","0.44","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","03","0.32","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","04","0.30","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","05","0.27","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","06","0.27","-99"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","07","0.26","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","08","0.27","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","09","0.41","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","10","0.39","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","11","0.31","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","12","0.33","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","13","0.36","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","14","0.38","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","15","0.34","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","16","0.32","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","17","0.40","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","18","0.46","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","19","0.85","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","20","1.01","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","21","0.93","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","22","0.85","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","23","0.76","1"
"Potenza_Viale_Firenze","CO","mg/m³","01/01/2021","24","0.64","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","01","0.31","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","02","0.29","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","03","0.26","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","04","0.27","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","05","0.32","-99"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","06","0.30","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","07","0.31","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","08","0.41","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","09","0.52","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","10","0.53","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","11","0.46","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","12","0.46","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","13","0.46","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","14","0.45","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","15","0.34","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","16","0.32","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","17","0.64","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","18","1.07","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","19","1.41","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","20","1.39","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","21","1.49","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","22","1.24","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","23","0.90","1"
"Potenza_Viale_Firenze","CO","mg/m³","02/01/2021","24","0.38","1"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","01","0.31","1"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","02","0.31","1"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","03","0.30","1"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","04","0.32","-99"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","05","0.33","1"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","06","0.28","1"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","07","0.45","1"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","08","0.44","1"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","09","0.51","1"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","10","0.58","1"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","11","0.42","1"
"Potenza_Viale_Firenze","CO","mg/m³","03/01/2021","12","0.37","1"
