"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"S_N_di_Melfi","NO","ppb","01/01/2021","01","1.57","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","02","1.51","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","03","1.51","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","04","1.63","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","05","1.39","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","06","1.56","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","07","1.79","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","08","1.62","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","09","-9999","-1"
"S_N_di_Melfi","NO","ppb","01/01/2021","10","1.53","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","11","1.68","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","12","1.55","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","13","1.59","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","14","1.46","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","15","1.41","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","16","1.50","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","17","1.33","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","18","1.47","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","19","1.36","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","20","1.46","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","21","1.44","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","22","1.60","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","23","1.42","1"
"S_N_di_Melfi","NO","ppb","01/01/2021","24","1.34","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","01","1.49","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","02","1.30","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","03","1.48","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","04","1.78","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","05","1.51","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","06","1.38","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","07","1.29","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","08","-9999","-1"
"S_N_di_Melfi","NO","ppb","02/01/2021","09","1.74","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","10","1.54","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","11","1.61","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","12","1.43","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","13","1.45","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","14","1.77","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","15","1.40","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","16","1.42","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","17","1.39","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","18","1.38","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","19","1.29","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","20","1.45","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","21","1.72","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","22","2.19","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","23","2.02","1"
"S_N_di_Melfi","NO","ppb","02/01/2021","24","1.41","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","01","1.67","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","02","1.38","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","03","1.51","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","04","1.40","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","05","1.60","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","06","1.32","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","07","-9999","-1"
"S_N_di_Melfi","NO","ppb","03/01/2021","08","1.44","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","09","1.68","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","10","1.48","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","11","1.49","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","12","1.64","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","13","1.42","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","14","1.77","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","15","1.38","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","16","1.46","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","17","1.42","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","18","1.45","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","19","1.54","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","20","1.69","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","21","1.35","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","22","2.99","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","23","2.37","1"
"S_N_di_Melfi","NO","ppb","03/01/2021","24","1.35","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","01","1.48","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","02","1.54","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","03","1.56","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","04","1.85","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","05","1.58","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","06","-9999","-1"
"S_N_di_Melfi","NO","ppb","04/01/2021","07","6.17","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","08","5.51","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","09","9.99","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","10","7.83","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","11","4.25","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","12","2.45","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","13","3.01","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","14","9.35","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","15","4.12","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","16","4.03","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","17","3.74","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","18","6.42","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","19","1.59","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","20","5.46","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","21","6.20","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","22","8.95","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","23","4.66","1"
"S_N_di_Melfi","NO","ppb","04/01/2021","24","2.89","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","01","1.53","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","02","1.36","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","03","1.82","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","04","1.50","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","05","-9999","-1"
"S_N_di_Melfi","NO","ppb","05/01/2021","06","27.45","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","07","11.42","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","08","4.39","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","09","17.13","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","10","18.04","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","11","15.40","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","12","8.95","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","13","1.48","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","14","1.74","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","15","1.42","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","16","1.65","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","17","1.51","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","18","2.10","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","19","1.35","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","20","1.51","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","21","1.32","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","22","1.66","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","23","2.14","1"
"S_N_di_Melfi","NO","ppb","05/01/2021","24","1.30","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","01","1.45","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","02","1.74","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","03","1.36","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","04","-9999","-1"
"S_N_di_Melfi","NO","ppb","06/01/2021","05","1.45","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","06","2.29","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","07","2.93","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","08","1.50","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","09","1.85","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","10","1.44","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","11","1.25","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","12","1.50","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","13","1.58","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","14","1.40","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","15","1.38","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","16","2.12","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","17","1.77","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","18","2.90","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","19","1.54","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","20","1.46","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","21","1.58","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","22","1.87","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","23","2.61","1"
"S_N_di_Melfi","NO","ppb","06/01/2021","24","1.48","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","01","1.72","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","02","1.51","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","03","-9999","-1"
"S_N_di_Melfi","NO","ppb","07/01/2021","04","1.41","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","05","1.78","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","06","1.86","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","07","1.60","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","08","7.89","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","09","10.91","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","10","7.77","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","11","2.80","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","12","2.19","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","13","-9999","-1"
"S_N_di_Melfi","NO","ppb","07/01/2021","14","-9999","-1"
"S_N_di_Melfi","NO","ppb","07/01/2021","15","2.36","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","16","2.03","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","17","6.33","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","18","9.06","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","19","3.46","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","20","3.15","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","21","2.84","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","22","16.58","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","23","5.66","1"
"S_N_di_Melfi","NO","ppb","07/01/2021","24","1.85","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","01","1.74","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","02","3.73","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","03","1.58","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","04","1.63","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","05","2.60","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","06","15.55","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","07","7.17","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","08","4.56","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","09","6.61","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","10","4.33","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","11","3.66","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","12","4.48","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","13","-9999","-1"
"S_N_di_Melfi","NO","ppb","08/01/2021","14","9.82","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","15","6.35","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","16","5.68","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","17","4.75","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","18","4.56","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","19","2.99","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","20","2.23","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","21","2.31","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","22","5.91","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","23","2.66","1"
"S_N_di_Melfi","NO","ppb","08/01/2021","24","1.60","1"
"S_N_di_Melfi","NO","ppb","09/01/2021","01","1.59","1"
