"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","01","48.26","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","02","50.58","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","03","46.56","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","04","55.32","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","05","55.74","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","06","57.89","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","07","56.97","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","08","60.53","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","09","56.47","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","10","56.03","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","11","53.08","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","12","61.38","-99"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","13","67.51","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","14","71.78","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","15","69.55","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","16","66.46","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","17","64.17","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","18","59.91","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","19","54.45","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","20","48.14","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","21","49.77","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","22","50.42","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","23","47.66","1"
"S_N_di_Melfi","O3","µg/m≥","01/01/2021","24","50.23","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","01","58.28","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","02","62.13","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","03","51.89","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","04","57.79","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","05","52.56","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","06","65.66","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","07","67.81","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","08","60.15","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","09","57.88","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","10","66.02","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","11","69.56","-99"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","12","72.38","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","13","74.03","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","14","84.73","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","15","82.41","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","16","81.44","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","17","76.21","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","18","73.29","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","19","73.90","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","20","64.41","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","21","62.82","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","22","61.98","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","23","73.50","1"
"S_N_di_Melfi","O3","µg/m≥","02/01/2021","24","73.00","1"
"S_N_di_Melfi","O3","µg/m≥","03/01/2021","01","63.87","1"
"S_N_di_Melfi","O3","µg/m≥","03/01/2021","02","62.85","1"
"S_N_di_Melfi","O3","µg/m≥","03/01/2021","03","65.37","1"
"S_N_di_Melfi","O3","µg/m≥","03/01/2021","04","61.80","1"
"S_N_di_Melfi","O3","µg/m≥","03/01/2021","05","58.95","1"
"S_N_di_Melfi","O3","µg/m≥","03/01/2021","06","62.56","1"
