"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"San_Nicola_di_Melfi","PM2-5","µg/m³","01/01/2021","3.80","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","02/01/2021","5.40","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","03/01/2021","4.19","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","04/01/2021","5.19","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","05/01/2021","5.50","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","06/01/2021","3.70","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","07/01/2021","8.50","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","08/01/2021","4.66","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","09/01/2021","7.69","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","10/01/2021","4.80","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","11/01/2021","5.40","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","12/01/2021","9.30","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","13/01/2021","9.89","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","14/01/2021","6.80","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","15/01/2021","5.33","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","16/01/2021","3.70","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","17/01/2021","5.50","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","18/01/2021","-9999","-1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","19/01/2021","9.60","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","20/01/2021","6.60","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","21/01/2021","6.40","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","22/01/2021","6.90","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","23/01/2021","4.40","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","24/01/2021","3.80","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","25/01/2021","2.90","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","26/01/2021","3.50","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","27/01/2021","4.83","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","28/01/2021","8.00","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","29/01/2021","4.30","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","30/01/2021","4.69","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","31/01/2021","2.79","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","01/02/2021","5.19","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","02/02/2021","8.60","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","03/02/2021","-9999","-1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","04/02/2021","6.60","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","05/02/2021","10.60","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","06/02/2021","11.20","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","07/02/2021","9.00","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","08/02/2021","4.80","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","09/02/2021","2.34","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","10/02/2021","3.00","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","11/02/2021","3.80","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","12/02/2021","6.00","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","13/02/2021","3.09","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","14/02/2021","6.00","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","15/02/2021","4.59","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","16/02/2021","10.40","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","17/02/2021","9.19","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","18/02/2021","9.99","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","19/02/2021","12.10","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","20/02/2021","16.60","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","21/02/2021","19.50","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","22/02/2021","17.80","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","23/02/2021","18.80","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","24/02/2021","30.70","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","25/02/2021","26.40","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","26/02/2021","23.90","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","27/02/2021","26.90","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","28/02/2021","9.60","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","01/03/2021","9.19","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","02/03/2021","15.40","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","03/03/2021","16.50","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","04/03/2021","18.39","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","05/03/2021","16.89","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","06/03/2021","16.80","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","07/03/2021","8.30","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","08/03/2021","17.28","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","09/03/2021","17.80","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","10/03/2021","12.60","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","11/03/2021","9.89","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","12/03/2021","7.00","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","13/03/2021","5.90","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","14/03/2021","4.09","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","15/03/2021","-9999","-1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","16/03/2021","8.00","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","17/03/2021","4.09","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","18/03/2021","-9999","-1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","19/03/2021","-9999","-1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","20/03/2021","-9999","-1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","21/03/2021","-9999","-1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","22/03/2021","-9999","-1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","23/03/2021","7.50","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","24/03/2021","6.40","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","25/03/2021","10.00","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","26/03/2021","13.00","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","27/03/2021","10.40","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","28/03/2021","14.80","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","29/03/2021","14.00","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","30/03/2021","13.70","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","31/03/2021","-9999","-1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","01/04/2021","15.47","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","02/04/2021","13.90","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","03/04/2021","9.30","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","04/04/2021","4.69","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","05/04/2021","6.19","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","06/04/2021","6.19","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","07/04/2021","2.50","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","08/04/2021","-9999","-1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","09/04/2021","8.47","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","10/04/2021","-9999","-1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","11/04/2021","9.58","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","12/04/2021","12.00","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","13/04/2021","6.69","1"
"San_Nicola_di_Melfi","PM2-5","µg/m³","14/04/2021","4.09","1"
